start	end	text
0	10000	Now, did you enjoy that session? Or did you enjoy that session, sweetie?
10000	26000	Good. I'm so glad. Let me get you out now. You've been tied up for a while now, huh?
27000	31000	Uh, what if I just...
33000	36000	Uh, that's strange.
36000	41000	Oh, just normally I don't do the knot in the rope like this.
41000	46000	I might have been a bit preoccupied with you, huh?
46000	50000	That's not like me to make such a mistake.
50000	60000	My nails are making this harder than usual. I knew I shouldn't have gotten them this long.
62000	70000	Do you want now? Oh, no. I just can't cut the rope. That's not the right thing to do, silly.
70000	77000	These ropes are invaluable to me. If I went cutting through all my equipment, I'd have none left now.
77000	82000	Would I? Your skin isn't too marked at all, either.
82000	86000	I made sure not to make them too tight, at least.
86000	92000	So, just give me a few moments while I wrestle away with this.
92000	96000	I'll have you out in no time. I promise.
96000	105000	I've had some sessions run over 12 hours, so it's not like your limbs are gonna fall off or anything.
106000	109000	Uh, no. Not at all.
113000	117000	My goodness. Did it really make such a big mistake?
117000	125000	I wonder when I did it. Was it when you started doing that thing I like?
126000	134000	Normally I'm so focused, so I guess this situation is a compliment to you, after all.
140000	143000	Okay, what if I just...
144000	155000	What about here?
159000	161000	Dammit.
162000	164000	Okay.
168000	170000	Okay.
172000	175000	If I just...
177000	179000	No.
179000	181000	Oh, no.
187000	189000	What if...
191000	194000	No, no. That won't do.
199000	201000	No, no.
210000	212000	Maybe...
222000	224000	Hmm.
226000	228000	What if...
232000	234000	Wait.
252000	254000	Wait.
254000	256000	I do?
256000	258000	No, I don't want it.
267000	269000	Come on.
274000	276000	What if I...
282000	284000	Ugh.
291000	293000	If I...
293000	295000	Is this it?
296000	298000	Ugh, no.
300000	302000	Come on.
312000	315000	Wait, wait, wait.
315000	317000	I got it.
317000	320000	Wait, no, I didn't get it.
320000	323000	Just a moment, sweetie.
323000	325000	I swear, I'm almost done.
325000	328000	If I just...
331000	333000	What about here?
333000	335000	Wait.
337000	340000	Oh, no. That's not it, either.
342000	344000	Well...
346000	348000	Okay.
350000	352000	Right there?
352000	354000	No.
355000	357000	Okay.
358000	360000	Almost...
361000	363000	There.
367000	369000	Oh, man.
372000	374000	Ugh.
374000	376000	No.
376000	378000	Mm-mm.
378000	381000	Oh, this is so frustrating.
381000	383000	Ugh.
383000	386000	Come on.
386000	388000	Just...
388000	390000	Come on, nod.
390000	393000	Give me a good little nod.
395000	397000	Hmm.
397000	399000	Ugh.
399000	401000	Ugh.
401000	403000	Ugh.
403000	405000	Ugh.
405000	407000	Mm-hmm.
407000	409000	Mm-hmm.
411000	413000	Ugh.
416000	418000	Ugh.
418000	420000	Gotta be fine.
425000	427000	No.
427000	429000	What about this?
433000	436000	Ugh, I didn't do anything, either.
436000	438000	Mm-hmm.
440000	442000	If I could just...
445000	448000	Ah, these nails are impossible.
453000	455000	But on this side...
455000	457000	Mm-hmm.
457000	459000	Almost...
459000	461000	There.
461000	463000	I was so close.
485000	487000	Mm-hmm.
515000	517000	Mm-hmm.
545000	547000	Mm-hmm.
575000	577000	Mm-hmm.
605000	607000	Mm-hmm.
635000	637000	Mm-hmm.
665000	667000	Mm-hmm.
695000	697000	Mm-hmm.
725000	727000	Mm-hmm.
755000	757000	Mm-hmm.
785000	787000	Mm-hmm.
815000	817000	Mm-hmm.
845000	847000	Mm-hmm.
875000	877000	Mm-hmm.
905000	907000	Mm-hmm.
935000	937000	Mm-hmm.
939000	941000	I need to get my nails shorter next time.
951000	953000	Well...
953000	955000	I have to be somewhere, so...
957000	959000	I'll see you later.
965000	967000	Mm-hmm.
