start	end	text
90000	92000	You
120000	122000	You
150000	152000	You
180000	182000	You
210000	221640	Okay, hold on. I'm so sorry. I'm so sorry. My 3d. Oh
225080	233440	I tested everything before I started I tested everything this is my normal microphone
233440	235980	I was gonna whisper for some reason
236980	241020	My scarlet isn't working, so I'm trying to trouble you
242460	246380	But don't worry we're going to really get it
247860	249860	So just give me a moment. I
251700	255780	Apologize I literally have been ready for over an hour
256900	261180	Over an hour and then it decided I don't understand
261300	263300	I
264820	269700	Think my cat might have unblocked my scarlet from my computer hold on
291300	293300	I
301420	303420	Know it doesn't mean
307300	309300	I
321180	323180	I
351180	353180	I
382180	384180	Quiet
396620	398620	Okay
411180	420780	You might
425140	427140	You might hear my cat
428060	430060	Munching in the background
431100	433860	There's a lot of home you hear something
441980	444540	I'm going to commit
452700	454700	So
456060	458060	Okay
471660	473660	I
481900	483900	Don't
486660	488660	Kind of frustrated
493140	495140	Scarlet
495140	505140	I have to get like really in there, don't I?
505140	506140	Okay.
506140	507140	Hello, darlings.
507140	508140	Headphones are maxed.
508140	528140	Anyone as you go says you can't do me.
528140	529140	Okay.
529140	534140	Listen, I'm doing the post down here.
534140	544140	A little different because if you have a certain type of headphones, it may not work.
544140	554140	Alright, I'm on my keyboard.
554140	558140	I'm picking up the 3DO.
558140	559140	Okay.
559140	577140	I don't really care because I think this would be really funny.
577140	588140	It was really fun messing around with the settings on the VTube studio.
588140	594140	My neighbors are walking by and they're being very loud.
594140	597140	Good luck on your exam.
597140	604140	Alright, so I thank you.
604140	608140	Thank you for meeting me at the bar.
608140	621140	I'm happy that you followed directions in my Tinder message that I sent to you.
621140	630140	Because I sent you directions to this bar, don't worry that there's nobody else here.
630140	637140	I especially reserved it for the both of us.
637140	647140	I hope you don't mind what I don't know what a big bumping up is.
647140	654140	I generally don't know why it's doing that.
654140	659140	It's a big bar, but don't worry about anyone else.
659140	663140	It's just me and you.
663140	665140	I'm not rich.
665140	670140	Why do you think I'm bartending behind this bar right now?
670140	675140	I'm sorry I had to burp, but I didn't want to burp in your ear.
675140	677140	Unless you want me to.
677140	682140	But I'll be a professional madam for you tonight.
682140	690140	So my darling, what would you like to drink?
690140	694140	I can make you something.
694140	704140	If you're under the age of drinking, I can also make you a mocktail if you'd like.
704140	706140	I've been studying.
706140	708140	I'm going to forgive you a little bit.
708140	712140	I don't know, Mike.
712140	715140	You want chalky milk?
715140	717140	I can make you chalky milk.
717140	722140	I almost went out and bought Vanta because I realized I had an advantage in a decade.
722140	725140	Madam, your neck, don't worry about my neck.
725140	727140	I still got that, though.
727140	732140	And don't you forget it.
732140	735140	So you'd like some cold water.
735140	741140	You'd like dark coke, bloody Mary, strawberry milk.
741140	745140	So no head.
745140	749140	You'd like a bloody Mary, non-alcoholic.
749140	750140	Okay.
750140	756140	I have some lemonade and I have strawberry milk.
756140	757140	Get out of here.
757140	758140	I love oil.
758140	762140	What is wrong with you people?
762140	763140	Coke milk?
763140	764140	Yes.
764140	765140	I am milking.
765140	770140	Is there a buyer in the bar?
770140	771140	A shipping aid?
771140	774140	Yes, that can be arranged.
774140	775140	A bucket of soda.
775140	776140	Got some bleach.
776140	778140	Yeah, I got some bleach.
778140	782140	I also have some ammonia as well.
782140	787140	But yeah, don't worry that there's nobody else here.
787140	789140	It's just me and you tonight.
789140	794140	Okay, I'm going to take very good, very good care of you.
794140	798140	All right, let me get some ice.
798140	800140	All right, let me get some ice.
808140	810140	Let's come right here.
810140	812140	All right, go.
839140	841140	I have some ice.
841140	842140	I have no idea.
842140	844140	I had to go to the back.
844140	846140	I had to step away for a moment.
846140	849140	In fact, I have to, hold on.
849140	851140	I have to step away.
851140	853140	I have to step away to do it.
853140	860140	Let me just, I can't part.
860140	862140	I'm trying really hard and I can't.
862140	864140	Because I know the microphone.
864140	867140	I'll pick it up.
867140	872140	But I also have some ice.
872140	874140	I have a nice setup.
874140	875140	Not long.
875140	876140	I am.
876140	878140	You know, I worked really hard.
878140	879140	I don't, hold on.
879140	880140	I'm like very tall.
880140	883140	Let me just, sorry.
883140	885140	Do you know how to share it?
885140	886140	Don't worry.
886140	888140	I run very fine establishments.
888140	891140	This is a bar within Wonderland Hotel.
891140	896140	So, one long island ice tea.
896140	898140	All right.
898140	900140	Coming right up, you know.
900140	903140	No one would want to like about ice though.
903140	905140	I like about ice.
921140	939140	Wow, that was like really, my teeth are sensitive.
939140	942140	I just, I live, I live dangerously.
942140	945140	I live very dangerously.
945140	948140	I can't go over like this or that.
948140	950140	We can ask for crushed ice, oh well.
950140	952140	That's the only type of ice we serve.
952140	954140	Hold on, let me crush it again for you.
978140	987140	There, I spit it right into the glass for you.
987140	991140	So, take a sip of that.
991140	993140	What do you mean?
993140	996140	You don't, you need a drink to go with it.
996140	1000140	Okay, let me, let me pour you something then, hold on.
1008140	1023140	Okay.
1023140	1025140	My favorite ambiance is here.
1025140	1036140	It's my, it's my, my AC has made its arrival.
1037140	1051140	I'm so happy I put a towel down because it just smells drinkable.
1051140	1052140	Is it monster?
1052140	1062140	No, it's not do.
1062140	1088140	Because, you know, I got some out due because I'm going to mount it to you later.
1088140	1101140	So it's only fair.
1101140	1116140	The candle, oh god.
1116140	1131140	All right, here, let me come out from behind the bar.
1131140	1135140	Yeah, I teleported, whatever.
1135140	1155140	So, uh, the effects are really nice.
1155140	1159140	So, do you like my outfit?
1159140	1162140	Only, you know, a torso.
1162140	1165140	But do you like it?
1165140	1168140	Uh, don't mind that.
1168140	1173140	I'm not attached to my back.
1173140	1177140	Don't worry about it.
1177140	1180140	Don't worry.
