start	end	text
0	26000	Hi, I don't know if you can hear me.
26000	52000	I don't know if this sounds okay, I'm a bit low.
52000	68000	Hello.
68000	96000	You can hear my EC, it's quite loud, but do you like the white noise or is it bothersome?
96000	112000	I will keep today, thank you.
112000	138000	Hello.
138000	166000	I am trying to add to the effects.
166000	188000	Okay, wait, do I sound okay too?
188000	202000	I think I look nice.
202000	212000	Okay, I just want to make sure.
212000	234000	I'm very excited, I have on my desk so much stuff.
234000	256000	You can call me big sis.
256000	270000	Pretend you can't see my ball gang under my neck.
270000	292000	No, no, I'm just myself today, I'm just wearing a different outfit.
292000	300000	Hello, you guys like the new emote?
300000	306000	Let me see if I can fix that real quick.
306000	322000	You might hear some water in the background, that's my cat's water fountain.
336000	344000	Hold on, I'm taking off my, taking off my, my cat, the clown is your favorite emote.
344000	360000	I'm very licensed, I'm a licensed esthetician.
374000	390000	What the heck?
390000	396000	There we go.
396000	406000	That's better at least.
406000	418000	Yeah, the really intense crying one is one of my favorite past PL emotes and so I had to bring it back.
418000	424000	One of my done doing my makeup, you've only one makeup twice in your life.
424000	430000	Well, I love makeup, I love it a lot actually.
430000	438000	I don't really wear makeup that much anymore because I don't leave my house, but today I'm going to be doing your makeup.
438000	444000	I'm going to be giving you some personal attention before I go.
444000	450000	I hope you enjoy it, since I leave tomorrow for my trip to see my family.
450000	457000	I'll be gone until the 23rd and I'll miss you guys a lot, so I thought I'd be nice today.
457000	470000	And I kind of walk you through like a skincare routine and then I'll brush your hair and do your makeup, give you a little ear massage.
470000	474000	Oh yeah, do you ever do your makeup just to sit around the house?
474000	480000	Yeah, I literally put on like a full face today to get my nails done when I really didn't need to.
480000	487000	I did light blue for my nails and I kept them a shorter length, I didn't do them super long.
487000	490000	So they're nice, they're cute little almond nails.
490000	493000	A little picture from after stream.
493000	500000	Yeah, I'll miss you guys.
500000	509000	This includes, yeah, yeah, I'm going to do your hair, I'm going to wash your hair, I'm going to brush it.
509000	514000	You're going to do a lot of triggers today.
514000	524000	Yeah, I hope you guys enjoy, I hope my AC and my background noise like my cat eating right now is a bit too distracting.
524000	531000	I'm very nervous for tomorrow because I fly out, my mom's bringing me to the airport.
531000	540000	I'm very anxious because I haven't flown in a very, very long time and I don't like traveling by myself.
540000	546000	So of course I'll remember you, you'll be all that I'm thinking about when I'm gone.
546000	549000	It's going to be so hard.
549000	563000	But when I come back, I have a special, special, sorry that was boomy, a special Twitter space I want to do on my alt for you guys.
563000	569000	I had the idea and I was going to do it today but I'm like nah, I'll do it when I come back.
569000	586000	Another thing, I want to apologize in advance because I never recorded the ASMR video that I was supposed to and so it's definitely not going to be edited in time for my absence.
586000	592000	But I do have some shorts coming so I hope you guys like the shorts.
592000	598000	Yeah, and I'll probably do a Twitter space while I'm there and talk to you guys.
598000	602000	I'll be active on social media.
602000	604000	Yeah.
604000	607000	Well, I miss you guys a lot.
607000	613000	Yeah, I'm going to be really sad without the kitties.
613000	614000	What?
614000	618000	What is that, Emote?
618000	620000	What is that?
620000	627000	Oh wait, that's the, it looks really weird reflected on YouTube.
627000	635000	The little pen lights look really fucking goofy.
635000	640000	Some of these translate very weirdly on YouTube but it's fine.
640000	643000	Let me tweet that I'm live.
643000	647000	You don't see anything in my hand.
647000	652000	There's nothing there.
652000	656000	Okay, let me just...
656000	666000	Um, Boomi is running in circles around the couch. She seems to be having a good time.
666000	672000	Oh, we hit 11k followers on Twitter! Let's go!
672000	674000	That's awesome. That's so cool.
674000	682000	And we're so close to 10k, guys. I'll probably be 10k in the middle of my trip.
682000	689000	Give me some ideas for 10k.
689000	691000	Um, you say...
691000	694000	Oops, I can't type.
694000	697000	Ow, my nose!
697000	704000	Okay.
704000	718000	Maybe tweet this on my own.
718000	735600	Maybe Endurance or Donut request ASMR stream?
735600	736600	Maybe.
736600	737600	That's good.
737600	746600	Evil witch ASMR roleplaying for the time being.
746600	755120	Yeah I think I honestly have to credit um the clipper who clipped us cause that video
755120	762520	of like the adult youtuber agency that has almost 100k views and youtube has called us
762520	768480	um a few times so I might be called again but um it's just really incredible how just
768480	773760	like a clipper channel that just takes interest in you can really support the growth and I'm
773760	783320	very thankful for that um he discovered me via that video yeah I love reading the comments
783320	787720	on that video and people are really funny people think Azera is faking her voice which
787720	793000	is I think is my favorite cause that's just how she actually talks she doesn't point
793000	796240	on a voice or anything.
796240	803000	I don't know why youtube keeps calling us um again the AI thinks that it's not appropriate
803000	812760	growth it thinks that it's not real so it is what it is um I don't know why I'm so anxious
812760	814080	I'm feeling very shy.
814080	826720	Well me can you please stop I don't know if you guys heard that.
826720	830800	I hope I won't have to congratulate you we might actually I won't be surprised if I
830800	841920	dip below 10k and then get back up to it and she's very excitable right now.
841920	849840	I think in the next set of emotes that I get I'm going to um get like Bumi and Fia and
849840	857080	Reina emotes I think that would be fun uh you know what I realized I will probably have
857080	868360	to recolor my emotes once I get my tan tongue oh that's gonna be interesting isn't it cat
868360	878640	you both you both yeah I also want to get an emote that says bark um what are you eating
878640	902360	oh mom he's eating something I think it's a dog
902360	920920	he was excitedly running around with a piece of cardboard in his mouth I don't know which
920920	928840	video was it that hit 100k oh yeah it was made by osmovie osmovie made a highlight reel
928840	937720	of all of the allure's debuts and um they're a popular uh youtuber channel and uh yeah
937720	947720	it's almost 100k do you want our makeup already patience young padawan kind of animals Bumi
947720	952760	uh I have three simies cats I see there's actually a lot of new faces um today so if
952760	958520	you came from the video hello uh hi my name is shimi cottonbomb I'm your favorite girl failure
958520	966520	dom I am the bunny dom on natrix of the alerts young one and I love to do wacky voices I love
966520	973000	to do roleplays I'm very good at improving I'd like to think um don't look up the cottonbomb
973000	981640	family tree that's all I have to say I have uh three cats they're all simies cats um and I make
981640	988200	content on patreon uh once a week and it comes out every thursday so you'll keep getting a video
988200	1000920	tomorrow and use code uh shibi for 10 off of gamer subs because I'm also a gamer subspartner um but
1000920	1009480	yeah it's not bria it's fia fia is named after uh the deathbed companion from out of the ring
1009480	1015160	which is my favorite game uh boomi is named after boomi you know wumashu and rena is just rena
1017480	1020680	she looks like a little fluffy rain cloud so her name is rena
1023160	1028840	yeah we love we love gamer subs here we're a gamer subs household don't bring in any other
1028840	1036360	that other junk into this household otherwise we're gonna have some issues um but today so I'm
1036360	1046600	gonna I usually like to chat a little bit before um I stream uh and then you guys can get all settled
1046600	1057480	in and comfy um I like to let people kind of trickle in um and uh yeah he's a you know the
1057480	1066600	simies cat so they do be speaking and um I'll be doing a couple things I mentioned earlier
1072120	1078760	wow my arms I'm gonna put this off to the side for now so I don't have to worry about them
1079080	1087720	uh cut the stream oh no I left it in because johnny says she wanted to clip it so
1092360	1100600	uh I haven't played the new visual novels but I want to um let me get uh blue twitch
1101560	1110120	next month I want to be do reading some uh spicy vms that would be very fun
1112360	1114120	so I'm gonna be doing your makeup
1117240	1123880	and so I was gonna I'm just gonna wait another 10 minutes I like to like chat for 30 minutes
1125160	1129080	uh if you're new here you probably don't know that I am quite the yapper
1130920	1145560	hi miwa hi miwa miwa miwa please check out miwa um mostly stream on uh twitch
1146360	1154120	they also make amazing uh ASMR related streams and she's also a cute little
1154120	1160840	she is funny funny girl she's so adorable not for you to know you're stingy
1164760	1170120	um but yeah I'm just kind of letting people you know get their you know wait wait a little
1170120	1177480	bit so people can come in hang out but um yeah if you're if you're new here I really hope you
1177480	1183880	enjoy uh I do yeah I chat a lot I've done like a endurance streams where I just talk for seven
1183880	1192360	hours and play the game for two um you shower today uh are you sure you cleaned everything
1193240	1200920	mister I don't even know what that so are you I'm I smell delicious today I did my hair I got my nails
1200920	1206200	done um yeah
1210520	1211880	she reads on that yappathon
1213160	1219720	can I get a little bit no no no I think you guys I think you guys think I make way more money than I
1220200	1221000	do
1223720	1230280	I'm feeling nice I'm feeling cute my hair is nice and fluffy my nails are nice and blue
1230280	1236280	how do you have a dye I smell good I shave my legs today
1238840	1242520	my legs are super smooth I got baby smooth legs
1242520	1250440	hi hi make a cup of me I need to be a lot bigger and make a lot of sales for that
1251160	1255480	but if there's a cottontail VA cup then buy that one
1257720	1263160	I'm gamersless I just I'm just gonna pretend that we're distantly related
1263320	1265800	so
1268200	1273240	boomi is peeing right next to me you might be able to hear him pee I'm sorry
1277160	1279720	good job that boy boomi
1282360	1283160	what a good boy
1283160	1287400	they're cussing it
1290920	1298280	oh thank you Smokin Nate for the 20 gifted um just because I'm in the precursor chat um
1300600	1305720	I'm gonna I'll be able to read out donos but when we actually get into the ASMR in about eight
1305720	1313480	minutes I will leave the donos and the gifted and the soup was at the end okay but paulgers
1313480	1323160	thank you so much um yeah oh yeah I wanted to get look cute for you guys today I wasn't
1323160	1327400	initially wearing my normal outfit but then I hopped on booth and I was like let me get a cute
1327400	1333160	outfit to wear for you guys do you want me to see uh well I might this might ruin the effect
1333160	1340600	but I only have the top half of me transparent um and the rest of me is still there but I'm wearing
1340600	1350040	a little shirt and you know shorts it looks like there's two people on screen and then I'm just legs
1354680	1359000	I didn't I didn't want to bother with let's follow that
1359000	1368520	um wait I don't know this the dress but I like the casual the casual fit is cute I like a casual
1368520	1373960	fit it does look like a cardboard cutout or it looks like I'm just like creepily standing behind
1373960	1385800	someone like there's a girl that I'm just bought um yeah I got this off booth I like the the outfit
1386360	1394040	and I um the uh little makeup assets you see here
1397560	1406200	um they are by kevin art kevart on twitter um really amazing assets I can do really cool
1406200	1410600	stuff with this I'm excited you can see I can move it around wow
1414680	1419960	I can tap it I can also add makeup to my face but I'm not going to do that because I'm doing
1419960	1429800	makeup on you today um I'm wearing no shoes I'm sitting here with no shoes
1430040	1431400	um
1436120	1444200	hips don't lie um I am also talking in a higher pitch today because I'm a little shy right now
1445480	1448760	again you guys know that the blend speed comes out when I'm
1449480	1455160	elevated feelings of emotion so uh I know you probably want to
1455720	1460200	you know the mommy mommy voice I don't even think I can do it right now to be honest with you
1462680	1467560	um have a good have a good sleep thank you thank you so much all right
1469640	1475480	okay how are you guys are you guys doing okay I know you guys are kind of sad but I really
1475480	1486120	I really um hope that you guys don't feel too bad when I'm gone because I I'll miss you guys too
1489240	1496600	it's fun you guys don't this is closer to my it's like it's weird I don't know why I made that noise
1496600	1505880	um people like at my voice changes depending on stuff and like sometimes I'll have like a deeper
1505880	1510920	voice like when I was playing with mercy yesterday and then when I'm alone with you guys I just get
1510920	1521240	all like
1521240	1522120	chibi chibi
1525240	1529800	oh and my heart and my voice I really do the shy shy be cuddle bum
1533000	1534680	cuddle bum I actually like that
1536600	1537880	uh but yeah so
1538440	1545960	cuddle bum I'm related to a strongy when I'm cuddle bum
1548840	1556440	the bun I'll never lose but I'll be really in character the entire time um
1558280	1564040	I was debating whether or not to be like one of the sisters of the cotton bun family but I'm like
1564120	1568280	I don't feel like doing all that because then people are gonna ask me questions about
1568280	1571960	inappropriate questions or something about my lineage and my family relationship
1573800	1581080	so just pretend I'm a younger sheebie from another time this is before the days of running
1581080	1587800	hotel wonderland hello welcome in um I'm about to start the improv
1589960	1598840	but uh so you are my sibling and I'm I'm using you as a little makeup dummy so
1600040	1607480	you know hi foo hi uh have a good rest of your day people who can't say but thank you for stopping
1607480	1616360	by I appreciate you 17 years ago when I was 30 because I'm 56 I can't do math that one but you
1616360	1629400	guys get it I'm very excited I want to I want to just turn my whole life is a good stuff yeah
1630280	1635560	so um it's going to be a lot of personal attention I'm not going to be like me or anything
1635560	1638120	I could have done like a mean girl doesn't even make a role play but
1639640	1644440	I just want to I just want to treat you today I saw a tree treat treat treat treat
1653320	1655720	you might be considered a hag but hacks good
1659320	1663000	what the heck is that what's not like hags normally don't get wrong what are you talking
1663000	1668600	about oh so you guys like my bedroom yeah so this is my this is my bedroom I got a
1671000	1679480	I got a a little mirror I got my laptop I love the color green this reminds me a lot of my room
1680840	1686360	I got my little study lamp all I see is a cat and more plants
1686600	1688600	yeah
1692760	1695320	no you won't be a mess you won't be a mess
1698280	1702680	and I actually really like this casual outfit I'm not gonna lie to you I might wear this more
1702680	1706120	often happy I got this this is a cute little shirt
1709320	1712520	okay you guys ready we're gonna start we're gonna start
1713320	1719160	I'm gonna launch right into it and I won't be reading oh I'll be reading chat because you guys
1719160	1723720	will be able to like talk to me you know you're like ah you're poking my eye I'll be like shut up
1727320	1730520	oh no I'll make sure I put waterproof mascara on
1732520	1736600	I'm not gonna count you down oh I don't know how much time is left I think it just turned
1737320	1744680	into fortune I still look the same woman este lauderdior
1754840	1756840	all right
1760920	1764040	all right you're probably you're probably wondering what you're doing here
1764360	1767000	yeah yeah I know I know
1767960	1774840	chibi I have homework to do whatever this is more important okay I have very important
1774840	1780360	things that I need to practice and none of others should bring that around so it looks like you're
1780360	1787800	stuck with me I was watching a lot of youtube tutorials about how to do uh skincare and makeup
1788440	1790600	so I'm gonna try that on each day
1794280	1801560	you know you don't have a choice you thought you had a choice I'm so sorry no no kiddo I'm sorry um
1802440	1809160	my sweet sweet sibling uh hey you know you can sit back relax it'll be fun
1811160	1812840	you hate makeup it doesn't matter
1816280	1820760	it doesn't matter can I do this on myself it's it's easier if I practice on something
1821000	1831880	and then I'll do it on myself you know mom said I would be a great makeup artist do you see my works
1834600	1839880	no I don't look like a clown when I put on makeup see this is why I have to practice
1839880	1847400	okay the important part of good makeup
1849240	1853160	is having a flawless base
1855720	1860040	I'm sorry if I pop to you crumbs you're just too far away I have to move forward
1861960	1869160	so I need a flawless base and to get a flawless base I was watching I was watching a tutorial
1869720	1876120	we gotta do like skincare so I got a bunch of skincare stuff from like the drug store
1879400	1882760	no I didn't do drugs at the drug store why are you so annoying
1883640	1887880	yeah I wish there was somebody else I could do this on but you're the only one here so
1888680	1894440	everybody else is out with their friends but you're just you're just stuck doing homework at home so
1895640	1896040	whatever
1900040	1903960	when I'm done you want to show mom yeah we can show mom I think mom would like it
1905560	1911400	I'd also like to try my stuff on mom but she says that um she has like a work
1912200	1917320	conference and she doesn't want me to mess stuff up or use her more expensive makeup so
