start	end	text
90000	92000	You
120000	122000	You
150000	153000	You
180000	200000	You
210000	230000	You
240000	266000	You
270000	296000	You
300000	326000	You
330000	356000	You
356000	382000	You
382000	408000	You
408000	428000	You
428000	456000	You
456000	482000	You
482000	504000	You
504000	530000	You
530000	556000	You
556000	584000	You
584000	604000	You
604000	630000	You
630000	656000	You
660000	686000	You
686000	708000	You
708000	734000	You
734000	760000	You
760000	786000	You
786000	806000	You
806000	832000	You
832000	852000	You
852000	876000	You
876000	890000	You
890000	918000	You
920000	946000	You
946000	966000	You
966000	968000	You
968000	994000	You
994000	1020000	You
1020000	1040000	You
1040000	1062000	You
1062000	1078000	You
1092000	1118000	You
1118000	1144000	You
1144000	1170000	You
1170000	1196000	You
1196000	1222000	You
1222000	1234000	You
1234000	1260000	You
1260000	1276000	You
1290000	1310000	You
1310000	1330000	You
1330000	1356000	You
1356000	1382000	You
1382000	1394000	You
1394000	1420000	You
1420000	1442000	You
1442000	1462000	You
1462000	1480000	You
1492000	1518000	You
1518000	1538000	You
1538000	1554000	You
1568000	1588000	You
1588000	1614000	You
1614000	1634000	You
1634000	1650000	You
1650000	1676000	You
1676000	1702000	You
1702000	1728000	You
1728000	1744000	You
1744000	1764000	You
1764000	1790000	You
1790000	1806000	You
1806000	1832000	You
1832000	1858000	You
1858000	1878000	You
1878000	1906000	You
1906000	1932000	You
1932000	1952000	You
1952000	1980000	You
1980000	2008000	You
2008000	2028000	You
2028000	2048000	You
2048000	2076000	You
2076000	2096000	You
2096000	2116000	You
2116000	2144000	You
2144000	2160000	You
2160000	2172000	You
2172000	2200000	You
2200000	2226000	You
2226000	2246000	You
2246000	2266000	You
2266000	2286000	You
2286000	2306000	You
2306000	2326000	You
2326000	2352000	You
2352000	2378000	You
2378000	2398000	You
2398000	2418000	You
2418000	2438000	You
2438000	2458000	You
2458000	2486000	You
2488000	2504000	You
2504000	2516000	You
2516000	2536000	You
2536000	2556000	You
2556000	2584000	You
2584000	2604000	You
2604000	2624000	You
2624000	2652000	You
2652000	2678000	You
2678000	2704000	You
2704000	2724000	You
2724000	2752000	You
2752000	2776000	You
2776000	2802000	You
2802000	2822000	You
2822000	2842000	You
2842000	2862000	You
2862000	2882000	You
2882000	2910000	You
2910000	2930000	You
2930000	2946000	You
2946000	2958000	You
2958000	2978000	You
2978000	2998000	You
2998000	3026000	You
3026000	3054000	You
3054000	3082000	You
3082000	3102000	You
3102000	3122000	You
3122000	3150000	You
3150000	3178000	You
3178000	3194000	You
3194000	3206000	You
3206000	3234000	You
3234000	3254000	You
3254000	3282000	You
3282000	3302000	You
3302000	3322000	You
3322000	3350000	You
3350000	3378000	You
3378000	3398000	You
3398000	3418000	You
3418000	3446000	You
3446000	3466000	You
3466000	3486000	You
3486000	3506000	You
3506000	3526000	You
3526000	3554000	You
3554000	3580000	You
3580000	3600000	You
3600000	3620000	You
3620000	3648000	You
3648000	3668000	You
3668000	3696000	You
3696000	3722000	You
3722000	3750000	You
3750000	3770000	You
3770000	3790000	You
3790000	3810000	You
3810000	3836000	You
3836000	3856000	You
3856000	3876000	You
3876000	3904000	You
3904000	3924000	You
3924000	3950000	You
3950000	3978000	You
3978000	3998000	You
3998000	4018000	You
4018000	4038000	You
4038000	4066000	You
4066000	4086000	You
4086000	4094000	You
4094000	4114000	You
4114000	4134000	You
4134000	4162000	You
4162000	4182000	You
4182000	4210000	You
4210000	4230000	You
4230000	4258000	You
4258000	4278000	You
4278000	4306000	You
4306000	4334000	You
4334000	4362000	You
4362000	4382000	You
4382000	4410000	You
4410000	4438000	You
4438000	4462000	You
4462000	4482000	You
4482000	4510000	You
4510000	4530000	You
4530000	4550000	You
4550000	4570000	You
4570000	4598000	You
4598000	4618000	You
4618000	4646000	You
4646000	4662000	You
4662000	4682000	You
4682000	4710000	You
4710000	4730000	You
4730000	4752000	You
4752000	4780000	You
4780000	4808000	You
4808000	4836000	You
4836000	4856000	You
4856000	4884000	You
4884000	4912000	You
4912000	4932000	You
4932000	4960000	You
4960000	4976000	You
4976000	4988000	You
4988000	5008000	You
5008000	5030000	You
5030000	5058000	You
5058000	5078000	You
5078000	5106000	You
5106000	5134000	You
5134000	5162000	You
5162000	5190000	You
5190000	5210000	You
5210000	5238000	You
5238000	5258000	You
5258000	5278000	You
5278000	5306000	You
5306000	5332000	You
5332000	5348000	You
5348000	5360000	You
5360000	5380000	You
5380000	5400000	You
5400000	5428000	You
5428000	5444000	You
5444000	5456000	You
5456000	5476000	You
5476000	5504000	You
5504000	5532000	You
5532000	5560000	You
5560000	5588000	You
5588000	5616000	You
5616000	5644000	You
5644000	5664000	You
5664000	5692000	You
5692000	5720000	You
5720000	5736000	You
5736000	5748000	You
5748000	5776000	You
5776000	5804000	You
5804000	5832000	You
5832000	5852000	You
5852000	5872000	You
5872000	5900000	You
5900000	5920000	You
5920000	5948000	You
5948000	5976000	You
5976000	6004000	You
6004000	6024000	You
6024000	6044000	You
6044000	6064000	You
6064000	6084000	You
6084000	6112000	You
6112000	6132000	You
6132000	6152000	You
6152000	6180000	You
6180000	6196000	You
6196000	6208000	You
6208000	6228000	You
6228000	6248000	You
6248000	6268000	You
6268000	6288000	You
6288000	6308000	You
6308000	6336000	You
6336000	6352000	You
6352000	6378000	You
6378000	6398000	You
6398000	6426000	You
6426000	6442000	You
6442000	6470000	You
6470000	6490000	You
6490000	6510000	You
6510000	6530000	You
6530000	6550000	You
6550000	6570000	You
6570000	6594000	You
6594000	6614000	You
6614000	6642000	You
6642000	6652000	You
6652000	6662000	You
6662000	6690000	You
