start	end	text
150000	152000	You
180000	194560	Oh my gosh, hi, I like just woke up from a nap
197120	200920	Let me just hold on I'm like really in the middle
202520	206800	Tee hee, how are you guys doing? Oh, I forgot I
207080	209080	I
209360	213400	Flipped myself. I need to flip myself off
217360	219720	No, they normally just bouncing around
220760	226800	You'll soon learn that my streams are just a constant wave of scuff. I don't
227600	229600	Know what to tell you
230320	236260	Okay, doesn't really matter that much I suppose
236640	243000	How are you guys doing today? I was um took a little nappy. I feel good. I have some lemon odd
243840	245840	Sipping on some lemon odd
246680	248680	I'm
250320	254840	Everything I do is perfect you will learn that is far from the truth my dear
256200	257880	But I know
257880	259520	People have some
259520	262640	qualms with my sound so let's
263360	267760	If you don't mind and you don't because I'm telling you you're gonna help me
268480	270480	with my sound
271320	274080	With my microphone right now. I look great today
274920	279520	Brother in Christ. I look the same. I'm like a I'm a cartoon character
280560	282560	This is this I wake up
282920	289040	I'm in the same outfit. I open my closet. It's constant Shabari ropes in office wear
295760	298240	Okay, so let's let's let me pull up my
300760	305440	Maya Feltas I had some in my Maros go like they
305840	307840	Gonna gave me a giggle
308440	313840	They're like wow you really offended me yesterday, and I'm like in my head like reading I'm like, oh
313840	319480	What did I do? Not that I give a shit, and it was like I can't believe you said, but oh whoa
321880	328900	Like that was the most terrible thing you could ever say to make fun of British people and it gave me a chuckle
332640	336120	How do we know you're not secretly an Android you don't I
337120	341840	Could be an Android you do not know, but why do I sound like um?
343000	346120	the robot from Power Rangers alpha
349040	353520	Okay, so I have a noise gate and I have a compressor and
354240	356240	I have some other filters here
356240	358740	But I feel like they tend to
359680	363000	Mess up my voice in terms of when I scream it
363520	369320	Kind of just blocks me out, so I took off the the noise suppression one
372440	374440	Bit cringe in you, bro. Oh
374960	379200	Wait, what what days it today? Oh fuck. It's Monday. Damn it. I can't do the bit
379520	385520	Do you pay on to be screaming a lot? I I was doing a lot of errands this morning because I lost my bank card because
386280	388120	your girls is is
388120	390120	as clumsy as fuck but um
391120	393500	Uh, so I was blasting
396400	398400	Just like scream music
400080	402800	Probably I was like, I probably shouldn't
403800	408880	Be singing right now so I can save my voice and I'm like fuck that
409360	415400	I was gonna belt my heart out and then you know as some of you saw I was listening to some
415880	418240	Dembo because I like a bit of Dembo to get me hype
419000	421680	I'm gonna put in the loop in the loop print print print print
423880	430360	Shout out to my Dominic comments. Um, how do we know you're not British? I actually I am English
431800	437560	I'm not from the UK, but I am English. I am English Scottish. I'm a Brazilian different things
438600	440760	You'll unlock those things with time
441760	443760	Let's make a river food
443920	449580	Lops no crab legs. I had lobster roll today though for lunch is a little treat. I'm like, you know what?
450080	456640	You deserve a little treat for debut. Let me go and get some a lobster roll and some
458200	460200	I got some clam chatter
461480	463480	We lost a good one lads
464480	470000	Lads your Brit you think talking like this I sound like a Brit
471760	474840	Oh white woman jumpscare. Oh
476800	478800	My god, she's why
480880	485240	Would you revive the queen if you could of course I would I the woman that woman
486000	489560	Practically raised me now. She didn't we knew we knew each other for a good amount of time
490200	492200	It was a good like
493000	497080	Like three or so years and we got super close in those years, but
498080	500320	Yeah, I'm still I'm still healing from those wounds
501120	503200	She is a she was a big part of my life
503920	505920	What color was the chowder?
506080	510120	White I don't it's it's fucking chowder. I don't
511480	513480	It was clam chowder
514800	516800	I was late. I'm sorry
516800	524320	Somebody flog him you can choose amongst yourselves who gets the privilege to beat that guy. So go ahead
525320	530160	Did you ever Dom Queen? I didn't Dom Queen so in my
531080	533080	early
533360	535360	Adolescence that's fucked
535440	542640	In our early time together. I was very submissive. I actually you can even say I keep these ropes on as
543080	545560	That homage to her, you know
546480	549960	She did teach me about doming, but I didn't dom her I
550840	552840	Did not dom her Lord dump
553160	559360	Um, it's crazy because I'm making this up for the spot. So I'm happy you guys are cool with that. I
560080	563480	Say we take turns at flogging. I agree with that not
564320	566320	Not the blind cane
567560	569560	Even with the blind cane
570360	572360	Okay, um, so yeah
572760	574760	as I was saying
575160	580080	So I'm gonna fiddle around with my settings real quick. So
583600	588360	You can hear my fan because I have a fan for my phone for when I stream
589520	593540	So it doesn't overheat and then naturally my computer has a fan
593920	598800	So you might be hearing the fans and you might also be hearing my AC. Can we jump them?
598800	603680	Of course, you can jump them. Wait, did your beauty mark switch size? No, I'm mirrored and I can't un-mirror myself
604560	606560	It like won't let me
607240	613200	Flip myself for some reason like I'm trying desperately to flip
613880	615600	my
615600	617600	thinking it won't let me flip
619280	621280	If I flip vertical oh
621720	625800	I know why it's because I had it locked aren't I a silly goober?
626840	628840	Hey
628920	630920	Now my moles on the right side
631360	638800	It's funny. I actually do have a mole on my tit except it's not in the center toward like like I do on my my
639520	641520	virtual self it's on the
642280	645800	Towards the outside like right where I don't know
646400	648320	There's any ladies in the chat
648320	654720	Rare um right where you're like your bra strap would go to I don't know everybody's boobs are different never mind
654720	656720	Why am I describing this?
656880	664160	Lord drop I have yeah, I have a lot of beauty marks. I've won on my armpit. I have one on my titty. I have one on my
665200	668760	Just like on my arm in general my tummy. I
670040	674720	Have a lot of freckles. I'm just looking at myself now. I'm just wearing a t-shirt. So
675880	677400	Wearing a t-shirt
677400	681080	some pants on us and out just hit my head on my microphone and
681960	686320	Some pushing slippers cuz I always keep it real
688160	692640	Freckles girl plug. Yeah, I have a beauty. I have beauty marks on my face as well
693400	695000	You'll never see
695000	697000	I don't know. I'm describing if you'll never see
698840	700680	Where is
700680	707480	Hold on. Let me do it. I'm too close to you. I'm so sorry step back you're dancing kind of close
711680	713680	On you
