start	end	text
30000	60000	I'm going to do a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little
60000	90000	bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit
90000	120000	of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of
120000	150000	a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a
150000	180000	little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little
180000	204920	Look who it is. If it isn't a couple of losers. Do you like my cover up? I think it's effective.
204920	213960	harlots today. It's my little sensor bar and also if you don't know my name I
213960	219840	think it's effective. Hello hello how's it going? It's going good! Having a good
219840	228080	day today. Lounge in Maxon and Relaxon. We'll listen to a little bit of Kylie
228080	237040	Minogue of some pre-stream prep. I would really like to dance a bunch and just
237040	242160	get real hype before stream. Don't forget to tweet. You're correct. You're
242160	250480	correct. Can't forget. I smell absolutely delicious because I just came out of the
250480	256600	shower and I forgot, boomie with the home, and I forgot I had some of my
256600	267160	favorite lotion left. I really like the smell of pansy from Lush. It's funny
267160	274080	because on my friend it smelled like old lady flowers but on me I
274080	281840	don't know. Maybe it's my pheromones. It just smells absolutely delicious. Oh we
281840	290640	getting raided! Raflin ride! Holy crap! It's Momay! Have fun beating the crabs!
290640	298560	Forever beating back the crabs. How was the monetization stream? Oh did you guys
298560	307640	have a nice dose of Momay feet? Can I get a sniffer? This is me smelling
307640	316120	Strony's feet. Oh god. Smells smells like salty sea brine. Fucking love it!
316840	324960	Momay's monkey feet! I honestly I'm very impressed with her dexterity with her
324960	331080	feet. Like I definitely I don't I could probably hold something but she was
331080	336880	like doing the whole thing where she's like sticking like ASMR tools in your
336880	345840	ear and I was just I was impressed. I just lurked because I was beating my
345840	357480	I mean I mean I was trying to practice my own foot dexterity. So now do your
357480	361920	foot ASMR stream. Yeah I'm waiting for my red high heels to come in. I need to get
361920	368400	my so like I said that was like that picture I took was from like a month
368400	379520	ago. So I need to get my toes done again. Great carpet clenches. Carpet clenches.
379520	388040	Now that that's one. Carpet grippers. Yeah I got I got the watch of my
388040	395240	collards. I got my tights. Now I just need the heels. I still haven't tried on the
395280	400880	cosplay. I need to do that. And if it doesn't fit I might just wear the shirt
400880	404600	unbuttoned and then this this just like I'll just find it try to find it with
404600	411320	mini skirt. Heel dangle. Oh yeah. Love my giant name tag. Thank you. It's my my
411320	416160	cover-up. I think it's doing a pretty good job. It's not transparent or
416160	426160	anything. Carp. I don't know if I would call it like a carpet clencher. Like use
426160	432480	feet for that on a the other type of carpet. That just sounds painful. Like
432480	438800	did you ever like have that one person or friend that could like use their feet
438800	443680	and like pinch you with them? One of my childhood friends would freak me out by
443680	447080	doing that. Maybe that's not what that's why I'm not into feet is because I was
447080	452720	traumatized by my friend pinching you with her monkey feet. So like imagine
452720	458080	like oh my god ASMR roleplay where Shawnee pinches you with her feet as
458080	466800	punishment. Yep yep. Brother can snap with his toes. What the hell? That's just
467120	474480	Is he a mutant? Or is she a Scott? No. She was just blonde white girl.
479040	480880	And she had the she had a valley girl accent.
483520	491520	Very funny. Where is she pinching? Well in terms of Shawnee, I don't know that's up to her.
491920	498240	Sorry. I'm adjusting myself a little bit here. I can use my feet to pick up the small objects
498240	502400	on the other side of my desk. What the fuck? Thank you. Thank you. I have a great sensor.
503600	511040	Ebony Darkness. Ebony. She she uh Shibbony. Shibbony Darkness took over my channel for a
511040	515280	couple of streams yesterday. My cats have the zoomies right now. What are you doing?
515920	520560	Can you chill out and stop chasing her? Oomie's like harassing a sister.
522080	527280	I hope you guys enjoyed her. She was she was pretty cool. She's a little bit too edgy for my
527280	537200	taste. But uh yeah she's nice. Just like um the other other lady that uh was running that one bar.
537200	540960	She can also disconnect her head from her body. It's really impressive. I wish I had that skill
540960	545120	you know. 10 hour stream today. I I think not.
547920	555920	I think not. I think uh just because I don't think I have I'll probably end up rage quitting
555920	561760	especially with the level the portion of the part that we're on for um uh another crabs
561760	569440	event uh adventure. Another crabs treasure. Nine hour stream then. And a lot of fanfic reading
569440	576080	happened. I went done no I went uphill. We were on a straight incline. We talked about you know how
578560	584720	Hogwarts and a squid made beautiful consensual love. Um
588800	594640	can you hear my cats zooming around my house right now? I turn off the filter so you can.
594640	598240	You hear there's a little just like galloping and then they're they're tokyo drifting around
598240	605040	the corners in my apartment. Just don't be bad at video game. Uh that's impossible for me.
606880	615200	Don't run with your wands out. Yeah there was just like scrawny um squid inked everywhere in Hogwarts.
618720	621680	I have some delicious tea. Heard it a little. No.
621680	629040	It's because Fia likes to take refuge by my feet under my desk. I'm like I'm like you know how
629040	636240	when you play tag as a kid or like just some sort of tag related game um you would have like a
636240	642240	home base where you were safe especially if it was like freeze tag or something. That's what they
642240	645920	use me as. I'm not even joking. If I'm in any part of the house and they're running around
646480	651760	Boomi and Fia will use me as like a home base. Hello welcome in.
654560	662480	What literary masterpiece did you miss yesterday? You missed uh 15 chapters of My Immortal and um
663680	670880	the actual castle Hogwarts being uh tentacle banged by a giant squid. So if you ever check
670880	679840	those out go check them out. You know I'm also working on um I'm gonna re uh public I don't
679840	685120	know what the fuck I'm saying. I'm gonna make public that class of 09 VOD that everybody loved.
685120	691200	I'm just waiting to get monetization before I do because I feel like they would go on that and
691200	695200	they'd be like wow this is bad. We thought the other video was bad of class of what this is worse.
695200	700720	That was my cat.
703920	710960	They're zooming. Yeah yeah I gotta gotta sneak it one in. Yeah I don't they they were pretty like
710960	716720	Boomi was chilling next to me and then they just started zooming. Happy Tuesday. It's Tuesday unit!
717680	722880	Rob, Rob is fucking Tuesday. I can fucking say it. It's Tuesday.
724800	732160	First get monetized then get canceled. Um you know my attempt at speedrunning getting canceled has
732960	742480	not worked. I'm very surprised by that. It's Chokshik Tuesday. She'd be Tuesday. I'm really
742480	746800	excited to hopefully be um do the monetization stream and do like member streams because I'm
746800	751840	telling you I want to do that self-tying shabar stream. You can't see what I'm pointing at you
751840	756400	and waggling my finger like a teacher who knows you're up to no good because you copied off of
756400	764240	someone's homework. I'm very very excited for the power wash collab this week. That is going to be
764240	772800	funny as hell. I'm debating whether or not to stream my viewpoint. What do you guys think?
772800	776320	Like what do you want? Because it's going to be all of us streaming at the same time and I'm like
778160	782560	what's the point? I'm like I don't know. If you want me to see do you want to see my viewpoint?
783920	789760	I'm sorry I can't draw Rob Shibi. It's okay. A lot of the artists that will make commission for me
789760	798720	they always drew my ropes as straps. Like even my header art and my twitter and my wallpaper
798720	803760	that I also use it. It's just straps. It's just leather straps. It's not even rope or it looks
803760	813920	like ribbon. Give the clippers work. Hey Shibi I bought all 50 parts of the paper. Thanks for the
814080	822720	recommendation. Oh my god. That is such a just read like an excerpt from that book and you can
822720	834560	thank me later. I managed to shake down Emmy for the book title of the interesting book she wants
834560	840080	to read. I read the synopsis and I was like okay this is right up my alley all right. She's like
840080	846640	what? And I'm like yeah I'm on that shit and she's like oh okay and then I sent another
847840	857280	terrible fucked up smut book her way. I sent her den of vipers. I couldn't even get through that book
857280	864400	it was so bad. But I'm like I'm trying to try to convince management to give me a podcast with
864800	875680	um uh my IRL friend Salem because she also reads a lot of smutty books and and maybe Emmy and we
875680	880720	can have a little book club together and the other girls because I you know you know mercy reads that
