start	end	text
0	30000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ �
30000	60000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
60000	61000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
90000	91000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
120000	121000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
150000	151000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
180000	181000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
210000	211000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
240000	241000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
270000	270500	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
300000	328820	ლ ლლ ლ ლლ ლლ ლ ლლ阈ალ manufactured
328820	330820	ᴔᴀᴇᴄᴋ ᴜᴀᴀᴀ ᴜᴀᴀᴀᴀᴘᴍᴍ
336120	337000	ᴤᴀᴀᴄᴄ ᴈᴀ ᴈᴀᴀᴀᴀᴀ ᴇᴀᴀᴀᴀᴅ ᴇᴀᴀᴁᴅᴂᴀ ᴅᴀᴀᴀᴅᴅᴅ once
337000	339000	Why am I being complimented so much?
339000	341000	Did you guys do something wrong?
343000	345000	I feel like are you sucking up to me?
346000	349000	Yeah, yeah, I don't know if I trust you.
351000	354000	I don't know, hmm, suspicious.
356000	359000	You might be wondering why am I holding my leash like this?
359000	361000	I'm drawing with it, don't worry about it.
361000	364000	It's a skill that takes years to master, but I have done so.
368000	371000	How was the bed?
371000	373000	Oh, it was so good.
373000	375000	Such great bed.
377000	379000	I'm sorry, I'm eating almonds.
381000	383000	It was so good.
385000	387000	I didn't think it would be different.
387000	390000	Lying on the floor versus lying on a bed frame.
393000	395000	The leash has a drawing feature.
395000	398000	It draws you closer to me, so I can choke you out.
399000	401000	How the almonds activated?
401000	403000	What does that mean?
404000	407000	There's blue diamond honey roasted almonds.
409000	412000	Right on the floor of this one.
415000	418000	It's really good handwriting. Are you lying to me?
420000	422000	Oh, am I? Okay, great.
422000	424000	I'm not actually...
425000	427000	Thank you for the soup, ma'am.
427000	430000	The only thing I did wrong was staring at your fuzzangas,
430000	432000	and I feel no shame.
432000	434000	One, thank you.
434000	437000	Two, I didn't know you could thumbs up a soup.
442000	444000	It's a meme from a cookbook? Oh, okay.
448000	451000	Yeah, I have really stupid chicken scratch handwriting.
