start	end	text
60000	62000	You
90000	92000	You
120000	122000	You
150000	152000	You
180000	182000	You
210000	212000	You
240000	256000	I'm talking now my voice is too low. If I could really close, yes.
256000	268000	I've worked on this for several hours and if it's still not working, then I'm gonna cry.
286000	304000	It's not working. I'm using you.
304000	310000	I'm really gonna cry.
310000	324000	It's still too quiet.
324000	328000	I don't know.
328000	332000	Does that work?
332000	338000	Hello?
338000	348000	Oh, my cheek is still white.
348000	358000	Can you hear me?
358000	362000	Okay, I'm really sad.
362000	370000	Nothing's working today and I'm kind of upset.
370000	382000	The one thing that was bothering me is that I couldn't change one of my eyelashes to the right color because the mesh is just not working.
382000	392000	I apologize if you can hear my AC.
392000	402000	I'll put on some rain.
402000	414000	I hope the rain helps.
414000	430000	I didn't want to cancel though because I wanted to spend time with you today.
430000	448000	I have allergies. That's why I'm sniffling by the way.
448000	464000	My head would stay connected to my body.
464000	476000	Do you think I look cute?
476000	486000	Do I look nice?
486000	490000	I also think there's a delay.
490000	506000	Again, I don't know why.
506000	512000	She needs reassurance. She's been stressed out today.
512000	520000	I'm working with stuff and I'm tired of technology.
520000	534000	I'm moving the model with my mouth so I'm not all the way over here.
534000	546000	Hi, my name is Sheeby Cottonbomb and today we're going to be doing an ASMR.
546000	552000	It's going to be Improv ASMR.
552000	564000	I'm kind of mad that my stream is not doing the right latency because Improv is needed and chat interaction is needed.
564000	576000	Sorry if I sniffle in your ear.
576000	592000	I should change the title to You Give Yaro Sheeby Therapy because she's stressed out.
592000	596000	What do you mean I'm just ahead?
596000	602000	I don't know what you're talking about.
602000	608000	My allergies are kidding me this morning.
608000	612000	I don't feel good.
612000	620000	I'm having a pain flare up so I don't really feel good right now either.
620000	626000	I won't get my white cheek.
626000	628000	Let me fix that.
628000	634000	This might be very scuffed ASMR. I apologize.
634000	642000	I'm still pissed. I can't color my one eyelash.
642000	646000	Did I?
646000	650000	I should have posted on the wrong account.
650000	656000	Oh my god, I'm going to lose a guy this way.
676000	680000	I'm sorry.
680000	686000	I'm sorry.
686000	692000	I'm sorry.
692000	698000	I'm sorry.
698000	712000	I'm sorry.
712000	722000	Yeah, it's one of those things.
722000	728000	I'll probably just cut all of this out of the vod.
728000	746000	What was I going to do? I was going to color my cheek.
746000	750000	I can't do that right now. It doesn't matter.
750000	752000	No, it doesn't matter to me.
752000	758000	I'm very...
758000	762000	Don't worry about how my head is disconnected.
762000	768000	I'm very...
768000	772000	I don't really know how to explain that I'm not myself today.
772000	780000	But I'm not myself today, as you can see.
780000	788000	I'm almost wishing I could be babyed right now.
788000	798000	Hold on.
798000	800000	Now you throw my head in the trash.
800000	806000	Anyways, how's it going?
806000	810000	One moment.
810000	826000	I will remind you that my Bunspeak accent comes out when I'm...
826000	832000	feeling some types of way.
832000	836000	But don't worry.
836000	840000	It'll change.
840000	844000	Is there a voice in the background?
844000	848000	It's my desktop audio.
848000	854000	Do you like my bedroom? I took it from Canvo.
854000	876000	No.
876000	882000	Nobody can see that, right?
882000	890000	Maybe I should not do this on stream.
890000	892000	Don't look.
892000	914000	Don't look.
914000	934000	Don't worry about it.
934000	938000	That's close enough.
938000	948000	Ahem.
948000	952000	I love that.
952000	962000	I look very cute. I can't wait to get hands.
962000	966000	I'm stressing.
966000	972000	Okay, yeah.
972000	976000	Yaru Dolhan gets babyed by chat, maybe.
976000	982000	Okay, um, how long?
982000	986000	Okay, I've been streaming for 16 minutes.
986000	990000	I won't cut 16 minutes.
990000	994000	So the roleplay today is going to be improved.
994000	1002000	It's going to be more scuffed than you think it is, because I'm kind of doing stuff off the rip.
1002000	1012000	I'm going to do all the doughnose and stuff at the end and all that.
1012000	1020000	Yeah.
1020000	1022000	What if I told you, like, you want this color?
1022000	1028000	Not good, because I'm going to be this color eventually.
1028000	1036000	Um, so this is going to require some chat interaction.
1036000	1040000	Are you ready to rumble?
1040000	1046000	I have some stuff.
1046000	1056000	I'm used to this scuff, madam. It's fine.
1056000	1070000	Why am I holding your hair?
1070000	1080000	Hmm.
1080000	1086000	What was that about?
1086000	1092000	You're sleepy already?
1092000	1098000	The scene is, you're my classmate.
1098000	1116000	Why did you over my house?
1116000	1124000	Why did you over my house?
1124000	1130000	Because we can work on a project together.
1130000	1136000	My body's going to be jumping back and forth.
1136000	1142000	It's a rainy day.
1142000	1148000	And you don't have any power at your house.
1148000	1152000	So we're doing that at mine. I hope you don't mind.
1152000	1156000	Is that okay with you?
1156000	1162000	It better be okay with you. You don't really have a choice in this.
1162000	1170000	This is my bedroom.
1170000	1174000	I'm going to...
1174000	1194000	I'm going to put my body on the bed and you can stare at her from over there.
1194000	1204000	This is mine.
1204000	1214000	Pink is my favorite color.
1214000	1240000	I'm going to start now.
1240000	1248000	Hey, yeah. You can put yourself anywhere. Make yourself at home.
1248000	1256000	I guess we better get ready and get started on that project.
1256000	1262000	Did you remember to bring the assignment?
1262000	1264000	No.
1264000	1268000	Do you even remember what the assignment is?
1268000	1272000	You don't?
1272000	1274000	I knew I shouldn't have partnered with you.
1274000	1278000	I was hoping that you'd do all the work because I thought you were one of the smarter kids.
1278000	1282000	I guess I was wrong. I guess you're just still dumb.
1282000	1284000	What's that on my bed?
1284000	1286000	Oh, it's just my body.
1286000	1290000	Don't worry about that.
1290000	1296000	Sorry if my AC's loud. It has been a pretty hot one out there.
1296000	1302000	Please don't stare at her though. That's kind of rude. Please don't stare at my body.
1302000	1308000	She's, you know, just trying to hang out.
1308000	1312000	You fell asleep in class when the teacher was telling us?
1312000	1320000	I would never have ever thought that from you. Have you been getting sleep?
1320000	1328000	Alright. Maybe you should work on getting better sleep.
1328000	1336000	Well, so, we have a history project.
1336000	1352000	It has to do with 18th century literature and its impact on history.
1352000	1362000	I think. Hold on. Let me go on my phone real quick. I'll tell you what the teacher emailed me.
1362000	1368000	Hold on.
1368000	1370000	No.
1370000	1380000	Oh my god, where's this freaking email?
1380000	1388000	My phone turned into a book.
1388000	1402000	Oh, it's the history of magic. That's what it is. That's why I managed to turn my phone into a book.
1402000	1410000	My body's holding the phone. I have two phones.
1410000	1418000	You only know about 17th century literature? You're going to be absolutely useless.
1418000	1428000	Can we look at the history of anthropomorphic girls? I think that's a little bit off topic.
1428000	1436000	Anyways, you can come and sit with me on the bed and we can start.
1436000	1442000	Did you bring your notebook with you for class?
1442000	1448000	You did? Okay. Cool.
1448000	1452000	Hold on. Let me just tuck my head on my body.
1452000	1458000	Give me a moment.
1458000	1466000	Hold on. My head's still a little bit too big.
1466000	1480000	Him.
1480000	1486000	Why don't you come sit?
1486000	1495000	Just make yourself comfortable. Just come sit down.
