start	end	text
60000	90000	I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing,
90000	120000	but I'm going to do the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but
120000	150000	I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same
150000	180000	thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit of the same thing, but I'm going to do a little bit
180000	202920	well, I feel like I'm moving 5 miles an hour
202920	204920	I'm so tired
206640	212560	How are you I'm not I'm not gonna lie to you
215880	223120	At exactly four o'clock I woke up from a nap walked over to my computer impressed go live
224960	227720	So I'm still waking up
229200	232520	I'm waking up to the ashes
233360	239280	Okay, it might be a little bit delirious
244760	248400	Got my tea ready to rumble I
250200	253760	Gotta remember who I am who I am I
255760	258960	Also, so like I got an iPad stand
259680	266680	Thank you for your support those who look at my throne and such and I was trying to set it up so that I could use my
266880	271760	iPad almost like a third monitor and look at chat and it was working well except I could see
273280	276640	Like it was so tiny I couldn't see anything and I'm like oh
277160	282640	I'll have to lean forward and squint my eyes to see what the frick. I'm looking at
282640	284640	Oh
287360	292920	What are you why are you guys doing today? How was uh did you get double ASMR again from
293600	295920	throne a and and I say
301800	305240	By the way, is she be short for Shabilla
305320	313080	I'm too tired to come up with a snarky remark to that
315240	318920	Um, oh no, I see the Tomb Raider. I don't know where I am
321480	322600	Oh
322600	326120	You've got to melt model kids go sick, but you're here. I
327240	328920	like
328920	332440	some of you guys might saw me all I went to the doctors this morning and
333400	335400	And
336200	337560	Like
337560	339560	Going out into the world
340240	345560	Takes a lot out of me and interacting with people because I kept kept getting turned around like I kept
345640	349000	Accidentally going the wrong way because my GPS was messing stuff up
349000	354720	I was a little bit late and then the office is taken forever and so I was just so tired
355440	359240	When I got home, but then I had to do a bunch of other stuff to prepare for stream
359720	363000	And then like exactly three thirty eight is fell asleep on the couch
363800	365800	and knocked out
367960	371480	But uh, we're here we are here
374680	378920	She beat me in losses kind of be I have no sense of direction
380280	386600	Uh, I I never know where I am even in my town that in in my city that I've lived in for
386600	395240	My entire life essentially, I'm like, oh, which which road do I take? Where where am I?
398360	401160	It's not a miracle I'm awake right now. I did set an alarm
402600	407800	But I'm like, I know I needed to just like lay down for a bit and just gain my bearings
408440	411080	Um, but I hope you guys enjoyed Tomb Raider
411800	413800	with IC and then
414200	416200	ASMR with momay
417080	420360	I am quite E.P. I am waking up
421720	426600	Don't worry. I'll wake up though. I'm just like here. I didn't fall asleep till like 3 a.m
427080	430760	My whole sleep schedule is messed up ever since I streamed so late
434600	436600	A womb raider? Oh my god
437080	438840	I already made that joke
438840	440840	I already made the ash and dust joke
441320	442520	the
442520	444520	imagine dragons
444920	451080	Oh, you like imagine dragons. Well, imagine me dragon. He's nuts across your face
451960	453960	Got him
455320	457320	I forget to put my ooloo mouth on
463400	466440	I'm pretty good. I'm pretty I'm pretty I'm pretty uh
468440	469960	I'm as
