start	end	text
0	2000	You
30000	32000	You
60000	62000	You
90000	92000	You
120000	122000	You
150000	152000	You
180000	182000	You
210000	212000	You
240000	242000	You
270000	272000	You
300000	302000	You
330000	332000	You
360000	362000	You
390000	392000	You
420000	422000	You
450000	452000	You
480000	482000	You
510000	512000	You
540000	542000	You
570000	572000	You
600000	602000	You
630000	632000	You
660000	662000	You
690000	692000	You
720000	722000	You
750000	752000	You
780000	782000	You
810000	812000	You
840000	842000	You
870000	872000	You
900000	902000	You
930000	932000	You
960000	962000	You
990000	992000	You
1020000	1022000	You
1050000	1052000	You
1080000	1082000	You
1110000	1112240	These balls across your face
1140000	1149280	Why are you eating? I don't know
1153040	1158080	Oh my god, where's the game sound? Oh, yeah, look at me. That's a chancer right there
1158800	1160320	She's
1160320	1162320	Okay, I'll put us all at the bottom
1162320	1164320	I
1169760	1175360	Always get a snap from uh one of my friends her name's bubby. Oh, and uh, yeah
1175920	1179680	She I always I only got snapchat just for her because I never use it
1180000	1182800	So I was just like she was like, yeah snapchat. I'm like, no
1182800	1184800	I
1189600	1191600	Here and if anyone else asks me no
1193760	1195760	Never
1197760	1202400	Man man put it on speakers and let the neighbors hear you want people to hear damn
1203040	1204400	Oh my
1204400	1206400	Get a little frisky. Damn
1207360	1209360	We had headshots. No, I only see
1210240	1212240	Ah
1212640	1214640	Backshots what
1217680	1222160	People still use snap. I but yeah, I guess they do I didn't know
1224320	1226320	Let me move this girls down
1229600	1235120	All right, let me know when you guys are ready to start I'm ready. Yeah, I'm my fingers itching on the play button
1235840	1238640	Did you just purr? Yeah
1240080	1242080	Yeah
1242080	1246560	I mean I can purr for you. Oh, can you make that kitty purr for me, baby girl?
1247280	1249280	Yeah
1257680	1263440	Hello sunrise, how was your day? I mean, I'm hanging out with three hot ladies next to me. So I'm doing pretty nice
1265600	1267600	Yeah
1267600	1269600	All right
1269600	1271600	I'm on the end
1271600	1273680	I'm on the edge
1273680	1275680	of glory
1278960	1282080	I thought I had a controller, but it doesn't seem to work. So
1282880	1286800	Oh, yeah, I don't know if controllers are how do you how do you drag people?
1287600	1291680	Oh dear pulling a zero with me. Oh e pull his e
1291920	1293920	All right, let's go. Come on appala
1295680	1297680	Come on my pets
1304080	1309920	Oh dear, oh my goodness, maybe we should have re-evaluated the order that we're standing in it's fine
1311280	1313280	It's fine
1313920	1317120	Thank you for saying bless you guys. I much appreciate. Thank you
1317360	1322080	I'm sure if you're capable though, why is this guy sound so familiar?
1324400	1330880	He does sound hot. Yeah, I was thinking he sounds like the guy from sucker punch
1332640	1336720	The old man that tells you wise things. I just watched that movie the other day. It sounds like him
1337280	1342960	I love sucker punch. That's like my all-time top 10 movies to watch every now and then same
1343440	1346320	It's like one of us like it's mid, but it's great. Yeah
1348080	1352080	I just like the really intense fight scenes when they switch over and I'm just like yeah
1352880	1356400	I did it for our members watch along everybody liked it. So I'm glad nice
1357040	1360640	All right, which way we going we have to communicate what is happening
1363360	1367680	All right, so we're just gonna go we're just we're just going go. All right
1370800	1372800	Oh, okay
1373520	1375520	All right
1376400	1378400	Yeah, yeah, we got this game
1379680	1382560	I was watching markiplier play this game with his friends
1384560	1391520	And they were literally called it just going no stopping. Thank you. Thank you. I was getting the strat
1396400	1402320	Oh, okay, I guess I'll come too. I'm also terrible at platforming. So this is great
1406480	1408480	I
1411360	1413360	I'm sorry. I did it on purpose
1414080	1418080	There you go. There you go. All right. I'm bringing up the rear
1420160	1422160	Oh gosh, I don't want to follow
1423840	1427280	You can only pull up the person in front of you and behind you so
1428080	1430080	You can you guys in the middle can pull either way
1430080	1432080	I
1433600	1437280	We're doing pretty good so far. Yeah, I think we're almost there
1440560	1443120	Oh my god, this will do they know
1446400	1452240	Little is never little. Oh my god. You guys almost pulled me off. All right. All right. We're good. We're good. Okay
1452480	1455600	Just walk straight just edge edge a little bit. Yeah. Yeah
1455760	1457760	Just
1458080	1460080	Nice. All right proceed
1461040	1466560	Apollo you are a queen to make our gameplay worse. Don't go forward. There's a hole there
1472960	1478160	We are one oiled one well oiled machine. We're literally just telepathically communicating right now
1478240	1480240	Yeah, we're so in sync with everyone
