start	end	text
120000	122000	You
150000	152000	You
180000	182000	You
194080	195680	Hello
195680	203420	How's it going? It's an early morning for madam and when I say early it's just 10 a.m
203920	205920	which is the time that
206520	209400	normal people have already gotten up, but you know
210480	212480	Oh
212480	216400	Yeah, you can't see it in my brand new reaction to this game. Yep. Mm-hmm
217920	221780	It's I can't wait. It's gonna be so fun. I've never played this game before
226080	228080	Can't wait can't wait
234080	237200	Turn that BGM down just a smidge in it
237760	240260	How are you guys doing? I
241280	246960	Have Fia on my lap and she's rolling around. What do you do in lady? Oh, she's leaving now, huh?
246960	252160	But it was fun snuggling with you. I was hoping to get some purrs on the microphone. I
254920	259380	Have early let me just wake up
262080	264580	Grab Russian put a little little makeup I
265540	271820	Know some of my Euro viewers are probably pretty happy. I'm I'm this early
273220	275540	Good morning, European viewers
276300	282140	Yes, this is a European. I'm speaking European. This is my European language
284380	290340	You missed the last hour of stream yesterday we didn't stream yesterday, so I don't know what you're talking about
290340	297620	We're playing the first the first game
299140	301140	Boomi is running laps
303460	305460	You probably can hear him
307060	315140	My voice is a little eh today, so I'm going to probably just let the voice actors do their thing for this
316060	318060	game
318300	319740	Uh
319740	322860	There's a second game. Yeah, the re-up is the second game
323980	329340	Um, yeah, we did in a stream yesterday. I'm so sorry. I canceled stream yesterday guys
329580	334620	I just I'm making it up for you by doing two streams today
334700	339740	You get two count them two streams today. Can you believe it?
340860	342700	You get um
342700	346700	You get the Stanley parable and you get class of 09
347660	349660	How's their 56 year old streamer?
350300	353100	Uh, you know, I was awake at 6 a.m.
353820	356540	And then I was like just like how old people do
357100	359100	Um, and then I got some stuff done
359900	362460	And I went like right before I started stream
362460	367500	I went downstairs to take out the trash and the freaking maintenance guys are in my hallway again
368220	372220	And um, and they were just staring at me and I'm like, uh, and I like I probably
373180	375180	I usually don't
375500	376380	like
376380	379820	wear like wearing hyper revealing clothing
380300	385980	But I was super lazy and I was just wearing some like pajama booty shorts and a sweatshirt and no bras
386220	388220	And then I'm just like carrying a shit ton of trash
388860	393660	In my recycling and then they just stare at me and I'm like, I hate it here
393820	396460	And then I just walk past them into the elevator
398300	400540	For those who don't know, um
401500	404620	For those who don't know, uh the other day
405740	409500	The maintenance guys came into my apartment because they thought I wasn't home. I didn't respond
409580	414460	I had headphones on and I had some fun toys and stuff everywhere
415180	419500	And a hanger on my door that says do not disturb my master
421500	428060	So, uh, I and then they left and I then I realized oh I had stuff out
428860	430620	Awkward
430620	433900	Yeah, they were just changing filters and checking my hot water
435420	441020	I'm almost at 4k subs. I know it's crazy. I'm so thankful for that. Why am I bigger?
442460	443500	Um
443500	445020	I'm just getting bigger
445020	450460	Uh as for the 16k on twitter, it's kind of on my alt account
450700	456700	It's kind of daunting actually and I almost don't like it because one I don't like
457180	459660	I liked having just like a small group of you
460300	464140	Hear my rambles and also my naughty naughty stuff
464780	471420	And then two they're probably mostly bots and not genuine like the sex bots from me saying, um
472460	474460	uh porn
474780	477900	Because like the algorithm's been really liking that word so
478860	480140	But I
480140	483500	I hope you guys enjoyed the feat. I think my favorite reaction
484380	486380	To the feat
486380	488380	pick for 16k
489420	491180	was um
491180	493340	Your alt was promoted on my timeline before
494380	497340	I had at you know, it's just this how it be
498140	499660	my favorite
499660	501340	thing was this like
501340	503340	I thought she was brown
505500	507500	She's not dark enough
507900	509900	Kind of like I said I was mixed
510460	513500	I'm very light-skinned. I haven't been outside since the winter
514940	516940	But when I tan I tan like a mother
517740	525980	And I'm like I've only been fighting with this identity crisis my entire life. Now people on the internet are saying I'm not brown enough
528780	533980	And then some people in my maros are like, oh my caramel queen
537660	539660	It's always funny
540140	542140	to me when people
542540	543500	uh
543500	547260	fetishize my skin tone by comparing me to food
548700	550700	That's like always been a thing
551340	552700	like
552700	554700	growing up for me
554700	558700	like, uh caramel, uh milk chocolate, uh
559500	561500	peanut butter like
561820	563820	on my eye
564460	566540	I think maybe y'all have a more fetish, but
567100	573900	I'm like, mm milky way. Mm mocha. Uh my snickers queen. I'm just I'm just
574620	576300	food
576300	579820	4 chain traffic slowed down for half an hour half you post anything
581260	587820	Really? That is hilarious. Um, don't steal it. Yeah, I love don't steal it. She though. Um
589580	590700	Uh
590700	595580	You do be looking delicious. Yeah, I got I got my toes done. Um, I won't lie to you
595580	598140	That's like a picture from like a month ago
602060	607660	Because I was preemptively taking photos just as like for like, um
609100	612060	Possible patreon stuff and fansy stuff
