start	end	text
0	2000	You
30000	32000	You
60000	62000	You
90000	92000	You
120000	122000	You
150000	175580	Do you hear that do you hear that it's fucking nothing
175580	182180	Wait, I should have done this one. Um, does that sound better?
182980	185860	Does that sound better the the um?
187020	191020	The microphone I fixed it. I fixed it
192300	193860	Hello
193860	200140	I literally just spilled water on myself, and I'm not even like joking and like trying to be cheeky or whatever
200140	203620	I literally I just noticed I didn't close
204220	209460	Oh, I just squirted at me. Um, my little water thing
212980	218900	So I'm soaking wet sounds like I'm underwater. No
221820	227500	It's only I'm gonna keep I don't believe any of you hold on
227500	235660	Hi kitty, what are you doing? I literally
236380	241500	Work so hard to fix this and you're telling me
245780	250860	Oh no, oh my god
258340	262340	Okay, I think there was like a filter on and I don't know why it did that
267460	269460	No, there's no AC shoes
272980	276380	Wait, no, you can hear I literally I was
277140	279140	Messing around for an hour
279740	286460	With my microphone trying to fix it. So if you're telling me you can still hear my AC. I'm gonna cry
286780	288780	I'm literally
289100	291100	Where's my crying tag?
295060	297060	Gonna cry
297300	299300	AC is the main care. No
300140	304380	No, hold on. I don't believe you. Are you guys lying to me? I'm gonna listen to myself for a second
309460	311580	Hello myself, can I talk? Oh
311580	313580	Oh
315140	317140	My headphones are on. Oh
320060	322060	Gosh
323860	327780	You can hear it you guys are liars bitches bitches
329620	331620	Bitches
332780	337660	Stop memeing me stop it be nice. I'm gonna
338460	340460	Oh
341100	346460	Shit fuck where I messed something up. No, that's not what I meant to do
347860	349860	There it is I
350700	356100	Need to change the toggle for this because it makes my whole entire YouTube full screen
356100	358100	Oh
363300	365300	Sounds perfect
365340	367340	It's still there
369100	371100	Okay, no, you know what we're serious
371820	373820	you guys
373860	381700	Don't forget just because I'm a goofy girl failure as some of you like to affectionately call me doesn't mean I
382980	385340	Won't wrap my legs around your head
386100	391180	And squeeze you tightly until your neck pops like a Barbie doll
394980	399220	Hmm, I promise it's not a no. Yeah, it's not a threat. It's a promise
404380	411900	Have any in at all today it's 4 p.m. You know, we're just I'm gonna have a little bit of girl dinner a little bit of early girl dinner
412740	414740	Um
416340	418340	So mom
418500	420740	Go-go squeeze apple cinnamon applesauce
422900	424900	Don't eat a cookie. I know
425540	427540	Can you believe Azura's?
428460	433380	ASMR got taken down when she was way more in tamer than me or
435100	439860	Or in me and honestly, I feel like she was just as tame as Mercy and Mercy's is still up
439860	443100	Thank God. Mine's gone to the ether aka. It's been privated
443940	447980	I'm like tempted to like let's put on private it for like a minute
450020	452020	Oh
452740	454740	Mmm
454740	456740	Yeah, I'm actually the only one that made it out alive
457260	459740	That's because I can't help myself and tease you guys. I
460660	463700	Also, just like I personally really like
464260	466260	mouth sounds
466460	468560	And it is just really annoying
470020	474940	But I'm like I can't even do like mouth sounds or kisses or belated numb numb numb numb
475660	479660	It's trying to you nice. I'm are they I don't know. I haven't looked at her schedules. I
480980	484900	Haven't looked at her. We have a little schedule thing. I have to I haven't looked at it. I
486020	488180	Know that strong. He's playing like avatar
488820	493980	At first when I started on the schedule, I'm like, oh like the last airbender, but no James
494140	496140	I
498940	502980	But yeah, I can't on private the vaude because I will get got
503700	506060	because in me got got and
507580	509180	Azura got got
509180	512140	Honestly, it's only a matter of time before Mercy gets got
513060	515060	So it is what it is
516020	521220	But you know, um, I know that some people are trying to find a way to put together
522020	526260	Like some sort of archiving system if that does happen, I will
528100	533700	Definitely pass that along to you guys or whatever if that's allowed. I don't know manager
536460	545580	Will you do I'm not safe for work non-live on your channel. Well, this is is it's not safe for work. I know I'm like
546460	553340	Big boob duh, but like I'm I'm safe for work. Oh, do you mean like a video video?
553340	560300	Um, I do have like although I know strong. He's worried that I might get taken down or something
560300	562300	Um, I have like a really cute
562860	567380	like snuggle with me audio and then like a meme audio and
568140	571780	So I don't but I don't know if it'll work
572100	576940	Like I don't know if like because YouTube's really cracking down on any sort of mouth sounds
577660	583420	And how the algorithm works an algorithm just the bots work right now is that they're combing through the newest videos
583420	587900	So that's why you'll like see like people with like millions of views
589460	591460	Have like the most foul
592380	597180	ASMR videos, but they're like from like a year ago or so or like a couple months ago
598180	604260	The it's not you it the bots aren't prioritizing the old ones are prioritizing the new stuff. So
