start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	120000	ლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	150000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
150000	180000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
180000	210000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
210000	240000	ლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
240000	242560	A
242560	244560	U
244560	246480	U
246480	248560	U
248560	250560	U
250560	252560	U
252560	254560	U
254560	256560	U
256560	258560	U
258560	260560	U
260560	262560	U
262560	264560	U
264560	266560	U
266560	268560	U
268560	274660	visible
274660	275740	lovely
275740	285160	how are you this lovely late after you are night or morning or day
285160	285660	dusk dawn
285660	289680	everybody barking
289680	293840	Uni isn't certain a certain cutatters
293840	299840	ública funniest sh어서
306840	312840	ername
323840	326820	În лек Both a apartments, I'd have started exactly
326820	328980	inte for. But my cat  crest knocked ert over …
329660	331280	ğ Rob my foundation bottle.
331280	333020	nd my foundation, my makeup, nd everyo
333740	336080	was eware so I had to clean 琺 th arriba ikan ё out nd I was up of
336080	338000	two minutes nd then nd nd I ended up ge
338620	340500	ite next Why nd I found basin nd all my mouse
340500	342100	魚? I long I sit back down nd put my hand on it nd
342980	343660	nd I was nd I was nd
344340	344920	between
344920	347260	nd then I went nd I grabbed a whiteen and the whitew
347260	349560	nd moved it aroundini went and grabbed nd got another wife
349560	350840	nd I that white take it off.
350840	352340	So. hello here
353840	357840	lacks scoff and what's the point
357840	377720	�
377720	379260	Ḝˋᵗᶦᶦˊ Ḝˋᵗᶦ ᵗʰᵈʸᶜˊ
379260	380680	Ḝˋᵒᵁᶦᶫᵗᵈᶦᶦᶫ
380680	382220	Ḝˋᵊᶦᶦᶦᶦᶦᵉᶦᶦᶯᶫᶦᶦᶦᶯᶦᶜᶦᶦᶦᶯᶦᶦᶦᶦᶦᶦᶦᶦᶦᶦᶦᶦᵉ ᶜˋᶦᶦᶦᶦᶦᶦᶦᶦ-
382220	411220	I have set up crowd control for Cult of the Lamb, I've just kept all of the regular like coin amounts so like you can, I'm doing air quotes, purchase coins to mess with me on stream and I'm just like, I left everything there like I didn't take away like me switching weapons taking away my health vice versa.
411220	419220	So you guys can go ham if you want to you know help great or if you want to fuck me over great it's fine.
419220	427220	I have played Cult of the Lamb before I almost beat it I haven't finished it all the way through so we're starting a new save.
427220	435220	So you're letting us kill you whenever you get maybe I might have to adjust it but we'll see.
435220	440220	I don't know my chat died. Oh there it is there it goes.
440220	450220	But we'll see how because I've never used crowd control I've only played Cult of the Lamb with Twitch and they have like a built-in extension like companion on the lamb and I was pretty straightforward.
450220	461220	Although it was pretty easy to set up crowd control and I got the pro version so because Cult of the Lamb is like early access to get the pro version to get it.
461220	472220	And but I also know some other cool games on there that I would love to play with crowd control like inscription is one of my favorite games of all time and I would love to do.
472220	482220	I'm like really tempted to like yoink one of my stuff things from next for next week and do inscription with crowd control.
482220	490220	I don't know if I could never use it before yeah and either way so I think it'll be lots of fun.
490220	496220	I'm very epi so I've pounded two energy drinks.
496220	500220	We'll see how hyper I get.
500220	505220	Wow delicious Red Bull.
505220	511220	Did you see you call the lamb trailers today as local co-op yeah I'm like I tagged strongy in the trailer and I was like.
512220	517220	And then I just deleted it because it's a local and I'm like well fuck me then.
517220	520220	She's so far away.
520220	523220	I just get I only like the regular Red Bull.
523220	530220	I like could have gotten a Celsius but then Celsius is like shit to me and I haven't drink a monster in a very long time.
530220	537220	I remember I had like four monsters in the span of like an hour and I had like really bad heart palpitations.
538220	539220	That was funny.
539220	544220	That was real fun those days being a mall rat going through the mall.
544220	545220	Steam has played together.
545220	547220	Lots of people play local co-op games remotely.
547220	549220	What?
549220	552220	You're lying to me.
552220	554220	Is that true?
