start	end	text
0	6520	Icey's in jail because she keeps trying to turn against me, it's fine.
6520	12360	She just a little brat that needs to be corrected, don't worry about it.
12360	20600	Okay, okay, mods, mods, mods, mod, I love you.
20600	25840	You don't have to ban every time, you can ban when somebody says Shibidi toilet, that's
25840	26840	fine.
26840	30440	You can't do it when it's like, they're just saying Shibidi, like that's whatever.
30440	40480	Cause like even like, hi Pookie!
40480	45580	Pookie's a little cute goat girl, she's very sweet and Toto is a tomboy tiger girl, also
45580	46960	very sweet.
46960	56760	I love all of my friends from my past life and my current life and I will do, so you
56760	61040	will see some names you probably don't recognize that are not Corpo being modded because they're
61040	62040	my friends.
62040	63040	No!
63040	64040	I fucking died!
64040	65040	Oh!
65040	76040	I literally gave her like the easiest fucking thing, oh no I didn't need to kill her!
76040	89040	My friends are my friends, I didn't fucking, I just harvester her name, no, I can't resurrect
89040	90040	her!
90040	96160	I accidentally my finger slipped and I hit square instead of x, oh my fucking god, don't
96160	103200	tell her, don't fucking tell her I did that, don't do it.
103200	104200	Don't do it.
104280	107600	I won't forgive you if you do.
107600	110600	Let's add some grass.
110600	117720	Okay, everybody's going to sleep, they're going to eat, we're going to do a little funeral
117720	124200	tomorrow for, not Azura, cause I cut her up, but it's fine, we have the cannibal tree,
124200	130200	I mostly wanted to eat you guys, I didn't want to eat the other girls.
130200	133200	Hi, Tony, so who?
133200	139780	I like how you only particularly said hello to some people, how do you think you, you
139780	140700	made those people feel really bad?
140700	149200	Why don't you say everybody's name?
149200	150200	Huh?
150200	158600	I'm about to start, I'm about to start cracking down on everybody.
158600	168960	I'm like, you know, I'll be nice first week. I'll be nice. I'll be nice. No more Mrs. Nice Sheepie
179720	185480	Cool, then our foodie would eat one day wake up. Very good. Okay, we got that we got that
186200	190320	We got that we're good. Okay. I got some wood. You got some wood
191400	197360	Although it's really awkward because like my friends I'm gonna be saying like some really like out-of-pocket shit and flirting with my chat because I'm a whore
197760	199760	So I apologize in advance
203080	205080	Boop boop boop boop boop boop
205640	207920	But uh, pookie kind of already knows that
209200	211200	She's been she's been watching I
211720	215960	Don't know why I'm planting hops when I don't have the beer thing yet
217560	221680	I have to wait I have to wait for everybody to wake up
223320	228120	Because they want to build up my faith before I go and I also want to do a devotion thingy
233920	236480	I'm just really quiet most dreams. That's fine. Um
237200	239200	Um
239520	240640	Mod
240640	245560	Mod, what did I say? I said if somebody says she be it's okay
245560	249080	It's when they say she be toilet and our fucking zoomers in my chat
250200	252200	Then you can fucking eat them
254800	256800	I'm gonna bow bow you
256800	270080	It's funny I used to never have mods
271680	279040	Like I never had mods before um, but you guys are just get out-of-pocket and you gotta be wrangled
279040	287120	It's like you're scared to speak like
293360	301080	Yes, the cult is out of starvation we are thriving we are you know having a great time like wrangling cats
302520	304520	Mmm, that's for sure something like that
305520	308520	Is this like
314160	317160	Hold on Misma, I'm so sorry. I have to do something
319280	324420	Money money money money must be funny. Let me do this first
325200	330820	Okay, I go. Oh, I have one of these. Oh, no, I don't I thought it was like saying red that I had one
330820	332820	Um
333220	335220	It's the ones I've already unlocked. Okay
337500	339500	Yeah, and I also
339580	344500	Right, what rights I also um, what should I call it?
347300	354420	I was gonna say belief in materialism or beliefs and we're gonna do materialism
356500	358500	Wait decorations
361820	367300	No, cuz a lot of the people in the cult or actually have the materialistic trait anyways
369020	376500	So cuz it said they would do better like a lot of the people have like them in the trait where like they do 50% more devotion
376500	378500	Oh
384100	386100	Cool
386260	388260	Bada bing bada boom
389340	394300	It's a cult grind set good, you know, you don't like jorgen out in the open
396020	401380	You're not a true follower if you don't like jorgen in public. Just just fucking whip it out and jorgen
401940	408420	Back from work and she'd be still streaming. Yes, I get
410340	416620	Ten hours, can we do ten hours? No, I'm not doing ten hours again. Maybe maybe who is whining
419660	421900	Okay, we can reeducate I see and let her out
424620	428220	Are they waiting in line for the bathroom cuz that's kind of cute looks as to this is serenity
428220	433580	Okay, let's release I see
435180	440460	Yeah, group draw this is this is the jorginate area. Okay, this is where everybody just jorges it
441500	447820	Okay, but I'm gonna upgrade people's stuff though. That is a good idea. Why is it so fucking overgrown over here?
452020	454020	I'm gonna my name on a
455020	457020	Okay
457420	460980	Yeah, see do I have materials to upgrade?
467860	475380	Okay, so I have that I didn't mean to roll away hello, so there's that collapse less often
477340	480500	Yeah, you guys are gonna have a communal jorging area
484180	486180	I'll play some in between
487900	491400	Okay, I need more blocks
494260	500940	So I'm gonna upgrade all those cuz I only need like a couple because there's only 14 of you
509260	512420	Any upgrade these two can I upgrade those
513420	518580	Did I unlock that yet? No, I didn't okay. I need to unlock that next. What the fuck am I thinking?
528300	533420	Okay, I mean make why is there like a bomb everywhere. Oh
534780	536780	I don't want to do that. I don't want to hit that
537660	540460	Why is it sparkling? I don't know. I'm just gonna
541460	543460	Go old shit
544860	546860	Yeah, that's full of poop
546980	550500	This is also full of poop though. I just cleaned it
551340	553340	Can I build another outhouse real quick? I
554220	556220	can
559100	562340	Put it right I put the prison right next to the
563340	565340	Um
567660	570500	House so everybody just shits right near him, you know
572980	576940	Wait, is this gonna make it that cuz I don't like it if it's uneven
577980	580740	I'm gonna freak out if it's uneven. We have a goon cave
581540	586420	Okay, this is the goon cave. So if you want to group goon or jorgin at session
587500	589500	Then you know, you can have a good time
590260	593020	We love goon in in this house
595020	596780	Perfect
596780	600700	Fabulous, I'll probably get another janitor. Do I have money for janitor station cuz I'll just make another one
601660	605180	No, I don't anymore that okay. I can just get that right now
608700	613060	Do another janitor what oh I only have one I thought I had four
613380	623140	You want a solo gooning session no, it's what my patreon audios are for
626420	628420	All right, I think we're good. Oh
632980	634980	And take a sip
635700	637700	Oh
641940	644340	Can you guys think of something other to say than ayo
649540	654500	I'll after while you release patreon audio honestly, I need to ask strawny cuz I think mine's
655300	657300	tomorrow
657620	659780	It's once a week. So it's four times a week
660740	662740	bio
665220	667220	She
670100	672100	Pardon
674180	680900	Pardon oh, yeah. Oh, yeah. Oh, yeah. See these are more creative everyone's so creative. Wow
686420	688660	See aren't you happy you get to make madame laugh
694980	696980	I
702420	704980	Sorry, give me a second. There was a stuffy
710260	713780	Money money money, that's me money
717860	720420	Oh, why did I fall asleep? Hello? That was tracking
725540	727540	Uh
739700	744100	You always make me laugh. Yeah when you're acting pathetic. I always love pathetic things
744580	749940	Uh, okay, my faith is going down. So I'm gonna so I beat that beat that beat that
751220	752900	Um
752900	754900	Eat that pussy up
757460	760500	Come here you bitches. So this is the last one I have to beat
763540	768100	But I'm always pathetic. Yes, I know you're that you're just funny because you
769620	771620	Literally don't
771620	776580	Do anything for anyone's life. Oh wait, hold on
777220	782900	Okay, cool, I just want to make sure that
784900	788900	The session was started properly for the crowd control, but yeah crowd control is on
790100	792100	Have fun
792740	795860	Is he trail? Oh sweet rolling into an enemy
797940	799940	Oh fun
800180	807380	Now if I press r2 I can just teleport back home
809860	811860	She's got a gun
814260	816260	Oh
820500	823220	Oh, that's kind of cool because I was rolling into him
830900	832900	I
834500	839540	Sick I like that. I like that skill. I need to buy more tarot cards
842020	844020	Which I may go up
845700	848500	I'm broke too bad
851140	853140	Did I freeze him?
860820	862820	She's got a gun
864580	868420	I hate sometimes if I like move barely it like will
869700	871220	um
871220	874420	I forgot the rocks don't break wool or break wool by touch for me
875380	878180	It like will aim it and not in the direction I wanted
878340	882980	Why I feel like this one should lead to somewhere, but it doesn't do the bombs hurt me my own bombs
884900	888660	I have a sawn off or a shot a shot a sawed off
889380	892420	Sawed off won't you? Okay, just roll into them
893460	895140	Yeah
895140	900980	What the what the heck is going on? What the fuck is going on? What the fuck is up kyle?
901620	903620	I'll step the fuck up kyle
910180	912500	Fucking die stop healing bitches
912660	914660	You
916340	918340	Why are these guys so strong for no reason
920420	924740	Like these should be dying a lot sooner. Yeah, I was rolled into that
928980	930980	Give me the fucking
932740	934740	Come here you fucking spiders
937060	939140	Meat must have meat
940100	942100	This is nice because
947220	951620	Because then I can collect silk and stuff because I think I can get like clothes for you guys
959380	961380	Okay, that bomb hit him good
969940	973940	One in doubt roll into him
977380	981380	She got that boom boom pow these bitch been dragging my style
981940	986020	I don't know how to unlock clothes yet. I probably have to purchase them before it starts dropping silk and shit
986660	988660	Oh wait, I didn't go this way
990420	992420	Kyle didn't step
993460	995460	That's one of my favorite vines
996420	999460	Stop the fuck up. Why am I missing so bad?
1002260	1004660	Sound like one of them said shit like oh shit
1010260	1012260	At least I can just roll into him
1014500	1020660	Keep rolling rolling rolling rolling what come on my tits
1021540	1032980	Like you're still fucking alive come on. I'm fucking missing because my thing isn't in the right way. Oh my god
1037140	1044260	Please I'm aiming. I'm a aiming straight ahead. Why is it at an angle? Do I have like stick drift or something?
1051140	1054580	I'm just walking through stuff
1057060	1059060	How's this work?
1060900	1064020	Hey, I'm just gonna stand right on you dammit
1066980	1072660	Hey white by the rocks of the dark sea at the foot of the strong sudden drop
1074420	1079620	Within the more pointed teeth beasts the stutter of the heart that stopped
1081620	1083620	In the psease
1084340	1088020	He was the fifth the fifth piss up piss piss up
1088580	1095700	I have a lisp of the old fifth our brother the one who waits back when he was known by the name Norenda
1099140	1101140	I don't know why that's actually difficult for me to do
1104340	1106340	You get the idea you got what you you can read it
1107860	1109860	You understand
1111220	1115540	You already said oh, I don't do I need
1121780	1123780	No kamikaze
1124980	1126980	Kamikaze zombie
1127380	1129380	Oh, no
1130340	1132660	I gotta kill you. Oh, no
1133860	1137140	Oh, you'll be missed. You'll be not missed at all actually
1137860	1139860	Hmm delicious
1148900	1151140	Sometimes you just gotta put, you know trash in their place
1167220	1169220	Whoo, I just got a fucking shiver
1171380	1173380	Monday Monday Monday
1174660	1176660	Wait, why are there two?
1177540	1184100	Okay, there's that can I I want to I want to I like to clear on the first run every room
1187540	1190260	Can I other bodies in there can I eat them?
1190580	1197860	Let the bodies hit the floor let the bodies hit the floor. Oh, I can't growl
1205380	1211700	Beaten why for why for
1213380	1215380	Can't
1215540	1217540	Take much
1217540	1219540	More
1219700	1225620	Here we go. Here we go. Here we go. Now one nothing wrong with me two nothing wrong with me three
1225860	1227860	Nothing fuck
1228420	1230420	Nothing wrong with me
1230420	1234820	Something's got to give please something's got to give
1237620	1242100	Let the boys. Let's hit the floor. Let the boys. Let's hit the floor. Let the boys
1242100	1244100	Let's do it
1247220	1249220	I don't know what comes after four
1253060	1256180	Wait, I was like moving in slow motion for a second. Can I do that again?
1258740	1260740	All right
1266900	1270580	Fits considering this game involves death all the time. It's precisely
1271540	1275540	I don't have to break up these skeleton homes. Oh, perfect. The bomb helps
1277060	1280340	Okay, I actually fucking hate this blunder bus. I would rather or something else
1292340	1294340	What is that?
1294660	1296660	Um
