start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	120000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	150000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
150000	180000	ლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
180000	210000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
210000	211000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
240000	270000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
270000	300000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
300000	330000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
330000	360000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
360000	390000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
390000	420000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
420000	430760	ლლლლლლლლლლლლლლლლლლლლბლბ�廿 ლლლლლლლლლლლლლლʃ
435000	439620	ლლლლლლლლლლლლლლლელ� ლლლლლლლლლლლლლ
439620	469620	trabaj   review
469620	482620	but I was so excited for this project from the moment of its inception and I even said that in my video
482620	490620	I was like, I just want to be a part of this. I just want to be part of something different.
490620	495620	I want to be part of this company that's going to make waves.
495620	500620	I want to be part of this company that's going to set a whole new standard for V-Tubing
500620	506620	and I hope that we do. I know it's only been, it's only my second day out here
506620	516620	but part of V-SUCKY. Hi, welcome to V-SUCKY. We'll give you some SUCKY SUCKY.
516620	532620	I was very excited to be a part of this in my interview with...
532620	539620	So I got the email and it was April's Fool's Day and I'm just like, this is a joke.
539620	544620	Somehow someone figured out that I applied because I kept it on the DL
544620	549620	and they sent me a joke email but it wasn't.
549620	557620	And then I had the interview and then I hear...
557620	562620	and I'm expecting to talk to some run-of-the-mill lady who's just like,
562620	567620	Hey, so you're applying for V-LUR here. I'm going to ask you these questions.
567620	570620	Tell me about yourself, blah blah blah blah blah.
570620	575620	And it was strongy. I was like...
575620	578620	Oh my God, oh my God, oh my God.
578620	582620	But actually I was pretty... I got my whole... I had questions ready.
582620	586620	I was going in. As you know, I was an office bunny.
586620	590620	I know what I'm getting into. What color is my underwear?
590620	595620	It should be cotton moth. That just sounds like I'm a snake.
595620	599620	Like I'm a... like I'm... I was some sort of... it's going to be a snake.
599620	604620	Like, I'm a shibby cotton moth.
604620	608620	Would you like to be wrapped up in my scales?
608620	610620	Why do I sound like Rita Rapulza?
610620	614620	Um...
614620	617620	Lawmio for Gem 2. Lawmio for Gem 2.
618620	621620	But I heard her voice.
621620	625620	And I was like...
625620	629620	Is that... is that strongy cuttles?
629620	633620	Is that the strongy cuttles?
633620	635620	Excuse me.
635620	638620	The interview was great. She literally was just like, yeah, so you got it.
638620	643620	I'm like, huh? You're joking. And she's like, yeah, that's it.
643620	646620	Okay. Oh, she's like, here's the model.
646620	649620	And I'm like, oh, okay.
649620	652620	And I'm like, do you want to ask me anything?
652620	655620	Like, I could just be... I could be a crazy person.
655620	658620	Like, I could just... you're just gonna...
658620	661620	And she's like, no, you're good.
661620	665620	She's like, you're the person I wanted immediately.
665620	671620	I was like, oh, that's actually like really,
671620	674620	really freaking nice.
674620	677620	It was really nice.
677620	680620	She's been a creator I've looked up to for a very long time.
680620	683620	And I know the other girls can say the same.
