start	end	text
30000	60000	I'm going to do a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little
60000	90000	bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit
90000	120000	of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of
120000	150000	a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a
150000	180000	little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little
180000	210000	bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit
210000	240000	of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of
240000	270000	a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a
270000	300000	little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little
300000	312980	Little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit
312980	320960	of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit
320960	326200	were a suit jacket, and made a habit of replacing sleep with coffee.
326200	331520	I had given this company a piece of my soul, only to watch my boss give his daughter the
331520	335120	position I had dedicated all these years working towards.
335120	342440	I wanted to scream in his skull, I wanted to cry like a child, but I couldn't.
342440	348440	I had been completely hollow for years, but now I was at my lowest low, nothing more to
348440	355640	strive for, nothing more to work for, nothing more to live for.
355640	361800	I wandered the night in a daze of utter aimlessness, yet, after sinking into the dark, I soon found
361800	363800	myself bathed in light.
363800	368720	It was a woman whose opulent beauty contrasted my disheveled despair.
368720	371920	Why was it then that I had caught her attention?
371920	376720	Not of disgust or pity, but I was instead called to the front of the line in a queue
376720	379680	of some very important looking people.
379680	384040	Without a word, her eyes gave an invitation, and her smile brought me both comfort of her
384040	387080	presence and the courage to follow.
387080	391560	Before I knew it, I was tailing her like a child into a building I had no business being
391560	395400	in, yet one she had total command of.
395400	401480	Every respectable patron and worker there from the highest walks of life called her Queen,
401480	405720	and the nature of that level of respect also made her Queen to me.
405720	410360	She had said she had seen a familiar pain in me and spoke to me about an offer.
410360	414760	Not a new job, but a new lifestyle.
414760	419600	She had brought me to the VIP section of the building and had finally dawned on me, a fetish
419600	422320	club for the rich and powerful.
422320	427600	My work didn't even allow me time for dating, much less anything here.
427600	432480	My curiosity and fear were at odds, yet Queen was understanding and familiar with my flavor
432480	433920	of reluctance.
433920	437720	She believed we were kindred spirits, though I couldn't see it.
437720	441520	In display of influence, she contacted my work, securing me a paid leave in order to
441520	446560	stay in Wonderland with complete access to all of its faculties for a week, free of
446560	447560	charge.
447560	451960	At the end of my stay, I would have to give my answer to join her in this wild new life,
451960	454400	a return to mediocrity.
454400	458040	To say I enjoyed my stay was an understatement.
458040	461680	I was finally tasting what life's joys can offer.
461680	467920	After the hotel amenities, spa, bars, and 5 star buffet, my curiosity eventually turned
467920	470160	to the VIP lounge.
470160	473200	It was there where I found myself.
473200	477080	It was there where I found my answer.
477080	480920	The pleasure I had never even knew I desired.
480920	484680	The pain I had no idea I needed.
484680	486560	This is what I deserved.
486560	488880	I found it all here.
488880	495280	My body was subjected to sensations and punishments my deepest imagination could never conjure.
495280	499080	That was, until they had me dishing it out as well.
499080	503840	After getting just a taste of this life, I knew there was no way I could turn down Queen's
503840	504840	offer.
504840	508000	I was now bound to this place.
508000	511440	In my service to Wonderland, I had been transformed.
511440	514280	In bondage, I found my freedom.
514280	517480	Through pain, I knew pleasure.
517480	520320	Through submission, I had found my power.
520320	524040	Through domination, I had found my peace.
524040	528440	I became a premier worker whose services were demanded by the highest paying clients from
528440	530080	across the world.
530080	534800	Top execs, actors, even politicians would line up to get their fill of welts and rope
534800	535800	burn.
535800	540680	I had seen more money in the first month than I'd ever seen in a year of office work.
540680	545480	My newfound command over the sins of the flesh gained me respect of peers as well as Queen
545480	546480	herself.
546480	551840	We had grown close, a bit more than professionally.
551840	557240	Despite this, even I had no idea what was to come.
557240	562000	She never wanted us to worry, so she never told anyone of her condition.
562000	566160	And it struck her hearts like a bolt of lightning when the time came.
566160	571560	When she passed, the city itself seemed to stand still in respect.
571560	577560	She had left behind a golden legacy as a saint of whips and gags, a woman who allowed those
577560	582800	scorned by the pursuit of happiness to regain their sense of passion and power.
582800	587800	She saw that need in me as well as my talent for it, and so did the others.
587800	593280	So when she willed her entire empire to me, there were no objections.
593400	599040	Thanks to her, I have attained a sense of power and family that I could have never imagined.
599040	605080	I will make sure that Wonderland will always be a safe haven for the rejected and the hopeless.
605080	611200	So if you feel trapped, finding yourself in a life of all pain and no pleasure, why not
611200	613120	step by a little while?
613120	616120	I can help you find both.
617120	622120	Don't be nervous, sweetie.
622120	628120	I know it's a big thing wanting to enter Wonderland.
628120	636120	It's important to have your consent, though, because once you enter, you might realize
636120	639120	you don't want to come back out of this little rabbit hole.
643120	645120	So, what will it be?
646120	648120	I don't know.
655120	657120	Mmm, good choice.
657120	661120	You've pleased me already and we're just getting started.
664120	669120	Why don't I tell you a little bit more about me then?
677120	679120	Hello.
679120	681120	Hi there.
683120	685120	Hello, sweetheart.
685120	687120	My name is Evie Cottonbum.
687120	690120	I'm your mistress and the madam of Wonderland.
690120	694120	Did you enjoy the girl so far?
694120	697120	I bet you enjoyed Emmy's debut.
697120	699120	Isn't she just the cutest?
699120	703120	Hope she didn't put too much of a spell on you.
