start	end	text
30000	32000	You
60000	62000	You
90000	92000	You
120000	122000	You
150000	152000	You
180000	182000	You
210000	212000	You
240000	242000	You
270000	272000	You
300000	302000	You
330000	339000	What happened?
343000	349000	What's going on? Are you guys getting a lot of background stuff? No, it's like it was my gox a lot because it's like a routing thing
351000	353000	Do I sound okay? Hi
354000	356000	Hello
357000	363400	I didn't swear I didn't swear I did no such thing
366120	368120	No such thing
370400	376240	What do you mean still muted why is the I lie to me you little saucy liars
376240	378240	Hi, yes
379240	382920	Jimmy Larry she she was live. What is the story? I know Ryan, you know
382920	387480	Um, what I what what I said when I was muted was I almost opened with a burp
387680	393960	But that wouldn't be very ladylike of me as I am a lady as you can tell by my attire. Mm-hmm. Mm-hmm
394520	397280	The highest form of lady. I'm a high lady if you will
398960	400960	Highest of esteemed
401920	403920	society
404480	407560	Everybody looks up to me. I'm essentially a queen really
412920	418320	Wearing philosophy may be extraordinarily capable of disagreeing with it. Oh, yeah, so you didn't you disagreed a lot with what he said
418320	420320	That's totally fine
420320	425600	Yeah, yeah, feel free to tweet at me your respective opinions of the book. I recommended
427480	432880	Yeah, exactly always look up to me because you're on your knees every time I pass by you must immediately
432880	436160	Drop to your knees. Um, also, I'm sorry if I was a minute late
436160	441160	I actually spilled water everywhere when I was filling up my cat's old hole water
441960	443520	fountain
443520	445520	In fact, I'm gonna drink my own water
454960	462240	Wait, I'm a woman. Yes. Hello. Could you not tell by my ample personality?
463360	465560	How much personality I have
467240	472760	Wow, I thought I was a Muppet doesn't mean you can be a I can be a womanly Muppet
475560	480200	You said let's not you were a bro. I am a bro. I'm your bro. She
485280	490600	Are you guys getting like my AC in the background I'm gonna be quiet for a second because it says my mic is picking it up
490600	492600	But I can't tell
493400	495400	You
496960	502360	Just a bit okay interesting I think I accidentally bumped something when I was um
506360	508360	Setting up string a
511680	518560	Little noise when we got a fix that right quick then let me put in my headphones and I will fix it
518560	527040	If I can put my headphones on the right ears, that would be great. How are you guys doing today?
529400	531400	How you guys doing oh
533680	535680	Yeah, I can hear that
549160	551160	I can't hear anything. It's happening
552360	557240	Yeah, you're doing okay. You got a free slurpee at 7-eleven. No way, bro
560240	563720	I'm jealous I am immensely jealous
573360	577040	White noise jump scare it's isn't reflecting for me
578880	580880	I
582520	584520	I'm so sorry
587800	590280	See if I put a little bit of a noise gate
609360	611360	Oh
623560	625560	You can kind of hear it when I talk oh
627760	634200	Yeah, it's 7-eleven day. I was really thinking I'm like, oh, it'd be funny if you got a slurpee on 7-eleven day and it is 7-eleven day
639400	641400	Yeah, let's beat myself up
643320	647240	Walk there got slurpees and left as you should thank you. Oh
650680	652680	I like
652840	654840	Gazoon died. I
655640	657440	Wish I was getting a
660240	666200	Oh, I saw someone ask earlier. What do I actually say to my therapist? I tell my therapist everything
667200	669200	I'm not I'm no liar
673000	676600	Yeah, I think I actually mess with my settings last night when I wasn't paying attention
682480	684480	Took off the noise gate I
686040	688040	Listed all of you by name
688640	690640	If you sent me a tribute as
691160	698080	As in like a little treat like a little like you sent me something on my throne that sort of not the other thing
698080	701080	Because that's bad YouTube. Please don't demonetize me. Um
702800	704800	She saw those two hundred percent
709360	711200	It's too really hot oh man
711200	716680	Yeah, I made a collage and I showed them all to her and I was like look what I got look what people got me Wow
717520	719520	He's like wow impressive
721520	723880	She was so impressed
733040	735040	No, that didn't happen
737360	741080	No, but I was kind of telling her how much help pretty much how
741560	748440	Don't let it get to your head how awesome you guys are and how much you help me and that I'm living my dream because of you
748440	751700	But don't you know let it get to your head or anything
752960	754880	Okay
754880	760920	Like I told her that you guys got me a vacuum and she was like what and then I was like, yeah
763320	768640	And I was like oh they got me this cool mixer thing and I showed her she's like what I'm like
768640	773080	Yeah, and they also got me some plushies and I showed her my bunny. That's next to me
773080	776200	She's like what the hell she's like what is the how does this work?
776280	779960	And I had explained to her the concept of streamers and
783640	785640	Surface talk to be in gen 2.0
792200	796520	Hi, she be it's fun time and welcome back to Elgin ring hi pretty
796520	798520	Oh
800040	806040	She's like man, I should change professional honestly, I think that thought crossed her mind for like a split second
807400	809960	She was like wait, so you put things up on a
811280	812920	throne
812920	819240	Wishlist and people buy them for you, and I'm like yeah people are just really nice. I don't even like
819960	826040	Have to do anything because she's like wow you have such a nice and caring community
826040	828680	They just like love to take care of you, and I'm like essentially yeah
832760	836280	Honestly a third certified therapist in gen 2 and make interesting it hey man
836680	841800	I was debating whether or not to get a psychology degree so I could be a therapist specifically for youtubers
843560	848040	Because it's a it's definitely a niche that that needs to be filled
850040	852360	Uh, there if was a youtuber would be interesting
853400	855400	It's really interesting
855560	857560	Oh, no, I had a good session
857560	863400	talked about you know how good i'm doing and that I thought I wouldn't be doing okay since I left my job
863880	865960	um mentally because it's a big transition
866600	868600	but um
868920	872440	Yeah, and I can't really handle change that well, but I'm like I've been fine. I've been so busy
872440	874440	I haven't even had time to be anxious about
875560	877800	Not having like a normal job
877960	885160	I need an accountant vtuber. I need an accountant vtuber who does my taxes because I'm a vtuber
885800	890440	Although I think my dad put me in touch with like an accountant. He's just like here you go
890600	895000	I don't want you evading taxes like a bunch of other e-girls. I'm like thanks dad. I appreciate you
897240	899240	Hello everybody
900040	901640	I'm professional
901640	906680	Dominatrices that's a funny way to spell that because nurses or have degrees. Oh, yeah a lot of people
907080	909080	That's just their night job and they have a day job
909960	915640	She I didn't tell her that I did tell her that you guys asked me to step on you and call you trash a lot
915960	917960	and she laughed at that
918440	920440	And then she said
922280	926120	Wait, uh, but my therapist is cool. She doesn't really uh
926680	928680	He doesn't like press me to pay or anything
928680	932280	But she's like wait, you don't have insurance anymore. Do you and I'm like well technically
932440	937800	I won't have insurance for like after three so I figured out I like I have insurance for like three months after I leave
938360	940200	and she's like
940200	944840	Uh, so she's like you should have them pay for your therapy because of all the stuff
945400	947400	That they make you do for them
948040	949400	And I started
949400	950760	cackling
950760	952760	so hard
953160	956120	She's just like I'm just saying I'm like, oh my god. No
957000	958360	Oh
958360	960360	She's just like, you know, it's a little thing
960600	961720	I
961720	963400	Yeah, everybody
963400	965880	My dad was just like hey, can you like
966840	969160	Get your harem to buy me bourbon?
970280	972440	I'm like what he's like. He sent me a picture. He's like
973560	976520	If the any of them have bourbon connects, let me know
977480	981960	I'll hit them up. Oh my dad. So you just want to like dox me and yourself. He's like wait never mind
983800	985800	Therapy bills on throne
986760	988520	Uh
988520	995240	We must keep afloat your mental stability return for more she be exactly. I'm literally needy streamer overdose overload whatever it's called
996040	997560	That's literally yeah
997560	999560	Become a connect for public
1000440	1005080	Yeah, I can't even hold on me look up the what is the bourbon that he said he's like I need you to find me this
1005080	1010040	I'm like, you think I have weight. You think I just have people who are like bourbon connoisseurs in my audience
1010120	1012120	I don't think so dad but go off
1012680	1013880	what do you say
1013880	1015560	it's uh
1015560	1020280	For any of you bourbon drinkers out there, I'll just tell you which one my dad is looking for
1020760	1022760	He wants a william
1022920	1024600	What does that say?
1024600	1027640	LaRue Wells, Kentucky straight bourbon whiskey
1030200	1032200	Uncut unfiltered
1032760	1034440	Why is it called that?
1034440	1037320	133.6 proof
1038120	1040200	limited edition barrel proof
1041720	1044680	Oh that one. Do you know that one? Do you guys actually know?
1046520	1048840	Chop that like I don't yeah, I don't know how much this is
1049800	1052360	He just sent me a picture. He didn't even send me the link
1054040	1055560	He's like
1055560	1060200	See if anyone is in the liquor business or has connects and what it would cost them because my dad likes to collect bourbon
1062360	1065480	My dad really like that says like that's my dad's special interest
1067560	1069560	Star Wars and collecting
1069800	1071800	Bourbon
1072040	1075880	My mom's is gardening my parents are very typical parents
1076760	1081640	My mom really likes flowers and birds and my dad likes bourbon and star wars
1083960	1087880	Yeah, it's not easy to get your hand out. Yeah. Yeah, I also I don't know alcohol at all
1087880	1091160	I'm just like I'll give me the fruitiest drink and I will have it
1093000	1096680	My model is stuff. Yeah, my model's stuck because I'm looking at when my dad texted me
1099560	1103320	The Venn diagram of bourbon drinkers and youtuber fans is two separate circles
1103880	1105880	I didn't know there's like bourbon
1106520	1111640	Streamers he was my dad was telling me he watched like bourbon streamers on twitch. It's so funny. My dad's cooler than me
1111720	1113720	I already know that
1114040	1116040	I'll speak in which I need to schedule
1116760	1121800	I want to do a street not a stream uh record. Maybe I'll do that when I'm gone
1122680	1123960	Yes
1123960	1131160	So what I'm so some of you who don't know. Hello. Hi. Um, I'm going to be gone for a week from the 18th to the 23rd
1131720	1135240	I'm going to go see my grandparents, but I wanted to go
1135640	1139240	Um, I wanted to record something in my absence
1139560	1145400	So I'm doing an ASMR and I was thinking if I was going to do a gameplay video, but now I'm I think I'm going to
1145960	1149080	Um, yeah, so week. I'm sorry. Um
1149960	1152760	I'm gonna do the video with my parents
1153640	1160280	And I'm gonna have them name v-tubers based off of their designs. So I'll probably grab like, uh,
1160920	1166520	Like obviously the v alert girls. I'll grab like, um, the people I've collabed with like
1167080	1174840	Mythos and like you may plus and then I'll grab like some like really popular indies just like iron mouse
1175320	1176520	um
1176600	1182680	And stuff and then some like haul alive girls obviously like chiara and nervisa and like some of the newer gen
1183960	1186280	So I and then see how my parents named them
1187000	1189000	I think my dad will just be like
1189560	1192120	I think both of my parents will just be like they have giant boobs
1193720	1196920	And this be so hung up on their outfits that they won't even
1197800	1203480	And I'm kind of nervous because I have to tell my my mom can be like my mom's very into fashion and so is my dad
1203480	1207640	But mostly my mom and she will like my mom again is very conservative
1207720	1209720	So she'll be like wow, she has her whole entire
1210360	1216280	Tire boobies out in her, you know, but does he whoa? Okay. This is this is what you do redacted
1216360	1218360	This is what you do. She me with your spare time
1220440	1225640	So I think it would be I just don't want my parents to roast people because they might roast people and I'm nervous
1226440	1228440	I might have to do disclaimer
1229400	1231400	Um, but yeah, maybe I'll do that
1232120	1235240	Or we'll set up a donkas. I think I'll do that
1236360	1237720	Um
1237720	1241400	Instead of because I was trying to think of like, okay, what's a gameplay video that I can do
1242040	1244040	I can't think of anything so
1245000	1247000	We're just gonna
1247640	1249640	Yeah
1250200	1253640	Feel like your mom would y'all at mercy given her vtuber lore
1254360	1260600	I'm not gonna make them look at the lore videos. I'm just be like, what is this outfit? Tell me what you think of it
1261720	1266920	I think my mom will really like straw knees outfit though and like theme. I think she'll think she's cute
1267800	1273240	And I think she'll like I I think I see will be my mom's favorite. I think mercy will be my dad's favorite
1275480	1277800	Father she be bourbon donathan one
1278440	1280440	maybe maybe I'll add that to like
1280840	1284760	My my donathan goals get my dad this particular bourbon
1287640	1290520	She means mom with the other girls now. Listen here young lady
1292760	1296360	I don't think my parents would like cute funny characters
1301400	1305720	Uh, at least go in a bit my sissac blumser model was like what is she naked?
1306440	1308440	I
1309000	1316440	Know I look I have I have a lot going on with my model. So I figured out I can probably make a toggle that takes off my
1317400	1319400	um
1319640	1321720	gag and my
1321720	1323560	ropes, but I've never
1323560	1325320	tried it
1325320	1327800	I could probably just sit here and do that right now actually
1328520	1335800	So mom is an ojisan and dad confirmed for a fifth. I know my mom is definitely an ojisan. My dad is definitely a senpai
1339640	1344440	Any Oscar? No, I will never ask my grandparents. No, no, no, no, I will never
1345400	1349080	I don't even still I just don't even know what I'm gonna tell my grandparents what I do for work. I'm gonna be like
1350280	1353800	um, I am currently um
1354440	1359000	Under mda so I can't talk about what I do. I work for the fbi
1361480	1366440	Can you make a toggle that covers your chest for youtube sama? Uh, I usually just put something over my chest
1366520	1372360	I know um, it's still being made my tan toggle and my cover-up toggle to close my shirt
1374360	1377800	Is being made so that'll happen
1378600	1382200	You handle a bunch of tiny rabbits pet shop owner
1384200	1386200	It's a secret. It's under ropes
1388840	1390840	Nd's a
1391160	1393160	Who's the danger sign?
1394120	1397080	Yeah, because that's what I when I ask people like what should I tell people that I do for my job
1397080	1401800	When they ask me people just say oh, you're with you work with a startup that's under nda and I'm like
1402280	1406920	Actually, but I'm gonna tell people that so that's what I think. What did I do the other day?
1408520	1410520	Who asked me?
1411320	1415560	I forget who I think maybe it was one of my former coworkers is like, oh, what are you doing now?
1415800	1421080	But they're like really normie. So I'm not gonna be like I'm a vtuber. I was just like, oh, I'm under nda and they're just like, whoa
1421960	1427000	Cool. Do you work for like a big huge tech corporation or the government? I'm like
1428280	1430280	No
1433480	1435480	Espionage
1436120	1438120	Feels like that excuse is good for a year, uh
1439160	1440680	Maybe
1440680	1442120	Say yes
1442120	1445160	Oh, yeah, what do you do in particular? Uh, I'm a hacker
1447480	1454680	I'm a puppeteer. Oh, yeah, I'd be I quit my my my job to become a ventriloquist and puppeteer
1456360	1461320	Secret agent chibi secret agent chibi
1462280	1469560	It's by master stroney, but there are a lot of people that are closet vtuber watchers. Are you please like
1471400	1477960	V tubing has a huge audience base, but I never ever run into other vtubing fans. I never do
1479240	1482040	Although I found out one of my co-workers was a vtuber
1483960	1485960	And that she was pretty popular and I was like
1487480	1490200	And uh, I can't remember if she came on my stream at one point
1492280	1495480	And then I also was just like you can't tell anybody
1496520	1503880	But then I I graduated my last persona so nobody knows who I am now because I didn't want because all my co-workers started finding out my last persona
1504200	1508280	Because one of my co-workers I was doing a um, what's it called?
1509800	1513160	A darkwood stream darkwood is a very good game by the way
1513720	1517320	Um, I don't know if I'd play that on stream though because I would prefer just kind of do that by myself
1517320	1524520	Um, because I sometimes I although I should just play I need to play a horror game. I need to just play a horror game. Um
1526440	1527640	Call
1527640	1533080	On a second this like I hate the it's like staticky because of my freaking
1535000	1538840	Go xlr. I'm just gonna sorry take that off for a moment
1539240	1541240	I
1545480	1547480	Can I
1548360	1551880	Sorry, I'm trying to open the interface. It's not popping up
1558920	1561320	Where is the interface? Hello
1562520	1565080	Is it just floating around where I can't see it?
1566120	1567320	I
1567320	1569320	Don't know
1569960	1573080	I'm so sorry. Yeah, that's all the fucking filters. I have to have on
1573800	1580440	I'm trying to do this because my my air conditioning goes off for like five or eight minutes and then it will turn off
1580440	1582440	So I try to do stuff in the span of time
1590200	1592200	There it is
1592200	1594200	I
1597160	1599160	Don't know if that does anything I can't tell
1623160	1629480	Okay, I can't does that sound better to you guys
1632360	1634360	The water I said my ac
1639480	1645720	My ac will kick on for like five to eight minutes. It sounds the same shit
1652200	1654200	Does that make a difference?
1656840	1661000	Bro, I'm trying my best out here. It keeps resetting
1675480	1677720	Bro, why are you filling up my chat? I get it
1678440	1680440	I
1680440	1683000	Thousand yards sir, you can hear it
1686040	1688040	I've tried to smashes me. Let's play along
1690280	1692280	Sounds okay
1697800	1702920	How about now is this sound good? I'm kidding. I know that sounds bad
1703320	1714920	Yeah, but I don't like it because I like nice clean crisp audio. You don't only hear the voices. That's fine
1723080	1727640	Well, look at you upgrading your tears. Thank you, sir
1728920	1730920	Let's give a round of applause
1733800	1735320	Hi, hi
1735320	1737480	Hi on my tv and I don't hear a thing besides my voice
1738840	1740840	Fan of the back is in d-vibes
1741320	1744120	All right, I don't I'm just not gonna freak with it anymore
1749800	1754680	I'm gonna hear them. Hello. I almost clicked exit on obs. Yeah, let's go
1756200	1758200	All right
1758440	1761160	Yeah, I want to do I want to do another big among us collab
1761320	1767640	I want to have the yume plus girls. I want to get uh nori and chai in there when obviously get some of my gen mates
1768360	1771640	Um, probably get mythos in there if they want to do that
1773480	1776520	What a way to start I've been I've been live for 30 minutes
1779240	1781960	Oh, look at the bromance in my chat. You guys are so sweet
1782600	1784520	It's always cute when you guys can recognize each other
1784520	1791240	You're like, uh, wait, I saw you in this person's stream and you're like, hey, it's adorable. I love the camaraderie the camaraderie
1792760	1794760	sorry
1800600	1803160	Do you think it would be smart to commit arson in my what?
1805080	1809720	Because someone broke the community. I don't maybe if you want. No, don't do that
1809960	1811960	Oh
1812680	1814200	Welcome
1814200	1818200	Comrade comrades comrades comrade
1821960	1823960	I know all of you
1824360	1826360	Just kidding
1832440	1835560	Gotta have bros around a charge the crystals
1836200	1842680	She be your she bees are I thought you too. Well, I think I'll be fine. I don't care. I just whatever, bro
1845720	1848200	I should probably eat something. I've only had applesauce today again
1855800	1857800	What's your name it's philip
1859880	1861880	I don't know. I'm just guessing
1862680	1865480	Like baby food. Yes. Hello. Hi
1867080	1869080	Hi
1870520	1874520	More food, I don't know what to eat. What am I wearing? You're just wearing boxer shorts
1874600	1876760	You should really put on some clothes. What if somebody walks in?
1882520	1887560	I have to drive home now so I have to turn off the stream. Oh be safe drive safely
1889160	1891160	Drive responsibly
1892040	1895640	I remember um you guys wear clothes if you just sit
1897480	1899240	Fuck naked
1899240	1900840	at your desk
1900840	1903080	No coverage on your dirty ass
1904120	1907640	And you watch my stream you got other issues
1911720	1916520	Anytime like I leave my friend's house. She's always just like um like olive because she lives far away from me
1917240	1919240	and then like the woods and
1920200	1925400	Oh pump fuck nowhere. She's like drive safe and I'm just like I'm gonna drive recklessly and dangerous
1929320	1932040	I'm on my boxer since I'm at work right now. Okay, go
