start	end	text
0	20000	Okay, let's see, oh god, it looks so much worse and up close with them, I don't even know what that is.
20000	24000	What is that? What?
24000	36000	Okay, over here, oh yeah, it does smell bad.
36000	56000	Oh, this has to be trash, it looks like crap, it smells like crap.
56000	76000	It does make sense that it's near a dumpster in this alley that I've had, but I just can't tell what it is.
76000	84000	Do I want to know what it is?
84000	96000	Okay, I want to just...
96000	112000	I want to know what it is.
112000	128000	I want to know what it is.
128000	150000	Yeah.
150000	174000	Mm-mm.
174000	190000	No.
190000	214000	Wait.
214000	230000	No, no, no, no, no, no, no.
230000	240000	Maybe it's like an animal or something.
240000	260000	I want to know what it is.
260000	286000	Okay, I'll make something out of this here.
286000	296000	Wow, okay.
296000	312000	I can't sketch it, what if I...
312000	328000	I don't know what it is.
328000	344000	Yeah, no, this piece of trash is way out of there, that's what I drew.
344000	354000	I don't know if I've seen something so disgusting.
354000	366000	It's like genuinely it is, I can't still look at it, but like for science, I'll continue.
366000	376000	Okay, a couple more rounds.
376000	400000	Here we go.
400000	412000	Okay, one of it's nothing more.
412000	428000	Wait a second, I think.
428000	438000	There's like something here, I think I can scratch it off, maybe.
438000	448000	Let's try again.
448000	470000	Good thing I always have my tones on me to look at weird things and have to face the ugly chef.
470000	498000	This thing is like kicked on, this is like mud or something.
498000	508000	Okay.
508000	528000	Okay, let's try again.
528000	548000	Okay, now we're getting somewhere.
548000	554000	It's weird, show me substance.
554000	572000	It's weird, trash and objects.
572000	586000	Okay, brush.
586000	602000	Yeah, what if I do this over...
602000	616000	I think it doesn't have a mouth.
616000	636000	This thing was sitting and I lost my mind.
636000	648000	Interesting.
648000	662000	My cats get out of here in the rain, I'm crazy.
662000	672000	Gosh, this stuff is so cute.
672000	692000	Okay, let's try again.
692000	712000	Okay, let's try again.
712000	732000	Okay, let's try again.
732000	746000	How do you even know what I'm doing?
746000	766000	What if this piece of junk is completely useless?
766000	786000	Okay, let's try again.
786000	806000	Okay, so I can figure out what even no one in this problem is even worth my time.
806000	826000	Okay, let's try again.
826000	846000	Okay, let's try again.
846000	866000	Okay, let's try again.
866000	886000	Okay, let's try again.
886000	914000	Okay, let's try again.
914000	934000	Okay, let's try again.
934000	954000	Okay, let's try again.
954000	982000	Okay, let's try again.
982000	1002000	Okay, let's try again.
1002000	1026000	Okay, let's try again.
1026000	1046000	Okay, let's try again.
1046000	1066000	Okay, let's try again.
1066000	1086000	Okay, let's try again.
1086000	1106000	Okay, one second.
1106000	1126000	Okay, let's try again.
1126000	1146000	Okay, let's try again.
1146000	1174000	Okay, let's try again.
