start	end	text
60000	62000	You
90000	116120	You know, you know what I forgot to do? I forgot to actually copy and paste the Fuji Tech model in
121000	139000	I was like, okay, but you will see amazing this and just a moment and just mere moments you will witness the majesty that
139000	145000	That Toma made me into you are not ready tarnished. You are not ready
155800	157800	Hey
161480	166620	Hey, what's up hold on let me put my helmet on for this
170000	176840	I think I need to make it big. Oh God, I don't think this is gonna work. I have I was ready to tape this on my head
191080	193680	Tape it to my boobs, that's a good idea actually
194640	199480	There you go, I'll put one on each tit
200360	207040	But look hold on let me just throw this off to the side real quick look at the amazingness
208840	210840	That Toma did today look
212520	215160	We were just in call hanging out in Chattin
216960	220480	And I'm like I'm like oh my come my my
220880	225680	My model is really lagging while trying to run the game. She's like I got you
227360	232480	And I was like I'm about to draw myself as a like a little like stick figure puppet thing
232480	237000	She's like bet and then she's like no I got you and then I
237920	241760	watched an amazement as she quickly whipped me up into a
242960	245640	perfect muppet version of myself
245640	254080	And it is I am you guys don't understand how happy I am
255960	259960	And yeah, she had a little thing with the pinky out cuz I'm fancy I'm a lady and
260360	266640	The stick was a great touch in my little nails and I just please I have
267360	275080	Tomas twitch and my pinned please give her a follow. She loves doing drawing streams. She loves doodling
275640	278280	She loves watching cartoons. She loves playing games
278920	282520	With her audience. She is one of the most wholesome comfy streamers
283560	287560	I have ever met and I'm so thankful to call her my friend
288600	293000	Because she envisioned me in the most beautiful way my true form
295000	298680	Rise tarnish, so I'm gonna be over here
300120	304440	Let me make myself a little bit smaller so you can see my wonderful little hand holding me up
306520	312440	And a little eyebrows, I'm gonna put this put this helmet on my my booba
315160	318120	We'll do one and then
320680	323920	I'll do how the heck do I duplicate
326480	329400	Let me duplicate copy
331880	333880	Paste
334840	336840	Yeah
342680	346600	Thank you, I feel I feel I just feel so alive
348280	350280	Are we I just feel
350920	353800	Like I'm my true self in this this form
355240	356520	Uh
356520	358520	I I showed off
358920	361960	my Muppet form in the discord and my
362600	367320	Management just responded with just five nights at Friday's music
370680	376360	I'm protected where it counts, you know, I have the highest level of armor, you know, okay, I need to
379400	384600	Set things up a little bit more properly. Hold on. This is gonna be loud for you guys. Let me turn that down
385160	387160	Okay
395320	402840	Oh my glorious day, I am so happy to be alive. I'm so glad to be here
405400	407640	I'm a fucking Muppet ladies and gentlemen
407800	415880	Um, but yes, I am a Muppet because this outlandering really taxes my pc
416840	420440	So I thought it would be a good idea. I was gonna whip up
421080	423080	Um, a PNG batoma came in clutch
423720	428440	Um, we're going I don't know if I'm going to try to speed run
430200	434520	To get to the dlc. I'll be honest with you. I highly doubt that I can do that
435000	438280	So what I'm thinking and this has been a goal of mine
440040	442040	Elden ring is near and dear to my heart
443080	448600	I think I should make Elden ring a running series and this will be the game the the souls like I beat on stream
449880	451880	Maybe I don't know
452920	456920	Honestly, I'm quite embarrassed to
458680	464360	Play this game because I'm not good at souls likes. I enjoy them a lot. I'm not good at them though
465480	467480	um
467880	469240	but
469240	474280	I love this game a lot like that's why I named one of my fucking cats after one of the characters
475320	477320	I was when I was
477720	483160	In such a dark place when this game came out and this game brought me back to the light
483320	487080	I I rose as tarnished. I became the Elden Lord
489720	493960	Actually, I became Lord of the frenzy flame in my ending that I you know beat the game in but it's whatever
494440	496440	um
496520	499800	I've seen the cart bot animations of elderly. I have not helped look that up
500200	508280	I remember pouring over the lore pouring over the builds because I'd never like played a game of scaling before like a all that stuff
509240	511240	And I realized how much I enjoyed it
512040	514040	um
514760	520280	I always like to the guidance of grace. Yes. I always used to like sing to myself
521000	523880	While playing elderly ring reach out and touch grace
526360	529000	Um, yes, I'm a muppet
535080	536440	But
536440	540120	Yeah, we'll try I want to try it would be cool to beat this again. I play
540600	543560	I'm not like scrawny. I don't beat games in like a short amount of time
