start	end	text
120000	150000	I'm going to do a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little
150000	180000	bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit
180000	191900	of a little bit of a little bit of a little bit of a little
191900	204680	little bit of a little bit of a little bit of a little bit of a little bit of a little bit
204680	221880	where's my game she's she's just she's just yelling I'm using a Zara as my
221880	231560	cover-up today hey let me let me let me let me let me do a little thingy how do
231560	239720	you do a little switchy to switchy switchy how wait give me a second wait wait I
239720	248160	broke it I broke it oh my god I broke it I broke it you guys say I'm the girl
248160	255640	failure and I'm scoff okay I got this
255760	267000	down I'm a genius wait no those wrong one never mind I'm just playing with my
267000	281800	fidget toy with this little slug one in my arms
286400	294040	that sounds nice keep doing it I know right I'm like this is good for ASMR I'm
294040	309280	like I'm gonna use this as a trigger I have never played fall guys hello
309280	316120	everyone I've never played fall guys Azura has but apparently she's bad I'm
316120	323440	trash at this game do not expect great things from me I'm absolutely dog water
323440	329800	so I was hoping she'd carry because you know she just like is great at every
329800	336960	game she touches but apparently not this one not this one but you guys have the
336960	343760	opportunity to play with us today yeah so I was supposed to have waited to show
343760	353640	the way how did I can't even show the code so I don't know how you did oh oh
353640	358360	it's right there on the top of the screen do you not have it on for yours no
358360	364600	isn't that up here for you okay I'll post it in my chat
370920	377080	great we're gonna have bleeding hearts and hair I'm like whoop our asses I hope
377080	381600	I can push people because I'd like to be able to push people to their deaths yes
381600	386240	you can push people but they could definitely push you back oh no I don't
386240	391240	even know the controls I'm I'm going in completely blind
396680	407720	are you alive did I lose you and I'm here okay me and Azura are very sleepy
407720	416800	I wanted that how many hours asleep I actually got in the past three days please
416800	430240	do tell four four days I mean three days yeah four hours three days four hours I
430240	435880	don't I can even math right now um yeah this will definitely be fun then cuz I
435880	442600	just woke up from a nap I think you just I don't know if you like slept at all
442600	451240	so I woke up two hours ago there you go there you have it I'm drinking a lemonade
451240	456600	that has like a shot of energy in it I believe it's called a very blast from a
456600	463160	local joy so I'm excited excuse me so sorry excuse me that damn mouse again
463160	470000	has gotten in my house it keeps keep phrasing its voice how many people can
