start	end	text
30000	32000	You
60000	80000	You
90000	100000	You
120000	140000	You
150000	170000	You
170000	190000	You
190000	218000	You
218000	234000	You
248000	268000	You
268000	296000	You
296000	316000	You
316000	336000	You
336000	364000	You
364000	390000	You
390000	418000	You
418000	440000	You
440000	468000	You
468000	488000	You
488000	516000	You
516000	538000	You
538000	564000	You
564000	584000	You
584000	612000	You
612000	638000	You
638000	660000	You
660000	686000	You
686000	706000	You
706000	726000	You
726000	746000	You
746000	774000	You
774000	800000	You
800000	826000	You
826000	852000	You
852000	872000	You
872000	892000	You
892000	912000	You
912000	932000	You
932000	952000	You
952000	972000	You
972000	992000	You
992000	1012000	You
1012000	1032000	You
1032000	1052000	You
1062000	1088000	You
1088000	1108000	You
1108000	1128000	You
1128000	1148000	You
1148000	1174000	You
1174000	1200000	You
1200000	1220000	You
1220000	1240000	You
1240000	1268000	You
1268000	1294000	You
1294000	1314000	You
1314000	1334000	You
1334000	1354000	You
1354000	1374000	You
1374000	1394000	You
1394000	1414000	You
1414000	1440000	You
1440000	1456000	You
1456000	1476000	You
1476000	1496000	You
1496000	1516000	You
1516000	1532000	You
1532000	1544000	You
1544000	1570000	You
1570000	1592000	You
1592000	1612000	You
1612000	1632000	You
1632000	1652000	You
1652000	1680000	You
1680000	1706000	You
1706000	1732000	You
1732000	1752000	You
1752000	1780000	You
1780000	1800000	You
1800000	1820000	You
1820000	1840000	You
1840000	1860000	You
1860000	1880000	You
1880000	1900000	You
1900000	1920000	You
1920000	1940000	You
1940000	1960000	You
1960000	1980000	You
1980000	2008000	You
2008000	2034000	You
2034000	2060000	You
2060000	2086000	You
2086000	2106000	You
2106000	2134000	You
2134000	2154000	You
2154000	2174000	You
2174000	2194000	You
2194000	2214000	You
2214000	2240000	You
2240000	2260000	You
2260000	2286000	You
2286000	2306000	You
2306000	2314000	You
2314000	2340000	You
2340000	2360000	You
2360000	2380000	You
2380000	2408000	You
2408000	2434000	You
2434000	2462000	You
2462000	2488000	You
2488000	2514000	You
2514000	2540000	You
2540000	2566000	You
2566000	2586000	You
2586000	2612000	You
2612000	2632000	You
2632000	2658000	You
2658000	2678000	You
2678000	2698000	You
2698000	2718000	You
2718000	2744000	You
2744000	2754000	You
2754000	2764000	You
2764000	2784000	You
2784000	2812000	You
2812000	2822000	You
2822000	2832000	You
2832000	2852000	You
2852000	2862000	You
2862000	2872000	You
2872000	2892000	You
2892000	2912000	You
2912000	2932000	You
2932000	2952000	You
2952000	2972000	You
2972000	2980000	You
2980000	3000000	You
3000000	3008000	You
3008000	3028000	You
3028000	3056000	You
3056000	3076000	You
3076000	3084000	You
3084000	3104000	You
3104000	3112000	You
3112000	3140000	You
3140000	3160000	You
3160000	3188000	You
3188000	3214000	You
3214000	3242000	You
3242000	3270000	You
3270000	3286000	You
3286000	3298000	You
3298000	3326000	You
3326000	3346000	You
3346000	3366000	You
3366000	3386000	You
3386000	3406000	You
3406000	3434000	You
3434000	3454000	You
3454000	3474000	You
3474000	3502000	You
3502000	3522000	You
3522000	3550000	You
3550000	3566000	You
3566000	3578000	You
3578000	3606000	You
3606000	3634000	You
3634000	3662000	You
3662000	3682000	You
3682000	3690000	You
3690000	3700000	You
3700000	3710000	You
3710000	3730000	You
3730000	3758000	You
3758000	3768000	You
3768000	3778000	You
3778000	3806000	You
3806000	3832000	You
3832000	3860000	You
3860000	3870000	You
3870000	3880000	You
3880000	3908000	You
3908000	3936000	You
3936000	3964000	You
3964000	3974000	You
3974000	3984000	You
3984000	3992000	You
3992000	4002000	You
4002000	4012000	You
4012000	4020000	You
4020000	4040000	You
4040000	4048000	You
4048000	4076000	You
4076000	4096000	You
4096000	4104000	You
4104000	4114000	You
4114000	4124000	You
4124000	4132000	You
4132000	4160000	You
4160000	4164000	You
4164000	4168000	You
4168000	4170000	You
4170000	4176000	You
4176000	4180000	You
4180000	4182000	You
4182000	4188000	You
4188000	4217260	And
4217260	4218260	I'm out.
4218260	4219260	Yikes.
4219260	4220260	Nope.
4220260	4221260	It's fine.
4221260	4222260	It's fine.
4222260	4223260	It's fine.
4223260	4224260	Don't worry about it.
4224260	4225260	It's fine.
4225260	4226260	You gotta fake him out.
4226260	4227260	I'm out.
4227260	4228260	Yikes.
4228260	4229260	Yikes.
4229260	4230260	Yikes.
4230260	4231260	Yikes.
4231260	4232260	Yikes.
4232260	4233260	Yikes.
4233260	4234260	Yikes.
4234260	4235260	Yikes.
4235260	4236260	Yikes.
4236260	4237260	Yikes.
4237260	4238260	Yikes.
4238260	4239260	Yikes.
4239260	4240260	Yikes.
4240260	4241260	Yikes.
4241260	4242260	Yikes.
4242260	4243260	Yikes.
4243260	4244260	Yikes.
4244260	4245260	Yikes.
4245260	4246260	Yikes.
4247260	4249260	Yikes.
4249260	4251260	Yikes.
4251260	4252260	Yikes.
4252260	4253260	Yikes.
4253260	4254260	Yikes.
4254260	4255260	Yikes.
4255260	4256260	Yikes.
4256260	4257260	Yikes.
4257260	4258260	Yikes.
4258260	4259260	Yikes.
4261260	4262260	Yikes.
4262260	4263260	Yikes.
4264260	4265260	Yikes.
4265260	4266260	Yikes.
4266260	4267260	Yikes.
4267260	4269260	Yikes.
4270260	4271260	Yikes.
4272260	4273260	Yikes.
4273260	4274260	Yikes.
4274260	4284420	gets fucked shadow wizard money gain my hands are sweating what is going on with
4284420	4294580	my headphones okay you this soda sucks it's a porch digestive health this tastes
4294580	4301020	like shit I got a ollie pop soda and it tastes like crap
4302020	4307380	it's all gonna drink it though because I spent money on it
4313100	4317100	it's calling ollie pop
4318780	4322260	oh fuck me up
4331020	4334020	oh
4344700	4349940	like that I fucking fell in there in the cliff came claims another it was very
4349940	4355100	good very good
4361420	4364420	oh
4375860	4379740	oh I pressed that too late
4382740	4388500	oh fuck me my timing's all off now
4391980	4396340	I'm trying to roll forward but I can't because the camera lock and now I'm
4396340	4404060	trapped it's fine fuck your mom I like how I always I always get so close on
4404060	4413020	my first try and then I fuck up bye bye have a good one oh have a good camping
4413020	4423460	trip what the hell that's cool I haven't been camping in so long the vaude will be
4423460	4426900	like eight hours so don't worry
4437980	4441260	it's hard cuz you get locked into an animation so you have to make sure you're
4441300	4446540	just the right amount of way
4449180	4453220	how'd you cut you cut you
4453220	4455220	I
4470180	4472180	hold on
4475940	4480620	I'm busy oh fuck me
4483620	4504340	you just fucking slap me what the hell why can't I do this now it was so good
4504340	4513060	my first run oh no I'm I know I'm not saying
4513100	4516980	that it'll take eight hours for me to beat this boss I'm telling you I know any
4516980	4520100	lock back in right any lock back in I'm telling you it's gonna take me eight
4520100	4526100	hours to do everything else it's gonna be an endurance dream today
4573060	4575060	oh
4603060	4613380	I was so close I'm so mad at myself for not getting it the first time I was
4613380	4619180	expect the hammer yeah they always there's always a second phase usually I
4619180	4623820	love this game this game makes you so excited because I was like oh I can't
4623820	4627500	wait to beat your ass and this feels so good after when I do it I'm gonna clap
4627500	4631060	those cheeks so good market you have no idea just just bend over and take it
4631060	4635860	market stop fucking me so I can fuck you okay
4653980	4657620	oh I rolled into that
4661060	4663060	oh
4691060	4702940	oh maybe doesn't or maybe it maybe it just it doesn't
4702940	4715820	maybe can I kill oh look at you can you give me a fucking break bro I'm get
4715820	4720060	locked in the animation so he gets a free hit every time I do that
4721060	4723060	I
4744220	4749060	you know what I'm doing what I'm doing wrong what I'm doing wrong when I'm
4749060	4751980	getting close to him I'm still using this fucking gravity thing I should be
4751980	4760220	using the sword I'm fucking stupid it's on me it's not it's it's on me
4760740	4764300	smash or pass market smash because I'm about to beat his fucking ass to the
4764300	4771580	ground all right I'm not gonna get cuz once I usually do this he gets a free
