start	end	text
0	8000	Work. OBS. Sometimes it just ends after I started. I love it when it does that. Okay, I didn't do it though.
8000	11000	Yippee!
11000	16000	Maybe you mute myself so I don't hear myself.
16000	19000	Oh my god.
19000	22000	Yeah.
22000	27000	Because you are so fucking small.
28000	37000	You are on us. Okay, if we're legit with how tall you are and how tall I am.
37000	49000	So I am like this. My legs are so fucking long, bro. And then there's you. You'd be like down here.
49000	53000	You'd be like that.
53000	58000	Wasn't you? Yeah, you a shawty.
65000	72000	Oh, you're so small. I can just move you around. Yeah, she's like my little doll. Oh wow, she's like my little...
72000	77000	Oh, you're muted? Oh, you are muted.
77000	82000	You attached me. You attached me to you.
83000	85000	Get me off!
85000	91000	Oh, you're so cute. It's like I'm holding onto you like a little puppet.
91000	95000	Set me free. Let me go.
95000	100000	My cute little sister and me.
100000	104000	Okay, I'll make you bigger.
104000	107000	Oh my god.
107000	110000	Thank you. Perfect.
110000	117000	A happy family. I can't even see my chat. That's why I didn't know you were muted. Hold on.
117000	126000	Oh my god. So how's everybody doing?
126000	133000	Hope everyone's doing well. Yeah, I'm getting ads on my own video.
133000	136000	Wait, really? Yeah.
136000	143000	I should have just not monetized it. She's a little brats. The immuppet. Oh my god, Emmy Muppet.
143000	147000	No, oh my god, people are gonna fuck the immuppet.
147000	150000	Toma's already working on a Muppet for you.
150000	152000	Oh, now I gotta use it.
152000	158000	She just was doing it for fun for our designs, but she's like, yeah, I just want to make one based off of Muppets.
158000	163000	She's making you, she's basing you off of the rat.
164000	169000	And I'm like, she'll love that.
169000	174000	Um, but yeah, me and...
174000	177000	G-U-E-R-I-L-L-A.
177000	181000	Did I add an extra L? Okay, no, I didn't.
181000	189000	So you probably saw the silliness that took place. It looks like we're about to do an apology video.
189000	194000	We're sorry for getting Strawny's channel a-straked.
198000	202000	We're sorry for cooking you by having sex with each other.
202000	205000	In discord.
205000	208000	We will never do such a thing again.
208000	211000	Oh, really?
211000	219000	Um, no, but we were just hanging out after our collab earlier and me and Emmy had been cooking up something for you guys.
219000	223000	And so then we wanted to make a joke.
