start	end	text
0	2000	Say anything bad because I'm lying
2000	4000	Okay, okay, okay
4000	5000	I'm lying
9000	11000	Did my stream
12000	14000	Is it going up or still working?
16000	18000	I don't know
20000	22000	Still?
22000	24000	Okay
25000	32000	Yeah, it takes like a hot second for me to even appear like when I guys guys guys
32000	34000	It killed my broadcast room
35000	36000	You want?
37000	44000	You killed your broadcast room right now like it suddenly like stop streaming and then my my power wash simulator
44000	46000	Okay, I replay deleted
48000	50000	I'm live right now so don't say anything
50000	52000	I'm live right now
54000	56000	This is a nightmare
57000	59000	Chat, we're so sorry
60000	61000	Oh god
61000	63000	We're so professional
63000	65000	It's been awful
65000	67000	Reflects you don't know
69000	70000	How many of them were...
73000	75000	Merci, will I make you a new room?
76000	77000	Yay
80000	81000	Hold on
84000	85000	Okay
89000	91000	I'll go make myself some tea while we're here
91000	92000	No
93000	95000	Hey, look at that, look at that
97000	99000	Wait, what are you doing?
99000	100000	No, you're a li-
100000	102000	Okay, you can go make some tea
102000	103000	We'll keep-
103000	104000	No, we'll just-
104000	105000	You've got this stream
105000	107000	I don't know how to make some tea
107000	110000	You can go make tea, that's fine
112000	113000	We need to help Merci
113000	115000	Yeah, stream up
115000	119000	Guys, we have been at this for 26 minutes
119000	122000	We were on power washer for one hour
122000	126000	And every time we went past four of the girls connecting
126000	130000	The connection started timing out for some reason
130000	134000	But if for some reason in power washer
134000	137000	If you haven't played the entire campaign
137000	140000	It doesn't allow you to have six persons in your lobby
140000	143000	And I'm the only one with a finished save file
143000	147000	And it was too late to ship all the code information
147000	150000	To send it on your stream
153000	157000	So, basically, Shibi was like
157000	159000	I'll set this one out, you guys just do it
159000	160000	And we're like, no, we can't do it
160000	162000	The whole point of this is that we're all together in this
162000	164000	So then we're like, right, who's got Gmod, right?
164000	165000	I don't have it, right?
165000	166000	Who's got RAF, right?
166000	167000	I don't have it, right?
167000	168000	Who's got this game?
168000	169000	I don't have it
169000	171000	I was trying my best
171000	173000	Shibi was like going through the list
173000	177000	She was flicking them pages like next page, next page, next page
177000	179000	Jackbox, okay, that won't work
179000	181000	Gartik, okay, sure
181000	183000	All right, we'll do Jackbox
183000	187000	And then, wait, that requires us to screen record discord
187000	188000	I'm like, we can't have that
188000	190000	We see outrageous things in the discord
190000	193000	We don't even have a HR department, so we can't share
193000	198000	So then Gartik Phone, which I've never played before
198000	200000	is coming in clutch right now
200000	203000	Amy's currently making a cup of tea
203000	214000	Mercy is just getting a room set up for her
214000	219000	because she accidentally nuked her vod of the collab stream
219000	221000	It was an hour split
221000	225000	This couldn't have gone any worse
226000	229000	I think that's pretty on character for us
229000	233000	Yeah, if someone can insert that meme and put all of her hairs on it
233000	237000	and be like, aren't v-tubers cute when they're almost...
241000	242000	That's all I'm gonna say
242000	245000	Well, you guys can finish the sentence after that
245000	247000	I can?
247000	248000	No, I'm kidding
248000	251000	No, no, you're not like that
251000	254000	The refunds, the snowberries, the billion hearts
254000	256000	The harem, I remember
256000	258000	I was like, okay, I'm gonna be honest
258000	261000	When the harem told me they were called harem
261000	264000	I read it as harem, and I was like, that makes no sense
264000	265000	for Shibi's character design
265000	267000	I do too, I do too
267000	268000	I was like, what?
268000	272000	I have a harem of so many people
272000	276000	that are my little, you know, playthings and clients
276000	278000	and they're my harem, and that's hair
278000	279000	which is a rabbit
279000	281000	but it's not a rabbit, hair and rabbit are different
281000	282000	but you know what I mean
282000	284000	It's a good pun
284000	285000	It's a pun, exactly
285000	287000	And they're also called harlots
287000	289000	The individuals are harlots, or harlots
289000	290000	Wait, hold on
290000	292000	I thought you said hairless
292000	293000	Wait, let me...
293000	294000	They're hairless
294000	296000	Some of them aren't, I can tell you that
298000	300000	Do you still have that thumbnail, Mercy?
300000	301000	Are we good now?
