start	end	text
30000	32000	You
60000	62000	You
90000	92000	You
120000	122000	You
150000	152000	You
180000	182000	You
210000	212000	You
240000	242000	You
270000	272000	You
300000	319800	Let's see how this works. I don't know where the game went. Hey gone. Oh, there it is
319800	333800	They and Samara was good. How do I sound? I don't know. Does this $400 thing make a difference. I
337800	339800	Bet I sound the same
339800	341800	I
343800	348640	Was asleep watching strong even she rated it from here would have been perfect but an animal give all
352800	358800	Tyler one Mike sounding great. You think it does make a difference. Does it sound worse?
362560	365300	It was a comfy, okay, I'm glad you guys like the ASMR
369800	374560	I sound clear, but I'm peeking. I I had a feeling that would happen
376120	378120	Let's see if I can fix that
382520	385880	You look broken I can fix that sorry I
386680	392080	Guess I can I have a playback in my headphones and I do sound I just a bit
392560	394560	Just a wee bit peeky
395760	397760	Just a wee bit
398760	404360	And I don't know if that would be the gain perhaps I
408800	414080	Turn that down just a tad. I don't know. I don't know if that helped
414080	428800	When is the peaking it sounds really good, okay, I don't know why it like peaks am I like too close?
428800	432160	I don't even know how I would fix that to be honest with you
436160	438160	That's better
441920	443920	A lot better
444600	449520	Yeah, yeah, I'm glad
458000	462160	Wait, did I lock my door my doors unlocked hold on I
464400	466400	Went downstairs
474080	480720	Packages and I forgot to lock the door as per usual nothing new there
491640	496480	What do you mean, what do you mean, please? What do you mean, please? I
497480	503680	Want to see what the delay is on this
506360	509400	It's been weird
527480	531080	I can't tell it's not showing me
540160	542160	Oh
542480	546640	Why does it keep doing that? I'm like, come on come on
547880	552840	Huh, I don't know if it's like something in my settings like either or it will
553840	557520	Be like a little bit behind but it's fine. I'm mostly gonna be
558440	562680	Playing anyway, so we don't have to have like super live interaction. Oh
564040	566800	YouTube you silly silly silly Billy
570240	572240	All right
572480	575600	Sorry, I'm happy cuz and that's why my voice is getting higher. I
577040	581600	Know some people are like, why is she talking in an ooo voice? I'm sorry when I get happy
581600	586840	I talk in my ooo voice. I can't help it. I'm excited to play the game and spend time with you guys
589800	591800	Hello
593400	599920	He is meowing to herself while she's playing with her toy. Okay, so yeah, I've never played this before
599920	607000	I've never watched anything about it. I know nothing about it besides Greek gods and I love Greek gods in Greek mythology
607240	609560	So I'm like so ready to get into this
610320	613960	And you guys know I love called the lamb and you guys said it's a roguelike and
614440	619400	I've seen the art before like I've seen the art of Aphrodite when that was going viral and I was like wow
619400	620840	I love his art style
620840	622240	so
622240	624240	I'm very happy
624920	630800	Rain is still running around all hyper she's napping right now, but I was so surprised I was like, oh, what the heck?
630800	632480	What are you doing?
632480	634480	She was
635360	638520	He's looking at me now actually she just like I think she heard her name
638920	644720	She's watching the other cats play with the toy, but yeah, she was playing with I was like crying
645400	647400	Because I was so happy to see her playing
648320	650520	It's it was really funny. She like
651160	656760	Poop and then had the zoobies. I'm like, are you serious? Did you just really need to take a shit? Oh
658600	660960	Wait, this is look what I can do now. Holy
662160	664160	Oh my god
664480	666480	Oh
674280	677520	Is the game you did. Oh, yes, I think accidentally muted it
679160	683780	There you go, I don't know if you guys can hear it the little beep noises
685520	690640	So anytime I swear I can just be like, oh, I hate the I can't believe this
694480	698440	It's quiet. Okay, hold on. I'm turn that shit up. Oh
704200	707260	My is that
707260	709260	I
720540	724340	Realize you guys are like in my head like a bit smaller
726500	732180	But I think hold on let's can we just mess could we just hang out and mess around for just a moment
732980	735240	It's just just for a quick momento
738260	742780	What if you beep before you say the word and still say the word what the
751220	753220	Language lady I
753620	759100	Can also mute with this thing wait, hold on. I want to see I don't know if reverb works
759740	762580	I don't know if it works because I can't with the
762980	768340	My mic monitor doesn't tell me if anything's changing. So I don't know if I have reverb
770500	774900	So you guys can tell me my cat is attacking my freaking
777740	779740	What are they called slippers
781500	787380	Have we not always been the voices in your head all the things you said all the things she said right through my head
787380	789380	But he asked you guys
790180	791680	I
791680	797680	Don't know if also like this works. I don't know if this works. I'm a is it giving me a robot voice you tell me
798900	805700	Fia, can you please stop chewing on my foot? I beg you please let go of my slipper
809140	813900	Did it work, I don't know again chats delayed so I'm just sitting here like oh
814780	817300	Is it working and I'm just being goofy
820260	822260	I
824540	831580	Don't know why she's attacking my slippers. Boomi was doing it earlier, too. It doesn't work. Okay, that's weird
831580	833580	I have to figure that out then
835340	837340	What if
838620	843420	What if I do this no, this is gonna that'll mess everything up, but I have set up
849380	853460	Yeah, I think there's like something I have to do where I can route it through
855340	860140	The thing but it doesn't do that for some reason
864260	869620	Cuz like I'll press stuff and like pressing robot voice, but then I
870740	872740	Can't hear anything
874100	878500	And then I'm turning up the reverb on my computer instead of on my
879380	882100	XLR and so doesn't do anything. I
883060	889420	Don't know why it is what it is. What are your toes? No, I just took a shower. I don't know what you're talking about
889420	892740	I just took a shower. I just took a shower
895100	899740	Wait a second did I figure it out
910180	915980	I don't know if that does anything. Is it working?
923540	925540	Je ne sais pas
927140	933980	My feet aren't stinky ever got what she was is this for YouTube because Twitter's ocean marks don't get displayed in the actual video. Oh
934980	941260	Okay, sorry, I just saw that harlot question. Which stream did the heal mark replace rope? Yeah, cuz the rope doesn't come up
941940	944220	It neither does the other bunny emo
944540	949580	So this is what you can use instead if you would like to use my oh she marks, which I appreciate
950020	952020	I
963140	965140	So weird
967620	969620	Oh, I'm gonna Google this
969940	974460	This is our pre chat. This is our pre pre game chat. Okay?
975060	977060	how to make
977580	982660	Go XLR effects work on
984860	986860	Oh, yes
1007260	1017340	People I can't read forums they just confuse me. I don't know anything about I
1020540	1024460	Don't know anything about audio. I'm not audio literate at all
1025620	1028380	40 minutes pre chat of me just messing around with my go XLR
1028380	1033900	Hey, at least it's not like five hours that it took with me and Azura
1033900	1037300	She was helping me with all of my audio and
1038140	1043260	Also my 3d audio and so was mercy at some point she popped in because I was doing an illicit stream to test it and
1044700	1046700	The girl said it sounded fine and
1047340	1050780	And as there is like if anyone complains it's them and I'm like bet
1051380	1053460	and people complained it's you guys whatever
1054180	1056180	and
1057620	1062020	But we still weren't able to figure out how to get the effects to work
1063020	1069300	Um on there, so I think I need to do more research. I asked my manager and my manager is like how the fuck am I
1071740	1075500	They were just like I don't have one. I'm like, okay. I thought you just knew everything. I'm so sorry
1077620	1079620	Excuse me
1081580	1085220	But I buy one off Craigslist and send it to them be like show me how to use this
1087660	1090780	How to use voice effects
1093020	1095020	With go XLR
1106140	1108140	Is this person gonna show me how
1111660	1119580	Why is he who makes a video and has themselves so far away from the camera so you can't see what people are doing
1122020	1126180	I don't understand did anybody comment with some
1136780	1138780	This is making my brain hurt
1139940	1143220	I'll do this after I wanted to show you guys but
1144580	1148980	Percy Jackson mentioned did you watch the live action one? I thought it was pretty good
1152100	1156100	Let me just click on one of these what is a gender knob am I
1156940	1159340	Am I gonna turn into a man if I
1161980	1166020	Why is that an audio thing? I don't know what that means
1166700	1171500	Echo it's the type of echo that you understand. Oh now that one's a multi-tap and really
1176780	1180620	Sorry, it was the video I wish I had subtitles so I can read. Oh it does
1183020	1186540	Cool do I double tap it to make it work?
1188500	1190500	No, all right
1192780	1194780	FX
1196140	1200020	No, I'm just like putting reverb on my voice. Although it doesn't exist
1201500	1208620	At least the beep works. That's all I care about. What the f*** if you look at me with your dumb
1209340	1211900	Face I swear to God I'm going to
1223900	1225900	Mom
1226860	1228860	Your mom
1234060	1238140	This is every time I'm plugging it plugging it back in I have
1238620	1240620	my
1242540	1249820	Insults are invigorating. I'm glad. Let's see if there's a software update devices up to date global settings
1252380	1254380	What does that say
1260700	1263660	Oh, I can connect to my stream deck that's cool. I
1264380	1268140	Don't really need to do that though
1271260	1275260	So that means I could probably add more effects to my stream deck that's pretty nifty
1280140	1282140	Yes, yes indeed
1285380	1288100	Actually, I am tempted to unplug it and plug it back in
1288820	1294300	Because it doesn't make sense why the effects wouldn't work at least the microphone part works. I
1297940	1306100	Don't get it presets big echo big verb
1311100	1313100	No
1319060	1321060	No
1327060	1332180	Herm interesting. Whoa, that's loud. Holy crap. I just made it louder
1334660	1336660	Oh, oh my god
1339700	1341700	Faders
1342580	1343940	Effects
1343940	1350260	Because this is this group reverb echo. Yeah, I think it might just be my thing. Maybe I do have to unplug it and plug it back in
1351380	1352740	samples
1352740	1354260	ooh
1354260	1356260	Bro, I'm about to become a dj
1356340	1359060	Call me icy the way I'm about to become a dj
1361540	1369540	Okay, let's play shall we presets or presets? I don't know what you're both. Why not both, you know both
1371940	1373940	Also, make sure
1376020	1384500	Oh, thanks for the member is equal as well. And oh, let me actually read any don't know for last stream because I've ended stream
1385140	1387140	Before I could read any don't knows
1394980	1397460	Nice there is no don't knows
1401780	1403780	Oh
1405300	1409860	Nothing to worry about then perfect
1419220	1422020	Yeah, we're playing already. Well, I just peeked the mic. I'm sorry
1425540	1429620	All right, and nothing to worry about and there are a pair of super chats. Let me see
1430340	1432340	Oh
1432900	1434900	Yeah, you're right. Okay
1436500	1442500	Wait, is that from the day before hold on stream allowance is weird. Sometimes stuff doesn't load properly
1444340	1448340	Let me just refresh this page. What if I log out along back in?
1450580	1456340	App store plays endless zone zero today. I saw that I might play it. I usually don't I haven't played any hoyo
1456900	1458900	Uh verse games
1458900	1460900	now I'm tempted
1462020	1466260	I'm sorry. So there's someone who subscribed to my channel and their name is just oh god
1468900	1470900	That's funny
1471060	1473540	All right, there's two super chats from charlie spur
1474580	1478260	Both two dollars. Thank you charlie. By the way, can we lay in your lap?
1479140	1481460	And oh, hey, she's not cursed this time
1482980	1484980	I wish I knew the river the context for those
1487220	1489220	But that was it
1492260	1496100	How much prep time have you given percy jackson access to water?
1496900	1502100	Can I beep her? Oh, yeah, I definitely could in a fight. That's a whole ass child. I could beat him up
1503300	1505300	I just kick him
1505380	1508100	Punch. I don't need water. I just find him in the desert
1508100	1515380	The eyes pop up beautifully under this black screen wow
1516900	1518580	Wow, wow
1518580	1523460	My eye color might change when I get the tan toggle. I'm thinking blue eyes
1524260	1526260	white dragon
1528100	1530100	But only for the toggle I think
1532500	1535300	Your muppet is the cursed part. Oh that makes sense
1535300	1539220	I'll kick him always. What pop what pop?
1542100	1544580	Okay, I got my controller
1545780	1550580	I'm so excited to see this. I love how watching different people play this game and someone said there was voice acting
1553380	1558260	Blue eyes sigmes cat I was thinking um future model
1558900	1564740	I'll actually be a himalayan rabbit because it's close to a sigmes cat because they have the same gene genetic thing
1565300	1570500	Where um their extremities are brown because of the change in temperature
1572260	1574500	Are you familiar with this game not at all?
1577620	1579620	Hit him with them
1579860	1581860	We get it you have blue eyes
1582660	1584660	It's fully voiced
1584740	1586340	ah sweet
1586340	1588340	Okay, then I don't have to do anything
1590100	1592100	Although I could I bet there's an option to
1592820	1594820	change that though
1595060	1597060	Yeah
1601220	1605620	I'm wondering if I should voice act. No, I don't have to I'll let the people talk and I'll just enjoy myself
1607540	1615300	Chrissy Jackson ends up in a no no no no no stop. I just accidentally smacked my mic smacked my mic
1615940	1617940	No
1618020	1620020	Bad
1620340	1622340	No
1624820	1626820	Hell mode
1631380	1633380	I have no idea what that means. Okay
1635380	1640500	Few tales are told of hades. Oh whose very name inspires fear and penitence
1642260	1645940	I don't know. I kind of like them because of laura limpus. Have you read laura limpus?
1647220	1649220	Very good
1651060	1653060	Read laura limpus on webtoon everyone
1654820	1656340	Oh
1656340	1658340	Oh, I already love this. Goodbye father
1660420	1662420	Why am I in tartarice?
1663060	1665460	Am I hades to help with this place?
1668180	1670980	Oh, I can bump into some ghosts
1673380	1675380	Interesting
1676500	1681300	I feel like I walk too fast. Is there is there a walking button? Oh shit. Okay. I can dash
1682260	1687540	I can crash stuff. Oh, I have a big ass sword. What am I like pericles or something?
1689380	1691780	I don't know what that is
1696740	1703140	Whoops, um, okay, I don't know. I can't do that whatever that is
1704820	1706820	Okay, that's just to move
1707780	1711300	I think I prefer this than this. Yeah, okay. I think I'm used to it now
1713780	1715780	I'm John Hades. Okay, gotcha
1716420	1718420	I'm John Hades
1719940	1721940	Hold on. I need to get more comfy
1724500	1728420	This game is so pretty and I only I'm in the fucking tutorial
1730820	1732820	You know lean back a little bit
1733780	1735780	Yeah
1736260	1738260	Whoa, what is going on my chair?
1741220	1747540	Black silence 26 tipped 15 dollars. Thanks. Black silence. More condiments for the Ushibi
1750500	1753540	My mom the other day she's just like, how are you doing?
1754020	1757940	Now I'm like, I'm fine. She's like, have you been eating? Well, and I'm like, yeah, of course
1758020	1761220	And she's just like send me a picture of your fridge right now
1763540	1765540	And I did
1766100	1773860	She's like, oh wow, you have so many condiments in your fridge, Shibi. You have some pickles as well
1775300	1781380	Wow, you have a lot of good stuff here. How are you gonna make a meal? You're gonna you're gonna put some ketchup with some mustard
1784180	1790660	And have that as a little snack on some rice cakes that you have and I'm like, maybe maybe I will
1793780	1795780	Oh
1798180	1805220	Who are you? Why do you have what is that character from um that one anime demon slayer
1807460	1809460	Can I like lock on no
1816500	1818420	Oh, okay, interesting
1818980	1824900	Am I supposed to like fight them or can I just run past? Oh, okay
1835620	1837620	Ow
1840340	1842340	Who the frick are you
1843540	1846180	I think I might die and it's only the freaking
1847140	1849140	Tutorial
1853060	1858980	Oh my god, what the hell? Oh, try and stop me. Yeah, you just might
1865540	1867540	Uh get these guys
1871940	1873940	There she is
1874100	1877460	Who is this got to be her zagroos? There's nothing
1879140	1881140	In the name of Hades
1881300	1883300	I accept this message
1883300	1885300	Zagrus, what is he the god of?
1886100	1889140	He's a demi god. What is he? I really I recognize his name
1890500	1892500	Uh, he's he is a son of Hades
1894580	1896580	Don't tell me
1899700	1901700	It's not like nightmares
1902580	1910100	He's pretty eyes. He's a one red one green eye. I love the color palette with the random dash of green. It's very interesting
1914420	1918420	Hmm. All right, you can tell me what is he the god of?
1923140	1928100	I got a good one for my first son of the big fella. He's the god of talking smack
1928100	1930100	Yeah
1931460	1933460	Hades nuts
1935460	1939540	Hail noble cousin now, let's get you from that miserable place
1939940	1943540	I'll see that all of us upon Olympus to our part beginning here with me
1944260	1947860	Okay, she's goddess of wisdom, you know Athena
1949460	1951460	It says it there
1952260	1954260	He's got a blood
1954820	1963220	He's not Dionysus. Is he a Dionysus counterpart? I'm looking this up because I I like mythology. I'm looking this up
1975460	1978980	Zagrus is a god associated with rebirth hunting in the underworld
1979300	1983380	His name translates to great hunter in greek and in the epic Al Simeonus
1983620	1988580	He is called the highest of all gods Zagrus is also associated with the wine god dying. Oh, okay
1989140	1995140	Uh, that wine god Dionysus in an orphic tradition. He's considered the first incarnation of Dionysus. Okay. I stand corrected
1998260	2000260	A son of Zeus and Persephone
2001780	2003780	What
2004340	2006340	Oh well
2007300	2014900	Other stories identify him as a son of Hades or even as Hades himself. Oh, yeah, there's a lot of gods that kind of get like mixed up
2018020	2020020	Uh
2020980	2025940	Interesting because there's different forms of myths and
2027780	2029780	Because like
2029780	2031780	I
2032020	2038340	Little odyssey might depict something just as an example might depict a god as this but another
2039460	2041460	Writing depicts them as this
2044740	2046340	The name
2046340	2051220	Zagrus derives from Zagrit, which is properly a pit for catching animals
2051300	2055620	But also one used for depositing animal remains or offerings to a catholic deity
2055940	2059620	Making Zagrus literally the god of pitfalls
2062020	2064500	Hunter that catches living animals or
2066260	2068500	Direct translation would be catcher of game
2070820	2072820	I would like to know
2076660	2080020	Oh, yeah, epic Al Simeonus, Mistress Earth Gaia and Zagrus
2080820	2082340	Zagreus
2082340	2088580	I'm say Zagreus highest of all the gods perhaps mean the highest god in the underworld
2089780	2091780	Interesting interesting
2093540	2095540	Hold on
2097780	2101460	Zagreus from the Euripides fragment and suggestive Dionysus
2107780	2109780	Interesting
2110980	2117620	This Dionysus Zagreus was a son of Zeus and Persephone he was as an infant attacked and dismembered by the titans
2118180	2120820	So later aboard as a son of Zeus and some now
2121700	2123540	assembly
2123540	2127940	Huh, huh. So I'm just reading the Wikipedia page because Wikipedia is very truthful
2130020	2135060	Dr. Luke Edgar von Kleist tipped one dollar and fifty cents just say again
2135860	2138340	Flying money loving the stream again
2140340	2142980	Again, thank you for the tip
2146420	2148420	Dr. Luke Edgar von Kleist
2150820	2152820	Zagreus, yeah
2157780	2165460	Trust is what the games tell you authors contradict during each other is very common mythologies. Yes
2167300	2169300	Yes indeed
2169380	2171380	Oh
2173700	2175700	Okay, uh
2176340	2178340	What should I pick?
2180420	2182420	Which is the best one
2184180	2186180	I'm gonna sip my drink while you tell me
2192420	2198580	This makes me want to play play wedding witch wedding which is a fun game
2199540	2201540	Well, aren't you just the sweetest?
2201940	2206420	Dr. Luke Edgar von Kleist tipped two dollars and twenty two cents easy
2207940	2210420	Easy I don't get it
2212340	2214340	Easy
2216580	2218580	Three okay
2219380	2224260	We'll do that then we're all saying three all the way where you are goddess, but thank you
2224900	2226420	Cool
2226420	2228420	I don't remember what my dash is
2228580	2230580	Can't heal myself, but I can fight
2232820	2234820	I like the voice acting
2236580	2239780	Oh do I just pick up my diamonds?
