start	end	text
90000	120000	I'm going to do a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little
120000	150000	bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit
150000	180000	of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of
180000	210000	a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a
210000	210280	little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little tail of a little big
221280	223280	screws
226640	228640	after the sign
235140	237140	I just woke up
237140	239540	so you get the sleepy
240000	250800	I was like, it was like 4.58, um, like, gets up, crawls to desk, turns on stream.
250800	261740	I might need to- I think I need to have an idle meeting when I'm not sure yet.
261740	263740	But how are you guys doing?
263740	264740	I'm doing fine.
264740	266240	I hope you're doing fine.
267040	271840	I could have slept a little longer, but it's kind of better I don't, because, oh my god,
271840	278400	I'm so big at the hell I'm trying to scroll, so that, um, I'm echoing, I hate it when I do that.
278400	284000	Um, so that, oh, it's my turn to putt.
289360	292160	That should have been a warning sign.
292160	299520	Oh yeah, so I have to wear this on me because YouTube doesn't like my bosom, so I'm hiding it.
299520	303920	Out of shame, I'm so shameful.
303920	308320	I'm so terrible for YouTube.
308320	315600	Um, I am getting a cover-up, uh, eventually, so.
315600	318560	And it'll probably just be my shirt button, which is nice.
318640	320640	I might have got my nose itches.
323120	325440	YouTube does pick and choose, yes.
325440	330320	Um, let me see.
