start	end	text
0	30000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ �
30000	60000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
60000	90000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
90000	120000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
120000	150000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
150000	180000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
180000	210000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
210000	217000	ცლ ლლ ლლ ლლ ეებბმდ телефон
222360	226780	რლლ ლლ ლლ ლლ 漂亮
226780	230660	რლებ ლლვ ლლ ლლ ლლ ლლ ლედ ლებ ლლ ლლ ლე
230660	233540	យ America
233540	237860	ch warrant
237860	240820	j y
240820	244000	m
244000	244980	tr
244980	248340	n, n怎么样
248340	251440	, n n n n n n n n, n
251440	253800	n
253800	254320	欲о me
254320	258760	h
258760	260760	Airlives  Communications.
260760	267280	k
267280	271760	පattform හ්් වේිශ් ආශ සඳිය � gr girl හේි් අීසති බෝ් සමඟිලේيع ඉවාවළා pliers 012
272140	273260	ඃප්ස් හානය ස්ස්
275080	277380	..හුව් ගෝවා වටස්ස ඇසශ නාය!
277380	278360	� unlocked�wort� වානී ඔබ ළ�万හ strap වාපු වු 4 ‫
278360	282600	69  Chickas on monetization. She be hard.
282600	291600	ᵒᵉᵉ ᵒᵉ ᵍᵍᵗ ᵗᵗᵈ ᵕᵏᵉᵌ ᶁᵘᵍ Gotta die all Alrighty
294600	297600	ᵗᵉᵃᵉ mᵕᵐᵄᵉ ʰᵇʰᵠᵗᵍᵕᶅᵗ ᶁᵜᵈ k fantasy
297600	303600	I'm brown, so if you didn't know that already, that's why I'm tan.
303600	309600	I need to sneeze.
309600	313600	Oh, that felt funny.
313600	321600	I'm also, you know, I'm, let me just, I'm wearing my lovely necklace.
321600	325600	Thank you. I'm gonna be sneezing a lot because I've had allergies all day.
325600	331600	I'll only pull my shorts down a little bit, so it's obvious I'm wearing pants.
331600	335600	Yes, I'm wearing a Doctor Strange shirt that looks like a tarot card.
335600	339600	Some of you also may know that I'm a Marvel nerd.
339600	343600	And I'm wearing a hoodie because I got really cold.
343600	347600	Thank you. I don't have my headphones on.
347600	353600	And I, hold on. I'm a mess. I'm literally such a...
353600	359600	I'm like so overwhelmed right now.
359600	363600	Bless you. Thank you.
363600	369600	Thank you Namesword for the 50. Jesus Christ.
369600	373600	Okay, I might also just save tips till the end as well.
373600	377600	So we're gonna do that. I'm gonna save tips for the end as well.
377600	381600	How's the party? It was good.
381600	385600	I came to bargain.
385600	390600	So my friend Olive, I've talked about before, she is leaving the job that we work at.
390600	397600	So she had a bunch of like our coworkers and people that used to work at the place we work at.
397600	400600	Over and we had a little barbecue.
400600	406600	I might have had a Margar too, you know, got a spoil myself.
406600	410600	And though I realized I shouldn't have really done that because
410600	412600	I regretting it today.
412600	416600	I'm like, I'm only a lightweight because of the medication I'm on.
416600	420600	Because I'm on like several different medications for pain management.
420600	422600	And also mentally with no way.
422600	427600	And I need to make sure like...
