start	end	text
0	7680	doing your mom doing doing your mom doing your mom doing doing your mom doing to your mom
8720	13680	you know its straight doing your mom doing your mom doing your mom doing doing your mom
13680	24720	doing your mom doing doing your mom doing do too in your mom
24720	30220	Doing your mom, doing your mom, doing your mom, doing your mom, doing your mom
30220	32320	You know we're straight, doing your mom
32320	34320	I'm doing your mom, yes yours
34320	36320	first saw her in the Walmart
36320	37320	picking out your drawers
37320	38320	big dolly part in hair
38320	40320	like an 80s prom queen
40320	41320	the rest was looking good
41320	42820	all up in the mom jeans
42820	44320	I approached her in the checkout line
44320	46320	and said you know baby what's up
46320	47320	she had 2 gallons of milk
47320	49320	and I was staring at her jugs
49320	51320	5 minutes later she agreed to get with me
51320	53320	so we went and rocked the minivan
53320	54320	like giggity giggy giggy giggy
54320	55320	I was riding your mom
55320	56320	like she's my real car
56320	58320	I gave her a lift back to her crib
58320	59320	cause her car wouldn't start
59320	61320	she invited me in the house
61320	62320	and we started making out again
62320	64320	how many times I tapped that ass
64320	65320	over 9000
65320	66320	yeah she called me pledge
66320	68320	cause I knocked the dust off it
68320	69320	later made me a sandwich
69320	70320	and she cut the crust off it
70320	72320	cause she knows how I like it
72320	73320	and that I'm a little young
73320	74320	to be in the bed
74320	75320	but naked
75320	76320	doing your mom
76320	77320	doing your mom
77320	78320	doing doing your mom
78320	80320	doing your mom
80320	81320	doing doing your mom
81320	82320	doing doing your mom
82320	83320	doing doing your mom
83320	84320	doing doing your mom
84320	85320	you know we straight
85320	86320	doing your mom
86320	87320	doing your mom
87320	88320	doing doing your mom
88320	89320	doing your mom
89320	90320	doing your mom
90320	91320	doing doing your mom
91320	92320	doing doing your mom
92320	93320	doing doing your mom
93320	95320	doing doing your mom
95320	96320	you know we straight
96320	97320	doing your mom
97320	98320	I'm a big butt
98320	99320	and I can not lie
99320	102320	you know other brothers can't deny that she's fly
102320	103320	you make sexy on time
103320	104320	yes and every night I tap that
104320	105320	she told me but naked
105320	107320	now she thinks I'm half black
107320	109320	but your mom's the best
109320	110320	at super M I L
110320	111320	F
111320	114180	Cause she loves a toaster salad even though she ain't a chef
114180	116620	And I blame it on the alcohol
116620	119120	If I were you, I wouldn't kiss your mom on the mouth at all
119120	121820	She likes a donkey pun, she likes a dirty Sanchez
121820	124580	Sometimes she even likes to fool around in your bed
124580	127840	She likes rough sex with handcuffs and I'll be honest
127840	130700	She likes me to Chris Browner when she acts like Rihanna
130700	133440	She's so therapeutic when I need to cure my racistness
133440	134600	I brrrrrr
134600	136180	Murderboat your mom's racist
136180	138680	I didn't wanna tell you but I had to write the song
138680	140380	Cause I'm in your house every night
140380	170380	Doin' your mom, doin' your mom, doin' doin' your mom, doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' doin' your mom, doin' doin' doin' your mom, doin' doin' doin' your mom, doin' doin' doin' your mom, doin' doin' doin' your mom, doin' doin' doin' your mom, doin' doin' doin' your mom, doin' doin' doin' your mom, doin' doin' doin' your mom, doin' doin' doin' your mom, doin' doin' doin
170380	173820	That makes me better for better than you
185620	193940	Doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' doin' your mom, doin' doin' your mom
194260	199560	You know we straight, doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' doin' your mom, doin' your mom, doin' normal
199560	204560	Doing, doing your mom, doing, doing your mom, doing, doing your mom
204560	207560	You know we straight, doing your mom
