start	end	text
30000	32000	You
60000	62000	You
90000	92000	You
120000	122000	You
150000	152000	You
180000	182000	You
210000	212000	You
240000	260280	Why hello there my cats are being very active right now hello hello we are so
260280	265720	Live what wondrous adventure awaits us today who knows oh no I have to sneeze
269760	271360	Okay
271360	273360	We did we out here
274160	277920	How are you guys doing? I hope you had a good day yesterday. I hope you enjoyed
277920	284160	I know for those who are able to catch it the DSMR. Yeah now now be fun
285000	287000	I know what I've never done. I need to add
288000	292320	My BGM to my chatting screen. That's what I should know
294200	297440	So, you don't hear me just gap and silence into my AC
303640	305640	There we go oh
306800	309200	Yeah, no, definitely I have another
310320	313360	ASMR next week and we're gonna focus on
314440	316440	some particular
317720	319720	Scenario
319960	324120	Dude, dude, dude, dude. Oh god, I'm
328040	332800	Thank God you guys didn't hear it, but I was like, why do I hear myself? It's because my
333920	341600	Stream was playing in my headphones. I'm very tired. I don't know why I'm so tired am I hungover who knows I
342560	348480	Didn't sleep last night, I guess well, it feels like I like closed my eyes and I blinked and I was awake and
350360	355480	And then um and it was 10 30 a.m. And I'm like, oh I had a
356480	358480	therapist appointment
364200	368040	Yeah, somebody got me I can't open air from throne so thank you
369040	370040	I
370040	372600	Suggested it like you need this what's creepy though
372600	380040	It's that it's the same brand as my pots and pans that I use and the same color so it matches
381800	388960	Well, I didn't black out. No, it was not that bad not at all. It's more so like I got distracted. I
389840	395720	Was fucking about you know as one does on the interwebs scrolling through a tweet are
396320	401440	Intique of the talk as the kids say and I'm just like, oh wait
402600	407120	It's almost 2 a.m. Silly me. I should probably sleep
410040	417800	You didn't say you were like oh, I'm not that light and one and a half drinks does not put me black out
418320	420800	I'm not that that bad
421400	427120	It's good to see my neck is in one piece. It is indeed attached to my body
429160	431160	Oh, no, I'm fine. Yeah, I uh
432200	434040	so
434040	436300	I'm sorry. I have to admit something I
437960	439720	Lied to you
439720	445300	It actually did I didn't notice until this morning, but it did cut my finger. I just never noticed I can
446600	448600	But it's fine
448720	451440	Just it's like it was a little little skin
452920	456720	Don't worry about it. Don't worry about it. Don't worry about it. I think I'm getting sick though. I
457720	462600	Think when I went grocery shopping yesterday morning at the store, there was like a bunch of sick people because now
463200	465200	I'm feeling a bit ill
465640	468200	I'm feeling a wee bit ill. I got some tea
470080	472080	Made it in my new teapot
472120	475040	Thank God because I was tired of microwaving my tea
476040	481440	And I know my British fans out there would be horrified to hear that I microwaved my tea
481440	484840	It's just easy to just throw it in there for like a minute 30 and I'm good
485040	487040	But now I have a nice tea kettle
487880	491260	So I've made myself some nice chamomile tea
494880	496880	I didn't hear you just say that
497840	499600	What
499600	504480	What uh, you don't you don't like microwave water microwave water is delicious
506000	509480	It's chamomile tea. I like I don't know why I'm drinking it
509480	511400	But it's like my favorite tea because it might make me sleepy
511520	517440	It's like a lavender chamomile like it's called sleepy time tea has a little cozy bear and he's you know
518120	521160	He's hanging out you buy the fire getting all epee
521640	525200	We're gonna be cozy top-ten anime betrayals. Oh
527960	529960	No, the thing didn't play I
530960	536920	Need to keep my desktop audio on because it says I'll do with the voice line. Thank you for the the don't know by the way friend
538720	541080	The don't know usually sco's oh
542320	544320	for me I
545560	550560	Did some I was messing around I was like, oh, let me take a nap. No, I did not take a nap
550560	553600	I was messing around with alerts and I am
554120	557960	Was I added voice lines for all like the tip
558560	561640	Options so they're good. Some of them are goofy. Some of them are like, ooh
562760	565360	But most of them are goofy because you know, I'm goofy. I
568120	572960	Don't know why I'm leaning so much. I got that that gangster lean. Hold on. Let me just eat. There we go
572960	576040	I wasn't like quite upright whoopsie
579920	586000	Hey, I'm southern we here we drink our tea iced and sugared to heck hell. Yeah, that's how it should be brother. I
587000	589440	Love me some iced tea some sweet tea
593520	596160	Outside she's dumb but inside she's goofy
600960	604520	Was something triggering said I miss yeah that I microwaved my tea
606080	608080	She microwaves her tea
608440	614640	Someone has to tell the king or the queen or the other mothers of the royal family. I don't know
616320	619120	Tea with rum. No, although I do have this bottle of whiskey
623840	627160	Honey, Tennessee whiskey. Oh, what? Oh
629440	633720	Hello straw knee and friends straw knee and brieflings. Hello
634840	642360	How are you doing Japanese tea is good. I saw that we were playing eddie streamer overdose. I love that game so much
643360	645520	I'm just music is so good
646520	651880	Welcome. Welcome. Welcome. Stronger raid. Unless it's stoner raid and I'm like, oh, all right
654840	660000	How was it how will be no, I know mummy has been streaming for like
660800	665680	12 hour streams the past two days. So please get some rest my dear
665680	673920	Let me attend out of ten of nowhere. I didn't expect it. Yeah. Yeah. Yes. Yes. I love that
673920	677800	Yeah, it's such a good game. I remember when I first played it. I'm like
678520	681320	Somebody had made a comment. I think on the steam page
681320	685760	Like is this a psychological horror game or is this cute and I'm like hold on
685760	691720	Is this doki-doki literature club type beat? So I played it and I was like, oh, no, she overdoses
691720	699040	So, yeah, it's a great it's a great game. It's really really interesting
700480	706080	Just how you can manipulate like an online talent as her like manager
706920	708920	Very very interesting
709360	714000	And it's like just brings a whole new perspective to like how men head up
715160	717160	Women can be
718040	723960	Um overdosing did oh doki-doki literature club is literally one of my favorite games of all time
725720	729040	That would be super fought you hope it would do Texas Beach
729040	734240	I thought it I thought I had it do the Texas Beach. Maybe I have to might have to go in and fix that
736360	738360	But yeah
740280	745960	Anyways, what what ASMR audio what was I supposed to do ASMR audio?
747400	749400	kidding oh
749400	751400	I was like
751560	757040	Was there another I'm it was there a script that I missed. I'm like I recorded like three months
759560	764460	No, sorry, she's she's not even a manager. She'll just be like she was sliding to my DM. She'll be like hey
764460	766660	I'm like hey. She's like can you like
767120	772840	Mone into this mic for me real quick and I'm like bet oh and then she's like perfect and then she's like
772840	774840	Skuttles
774840	777800	Just no context just I'm like all right
779160	781800	Then it just pops up later in some random thing
785200	787200	My file now yoink
787720	795760	She I'm pretty sure she has probably like in a sound archive of just a bunch of random noises of me of me and all
795760	801080	The other girls just like hey, can you laugh like this? Oh, can you make this noise? Oh, can you like burp?
801080	804700	Can you sneeze? It's just so she can just throw stuff together
805600	806920	um
806920	808200	strong
808200	812800	You know what strong you should do she should just run our voices through an AI
813800	820120	Just oh, I need I need so and so to do this and then she's like types it in the generator now
820600	826400	Just like if we're not around her for a sleep. I believe you replace the AI. Oh god. I hope not
827400	828640	Oh
828640	834520	although an AI an AI whore, I mean woman of the night
836400	838400	That'd be pretty hard
839040	841320	Neurosama after hours
844120	849760	Can we can we get up by by strudy can we get up wait try before I go can we can we get a AI?
850440	855520	Robo waifu next jet. I'm just throwing like guys like so
856280	858280	Strongies are creative director
859000	863040	And so I just like will randomly slide in her DMs and be like hey, so for gen 2
864200	865640	slime girl
865640	867640	dog girl
867920	869920	Robo waifu
869920	871320	monster
871320	873320	ogre lady
874160	876160	It's just because
876400	878400	Oh
878680	886120	But just it's so fun having like gen mates that like have the same taste as you and even if they don't have the same taste
886120	893320	You're just like oh, okay. I see where you're coming from. That's that's a pretty good idea. Okay, very cultured
893320	898680	Yeah, yeah, platypus girl. She can lay eggs, but then give me
898680	900680	No
902760	904760	Dress up as there as a platypus
906200	912280	Although did you am I allowed to talk about like my spicy all or like other girls spicy? Oh, I don't know
912280	914120	I will figure it out
914120	920160	But is there I made some beautiful art on her all so good. I hope she finishes it a wombat girl
920160	922160	I like to call rain on a wombat and
924360	926360	Did you know that like
927360	929360	I'm like that
930880	935440	Should I be saying this that breast milk tastes very sweet
942440	944440	One of my
944440	946440	friends had a baby
946880	951200	Recently and she's like she be and I'm like, yeah, she's like
952000	955000	You keep looking at the baby's bottle
956360	961840	Do you want a taste and I'm like straight from the source and she's like we were just we were joking
961840	966580	We were joking. She's like here and she's just like put some out like in a little like shot glass for me
966920	968920	so I did
969560	971860	My friends breast milk and I'm just like
976480	978480	Wow that is surprisingly good
981040	985880	Well then like it makes sense because it has all this like nourishment and all this like whatever stuff
986400	993160	And I'm like that's some that's some good stuff right there. So if Azura ever made like a
994560	996560	Like a milk based
997160	1002160	Like merch item like she starts selling her own like blue milk like and it's
1002760	1004760	Azura do lay
1004760	1006760	This is like I
1008200	1010700	Wouldn't be a verse to try again 100%
1011540	1013540	Um
1013900	1018900	She be you've been streaming for five days and you've tased chat
1019260	1026700	You've talked about drinking breast milk. You don't many suspicious things on stream if anyone's getting like
1028300	1032100	Demonetized or their channel terminated first. It's probably gonna be me
1032500	1034500	I
1034980	1039820	Sir impression is so good. Yeah, she has like a really
1041380	1043820	Sing song II dragged out
1044900	1046900	like voice
1046940	1053860	It's like she's thinking but then she also kind of has like a valet girl accent at the same
1053860	1058060	It's really like she'll be like, oh my no, she doesn't say oh my gosh at all. I don't know
1058060	1060060	I
1060340	1063980	Take you to management to the dungeon. Yeah, nah, and we would win
1068980	1073700	Oh, I can one up that I can one up in all of that. Should I be wanting up in me?
1076060	1078060	So one time
1078540	1085500	In another era of she be I was streaming some lovely games with my with one of my friends
1086220	1091700	Toma you might know Toma keys and um, we were playing. I know we were doing
1092860	1095620	We were doing smash your pass on Pokemon
1098100	1099860	And um
1099860	1106260	So I I had eaten something. I think like I got like food poisoning. So I'm sitting there
1106260	1112460	I'm like, oh my god, like I really have to use the bathroom like if I fart like it's not gonna be good
1112820	1113980	Um
1113980	1120340	So I'm sitting and we're laughing and I'm about to be like, oh, let me I'm just gonna be or be real quick to run to
1120340	1124580	The bathroom and then we get a raid of like four hundred people
1128100	1130100	And I'm like, oh
1130140	1133300	Hi everyone, welcome to the stream
1133300	1139580	Oh, we're just we're just talking about Pokemon and I'm like trying so hard not to fart
1139940	1145300	And then I'm like, I'm sad as I said the guys guys you don't even I sat there for like 10 minutes
1146140	1148140	fighting for my life
1148180	1152420	Waiting for like I just wanted people to leave at that point like though
1155020	1159140	Because like I being a small stripper I was like, oh, I need to keep up the momentum
1159140	1163420	I need to I can't just like leave when they rate some is like, oh, you know what I
1164340	1166340	Will shit myself right now
1167340	1169340	Maintain the numbers
1171260	1179420	Like oh, yes, let me continue to talk about how I would smash how I wouldn't smash any bird Pokemon because it's a fucking
1182180	1188820	But no, it was fine, I didn't you know, I can't one up in me because I didn't actually shit myself but afterwards I
1190340	1192340	Did like
1192500	1194500	Low-pony can get it. Um, I
1195340	1197340	Did fight for my life on the bathroom
1198380	1204940	Sorry for the TMI, but you know as I mentioned I had a therapist point this appointment this morning
1204940	1206940	And I was like talking about you guys so
1207620	1209940	Like I said, I'm at all it's serious. So
1211220	1213220	You know
1213860	1218780	We had like you thought you were being parasol. No, I'm already talking to my therapist about you
1218780	1219380	It was like, oh my god
1220220	1227700	And it was great and like I had to send my therapist a bunch of stuff about vTubers just cuz she doesn't know what they are
1228380	1230780	It's moving too quickly. No, it's not moving fast enough
1231620	1233180	and
1233180	1237980	She's like, oh my gosh, I'm so proud of you because she knows I've been working towards being like a full-time streamer
1239660	1246060	No, you're not the abuse abuse of boyfriend. You're the sweetest you the sweetest little subby boyfriend a girl could ask for
1246820	1248020	Um
1248020	1254220	But so I told her so she she doesn't know like the full extent of like the content I make
1255260	1257260	Honestly, I wouldn't be surprised if she was watching me right now
1258140	1260140	Hi, Cheryl
1260780	1262500	But
1262500	1264940	She uh, I told her like
1265980	1272700	So I told her that my outfit is risque cuz she's like, oh, I told her that I got merch merch plug. Ooh market
1273500	1279860	And she's like, oh, I want to buy your merch and I'm like, I I don't think you should
1280500	1285260	Because I don't think I want and she's like this really sweet older woman. She's like
1286260	1289420	Middle-aged and she's she's like, let me support you
1289420	1293780	I don't like I feel like that's a breach of stuff, but I don't like she's been with me for years
1293980	1295860	so but I'm like
1295860	1297860	You should probably get a key chain
1298300	1303540	It not the shirt cuz she's like, I want a shirt. I'm like, I don't think you want a bondage bunny on a shirt
1307260	1312820	Yeah, I don't want some rude ain't wearing outside, you know what I don't even your support is all them like that's just
1313660	1316380	You don't have to wear it out. That's okay. If you rep me
1317300	1318820	honestly
1318820	1324260	Hell to the yeah, I don't even think I can wear my own merch outside because I just
1325020	1331020	Something deep down just tells me I'd be identified if I'm wearing my merch and then I like go to like
1331940	1335780	CVS or something and then I'm like, hey, I'd like to get like
1336500	1338500	Some a pack of gum and they're just like
1338940	1341660	She be caught in by like I just feel like I would be
1342660	1345700	Noticed it's happened before I've had
1347540	1353300	When I was a flesh tuber someone I was working at my normal day job and someone's just like are you?
1353940	1355540	redacted and I'm like
1355540	1357380	No
1357380	1361180	They're just like wow you look exactly like her and I'm like wow, that's crazy
1362220	1364380	Anyways, did you want to buy anything else?
1367220	1369220	That's something that happened at the target
1370100	1371700	Yeah
1371700	1379140	And like even like I'm nervous to like say like oh I went to this place today because I'm like there is somebody out
1379140	1384060	There that will figure out exactly what store I'm at and be like triangulate my location
1386060	1388860	And then they'll see me be like oh my god, she's a rat and I'll be like
1390340	1392340	Yeah, I'm you I'm you oh she right
1394860	1400620	Redacted as my favorite streamer. Oh, yeah, I was a lot more based back then and politically incorrect
1400620	1404060	That's for sure being a former commentary youtuber
1404940	1412940	Immersion broken redacted is that honestly that would be a cool name for a streamer. Hey, what's up? I'm redacted. He just called her Daki. Oh
1416060	1423460	I got gen 2 a vtuber that's just covered in sensor bars and her name is redacted
1425340	1427660	Her outfit is made out of sensor bars
1429020	1431660	You had flesh. No never flesh
1432660	1434660	You know Daki Daki
1435700	1440220	Right, that's not a bad idea. She's like she's like a what's it called?
1440900	1442900	one of those exhibitionists
1444020	1450420	Yo, I'm cooking I'm cooking feeler gen 2 redacted although we were making jokes that
1451100	1457260	V2 could be feeler gen 2 could be like V sucky. No, that'd be so are like suck you
1458340	1460340	That'd be so bad
1461660	1466260	New creative dry little shawty. I'm taking your spot. Let me take a sip of tea. Oh
1468420	1470780	Did it go did you guys hear that?
1472740	1477060	Did you guys hear the donut? Thank you for the donut by the way, did you guys hear it?
1478740	1482620	Nope, okay, so I'll say so it's when you do
1483420	1488220	$6.90 it goes take me out to dinner sometime won't you like
1489220	1495700	That's what it does mix your tea with alcohol. No, I'm not mixing my tea with alcohol. Why would you want me to do that?
1501620	1506060	Okay, let me see if I turn it all the way up. I feel a little continue to do it
1506060	1512340	I don't know man ouch smack my hand on something am I hungover. I don't think I am I just don't think I slept well
1513340	1521220	It's Trinay. Yeah, she possesses me sometimes. I am I am her her clone. So just an Americanized version
1523020	1529900	Ducky is just solid black giant sensor bar the ultimate. Oh, but like drow drow skin tone
1531140	1533140	She's like dark Alfie
1533820	1539460	Dude, I'm cooking. I wish I'd like artistic ability like Emmy because oh my god
1539460	1542900	I'd be like, let's forget mr. Hopps. We're drawing
1545020	1547020	Choco bros be good
1553260	1555940	Give me I was like a pop
1556620	1559900	But um commission Emmy for the art all hundred percent hundred percent
1560340	1565500	I'm like I'm already think trying to think I'm like how what can I commission Emmy for she's so talented
1565500	1567500	I
1569020	1571020	Ten out of ten, thank you
1571740	1576420	Some of you are cultured. You know what it's funny though. I saw some people be like, oh, can you not?
1577220	1580620	Why do they burp in your streams? It's so un-lady like I'm not a lady
1581740	1584540	What whatever made you think that I'm some sort of lady
1586220	1591980	I'm not I'm not a good young lady. I'm a fucking who oh
1592980	1594980	That work
1595500	1601660	The ten dollars I didn't do anything for ten dollars that wait. No, I think it was it's like, oh, thank you, sweetheart
1602100	1605460	Did you hear that it worked? You almost heard it
1606780	1611180	Someone okay, I'm gonna go turn them up then because for me when I was listening to them back
1612020	1616420	It was like super loud. So I put it at like 30%
1618460	1620460	Thank you for the dono names
1622940	1628220	Oh my god, are you she weak wait, this is from Barrow. Oh my god, are you she be condom my grandma loves your streams?
1628220	1630980	Where's your merch the rabbit?
1631780	1634500	And I it's also supposed to do text-to-speech, man
1634500	1638380	I I'm not joking when I say I literally fucking hate stream elements
1638940	1640940	I'm sorry
1640940	1642940	Oh, it's so confusing
1644060	1646060	Oh
1646340	1648340	No fuck
1648340	1655500	Please let me change the settings for the tips. I beg of you. Oh, okay, let's turn it up to 50
1657620	1659300	Lovely
1659300	1662180	Variations because yeah, I have one for 15 25
1663020	1665020	$6.09
1665460	1673420	420 like $4.26 like the things that are on my machine elements. So and then there's also a secret one
1674420	1676420	I
1677460	1679780	Do do do let me turn these all up though
1680820	1684540	My poor babies can't hear my beautiful mommy voice
1688260	1693340	But yeah, cuz my manager was explained like in straw knee we're like cuz I was like straw knee
1693340	1696780	How did you do all your alerts so my manager was helping me yesterday set up
1697780	1703980	The alerts and then I was recording stuff this morning because I thought it would just be funny cuz straw knee was like
1703980	1706580	Oh, yeah, you can do like variations and I was like, what?
1707460	1712580	Okay, you couldn't do that on stream labs. So I'm like word. Let's do it. Okay. Oh
1714300	1716300	I wonder if you guys can hear me AC
1720420	1722420	Oh
1723140	1727820	A giant ass be just flew into the window that just scared me
1730340	1734620	Yeah, so for like the first half of stream I always like to like not play a game or
1735380	1740740	Just like fuck around with my settings for an hour. That's you know, that's that's really professional, isn't it?
1742500	1744500	Yes, it's coming
