start	end	text
90000	92000	You
120000	122000	You
150000	152000	You
180000	182000	You
210000	212000	You
240000	242000	You
270000	272000	You
300000	302000	You
330000	332000	You
348000	350000	Lol
351680	354200	Hey, wait say something. Oh
354200	356200	Oh
359680	367600	You're not in here, why isn't it working? What if I unplugged this sometimes sometimes my goal XLR like transfers stuff really weirdly
372600	377320	Yeah, like you're yeah, you're my Tulpa nobody can hear
384640	388360	I'm sorry, you guys can't hear all the funny stuff that trinket is saying to me
390160	392160	Sometimes my goal XLR were transfer
393080	394520	stuff
394520	397820	Let me see. I just have to click through a bunch of crap and hope that it works
399600	401600	Start singing or something
414200	423360	Why I want it it doesn't want to pick that up hold on maybe if I go to properties
432800	436760	That was really good though, it was really good too, they'll never know oh
439800	442840	What if I do say something
444480	448400	Why doesn't it want to pick up on what?
452000	454000	Maybe that'll be a bummer
456720	462960	Just from Firefox. Oh, there it is there they go. Yeah, there you are. Okay. Let me turn you down a bit
464840	466840	PoE fixed
467880	469880	Harlots she's here
470320	479880	Curse collab never curse couldn't be us. We're so lucky everything works out for us
482520	488840	Only members can hear her voice. I would be interesting. She was spitting bars. You guys missed out
489560	492000	Let me pull up the smash or pass window
493200	495200	hell yeah, uh
496080	498560	Trinket is currently cooking up a mup itself
499880	502440	I am are you giving yourself a Scooby-Doo caller?
504240	506240	That's always been in the plans
507680	510520	Up always the jam. I love it
511440	517400	Because Scooby-Doo is well, he's not my first choice husband, but he's definitely like
517960	519960	on the list of
520160	523800	Cartoon characters that would be an automatic smash for me. Yeah
524440	526240	Yeah
526240	532000	But like if I take Scooby I have to take the rest of the the mystery game you understand I understand
532640	534000	because like
534000	539800	Actually, I was talking about this on Sunday because I've been on a real Omegaverse kick lately. Mm-hmm
540600	543600	And so I yeah, I sent me some of my diverse stuff
545320	551040	Because I've been recommended to it by in budding friendship, but I'm really enjoying it, but
552120	555720	In my mind, right? Mm-hmm in my mind
556240	559440	There is like this the Scooby-Doo game, right?
560080	562680	Chaggy is very much an alpha
564120	566120	And so and so is
566800	568480	Okay
568480	575920	Fred is a very beta male. Okay, but he's got Omega tendencies. All right
576960	578960	Daphne is a straight-up
579360	585640	Beta with Omega tendencies, but she's more like badass. All right, that's beta and then
586240	589200	Velma is nothing but pure Omega energy
590320	596680	Like Velma's been with everybody on the crew. Velma's just like the comfort creature in the mystery ink machine
601680	603680	I never would have thought of this like
607880	611760	If the gang or Omegaverse, that's you know
612600	619200	That's just that's just that's just how it goes. That's just how it be. I don't think I'm wrong. I
621200	628320	Think I'm more right than anything honestly. Yeah, Trinket's getting me into Omegaverse stuff. So blame her for anything
629280	634840	Like if madam she be starts calling you guys submissive and readable some of you might be Omega's
636360	640080	Well, it looks like I have some inappropriate stuff on my screen, but I promise I don't
641760	643480	You know
643480	649880	The whole stream is gonna be inappropriate, but you know pop offs pop off singular window. That's blurred pop off
652000	657000	It's from the the sucker punch stream, I know I was there
658880	660880	Yes, I know you were there I
661960	667000	Really like suck a sucker punch with all you guys. It was really good. Did you like it?
667000	671720	I mean, I was a little confused, but I see where it's going for yeah
672040	677920	Like it's um, it's like American McGee's Alice in Wonderland. Yeah
678800	683400	But like a little more a little more nuance. Mm-hmm
683960	687320	Like it's a it's a fantasy within a fantasy
689280	694440	Within a real situation that she's just dissociating the whole time with precisely
697360	699360	It's very oops, it's very
702280	706240	Frick did I accidentally smash the wooden version
707720	712480	So I'm so glad that that manlet didn't say her at the very oh, yeah
713400	720120	Anything that he wanted from the situation. Yeah Oscar Oscar Isaac got what was coming from blue
720120	725860	And then like and then he was a snitch at the very end. I know it was ridiculous
726500	729300	He's oh, he's so frustrating, but pretty
731420	735140	Like that the girls actually died that the orderlies kill them
735140	738300	I think the order that's what I was thinking about as I was falling asleep
739220	741220	after stream, I'm like
741380	743860	Because every time I watch the movie I like think of other
744500	748100	things like different like parallels and stuff and I'm like cuz
748860	754860	Doc the doctor never said that two other patients died. She just said she started a fire
755300	760020	And got let one escape some but I'm I still think that they died a hundred percent
760020	763700	You know, you know what could have happened because like and like insane
763700	767100	Asylums were so bad during the time period that I'm presuming this yeah
767100	772500	It looks like it was like the 50s or 60s or something like they might have died due to treatment
774500	780020	With their death by just giving it to an orderly because the orderlies would take patients away. Yeah
780580	782580	That's a good. That's a very
783180	785180	Good observe
785180	788740	Observation hundred percent. Sorry. I'm half asleep so I can barely form words
789540	792580	That's okay. I've got more than double words. I
794180	801320	Didn't do like the New York Times wordal bullshit, but like I'll I'll make up some I'll make up some nouns and some adjectives for you
801820	804260	A E I O U Y
804900	807940	Okay, W X nice
808620	810540	Fabulous
810540	816900	Maybe maybe is maybe a cue the maybe a cue a rare cue in there a rare cue
820660	822660	I'm barely following
824420	826420	All right
826420	831300	How are you going with your Muppet version we might we might transform to Muppets I
832220	836340	Guess I just got to do the one thing for the hair and then
837500	839500	Let's see
840540	844900	All I got to do is do my little pinkies little pinkies little pinkie poos
845540	849940	Yeah, my little pinkie poos it it makes it makes the look. I'm very fashionable
850220	853780	You always have to have a bit of pop, you know, I agree
856100	858100	Pull up my food you took
858980	861700	So I can just have my Muppet self next to me
862340	866140	Because there there is a Muppet, but it's of the monkey. Oh
866980	870420	Yeah, I'm Toma like how you call her the monkey
883940	886940	Ignore the random browser source on my screen
889140	891140	There we are
892140	895700	Wait, I'll have to go into
897500	900420	Flip it horizontally, I do have to flip it horizontally
902140	904540	Or we swap places because of the way that I
907740	909740	Looks like we're gonna have a great conversation
910460	914740	It's like my mic just constantly on in this call. What the hell I
915900	917900	Mean, there's a little bit of
918740	920740	Was it my fucking AC
