start	end	text
150000	152000	You
180000	182000	You
210000	212000	You
240000	242000	You
270000	272000	You
300000	302000	You
330000	332000	You
360000	362000	You
390000	392000	You
420000	422000	You
450000	452000	You
480000	482000	You
510000	512000	You
540000	560000	You
570000	596000	You
596000	598000	You
626000	652000	You
652000	654000	You
654000	656000	You
684000	686000	You
714000	716000	You
744000	770000	You
770000	782000	You
782000	784000	You
800000	826000	You
826000	838000	You
838000	840000	You
840000	852000	You
852000	868000	You
868000	880000	You
880000	882000	You
882000	892000	You
892000	894000	You
894000	896000	You
896000	898000	You
898000	900000	You
900000	903000	You
903000	905000	You
905000	907000	You
907000	909000	You
909000	912080	She's a scream of horror.
912080	912920	It's fine.
912920	915200	I'm going to get the carrot.
915200	918240	I'm not going to get the carrot.
918240	919720	Should we redo this level?
919720	920800	Yeah, you want to get the carrot?
920800	921760	I think it's past the portal.
921760	923800	We're going to try to get like the carrot.
923800	924720	All right, you're in front.
924720	928920	Don't kick me in the face.
928920	931000	OK, how do we get out of here without dropping?
934840	937080	I think, hold on, let me position myself.
937080	939040	I think I can kick you across.
939040	942440	Oh, shit, OK.
942440	943200	Just a moment.
943200	944880	Hold on, I'm almost there.
944880	947480	I'm so close.
947480	949400	OK, that's not going to work.
949400	950400	I need to flip.
953800	954600	It's fine.
954600	955280	It's fine.
959000	962120	I'm getting into position.
962120	965080	Yes, get into position.
965080	969680	Oh, damn it, that didn't work.
969680	972440	This is how I move around.
972440	973600	Did you want to do it again?
973600	976320	It's OK, we can try again.
976320	979080	All right, what if we just launch ourselves?
979080	981560	What if we just launch ourselves?
981560	982840	I'm going to.
982840	984040	What's happening?
984040	986520	Why are you planking?
986520	988320	I thought I was going to fall.
988320	992560	All right, what if I just got a scooch?
992560	994640	Nope, nope.
994640	995360	No, sorry.
998360	1002360	I'm so sorry.
1002360	1004760	Oh, I killed her.
1004760	1007760	I killed her.
1007760	1011760	I'm so sorry.
1011760	1014760	I hate you too.
1014760	1017760	Oh.
1017760	1019800	I'm an acrobat.
1019920	1022880	As you say, anything you say.
1022880	1024720	Yandere, queen.
1024720	1025400	Oh, wait, hold on.
1025400	1026400	Let me just.
1032400	1034880	It works.
1034880	1036480	All right, I believe in you, Marcy.
1036480	1037480	No, Marcy.
1041160	1041960	It's fine, it's fine.
1041960	1042960	Damn it.
1046160	1047160	Next level.
1047160	1049320	Sure.
1050120	1052720	It's only going to get harder from here, girly pop.
1052720	1054520	It's OK.
1054520	1056040	Yeah.
1056040	1057920	Yeah.
1057920	1060720	All right, it's a little gap.
1060720	1062640	All right, I think.
1062640	1066040	Oh, don't kill yourself.
1066040	1067880	OK, OK.
1067880	1068960	Can you?
1068960	1069400	All right.
1069400	1070760	How do I kick again?
1070760	1072000	Yeah.
1072000	1073360	Damn it.
1073360	1075360	You got to jump over that.
1075360	1077920	Nice.
1077920	1079080	You got this.
1079080	1080280	You got this.
1080280	1081040	You got this.
1083640	1084840	Oh, so carefully.
1084840	1087000	Do you remember how to grab?
1087000	1088600	I left a button.
1088600	1088920	Yes.
1088920	1090080	You got it.
1090080	1091960	Oh, yes, queen.
1091960	1093200	Flip to victory.
1093200	1094840	Oh, you did it.
1094840	1096920	Nice job.
1096920	1098560	Oh, my god.
1098560	1101480	Why does it say we didn't get the carrot?
1101480	1103480	It said I got the carrot.
1103480	1105120	Oh, I just don't count.
1105640	1107920	Yeah.
1107920	1109400	Is it behind us?
1109400	1109760	Sorry.
1109760	1110200	Pardon me.
1110200	1110680	Excuse me.
1110680	1111720	Pardon me.
1111720	1112760	It's not.
1112760	1114800	All right, it's fine.
1114800	1116960	Acrobatics, acrobatics, acrobatics.
1116960	1119920	Why am I holding on to you?
1119920	1122520	Because we need each other.
1122520	1124280	Yeah.
1124280	1126760	Imagine you could jump like this.
1126760	1127760	Let's see.
1131760	1132760	Mercy carry.
1132760	1134520	I don't think so.
1134560	1137560	No.
1137560	1139960	All right, we can also help each other over the gaps.
1139960	1140640	Hold on.
1140640	1142720	I'll be there shortly.
1142720	1144560	One moment.
1144560	1147520	If I flip.
1147520	1148320	There we go.
1148320	1149640	See, now we're a little bit longer,
1149640	1151560	so we can flip over the gap.
1151560	1152360	Oh.
1152360	1154840	Yeah, so you got to rotate.
1154840	1156600	Perfect.
1156600	1158000	We are speed.
1158000	1158520	I got you.
1158520	1159360	Don't worry.
1159360	1160800	We are speed.
1160800	1161480	We are.
1161480	1162240	Wait, where's the carrot?
1162240	1163080	Where's the carrot?
1163080	1163800	It's back there.
1163800	1164720	No, Mercy.
1170960	1172600	Is it level?
1172600	1174000	OK.
1174000	1175800	Mercy's like, I'm not even going to bother going
1175800	1178640	for the carrot.
1178640	1181160	What's that place?
1181160	1181560	I don't know.
1181560	1184200	Why don't you find out?
