start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	120000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	121000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
150000	151000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
180180	182440	჊Ⴡკვლოვსʀვჟოვოოლვ Ⴠლვუნლლლბლეე
185600	199400	ელვ჉ობვრრ ვლნბბ� hand
199400	205820	იომმჭლჴ ağჟჟნდვაყლましょう
205820	220600	ငေဲေ ဲေဲ်, ေံ်ိိှ 때� ာ့ဲွိီဪုiędzy ူေေျွြဍေေူူွ
220600	225120	ဵှဲ့ insanlar ူေေေ ဲဳေေᣨဪ းပာိေ collaborative
225120	229120	I fell asleep from ICStream, I did. I fell asleep to her ASMR.
229120	234120	I woke up momentarily because her redirect was strawny.
234120	239120	So I heard strawny's voice for a couple seconds and I took off my headphones because she was like...
249120	251120	I need to wake up.
252120	254120	I need to wake up.
255120	257120	I need to wake up.
260120	264120	My cats also are eating in the background.
269120	272120	I'll pretend that I don't hear anything.
275120	277120	Thank you.
279120	281120	You have with you to wake up.
281120	283120	I'll pretend that I don't hear anything.
311120	313120	I'll pretend that I don't hear anything.
341120	343120	I'll pretend that I don't hear anything.
371120	373120	Here is my donation of virginity.
375120	377120	Oh, I can hear myself.
377120	379120	Oh no, fuck.
379120	382120	Gross, gross, gross, I hate that.
383120	387120	It's because I went and after the last stream,
387120	390120	I tried fixing my microphone again.
390120	393120	But I guess it's still not good enough.
393120	396120	Alas, I give up.
397120	399120	I like...
399120	404120	Am I going to have to like get strawny in here or something?
404120	407120	Are we going to bring double sheebie?
407120	408120	No, no double sheebie.
408120	409120	Oh, Reina's here.
409120	410120	Hello, Reina.
410120	411120	What's up?
411120	415120	Oh, let me move my headphones so you can lay in your bed.
416120	418120	And Fia must be munching.
418120	422120	Oh my gosh, please don't knock over my drink on my own keyboard.
423120	429120	I usually just throw my headphones above my mic arm.
430120	434120	I'm not hearing double sheebie ads because I shut myself up real quick.
434120	437120	Because I was like, why is my desktop audio going crazy?
437120	442120	And I realized my thing was unmuted because I had been listening to myself,
442120	447120	fighting with my lovely AT2020 that I've had for over a decade.
447120	450120	You're the best microphone ever, baby girl.
451120	454120	But yeah, double sounds twice as good.
454120	458120	I remember my ASMR stream, I was double for like half the stream
458120	461120	and everybody was like, yeah, it was actually sounded okay.
461120	463120	And I'm like, what the fuck?
469120	471120	Reina, are you waking up?
471120	475120	Reina, I was also almost late because Reina was coughing up her ball.
475120	477120	My poor old lady.
478120	480120	Now she came out to snuggle with me.
480120	482120	So I was like watching her.
482120	484120	And then I'm like, oh fuck, I have to pee.
484120	486120	And I'm like, lady, are you okay?
486120	489120	And then I'm like, oh, oh.
490120	494120	Imagine having an ass in an AT2020 mic as opposed to a shirt.
494120	496120	Okay.
498120	500120	They cut, I thought it was fine.
500120	504120	Although what, do you want me to throw a shirt on my, my throne?
504120	507120	Do you want you guys want to drop $400?
507120	509120	Sure, go for it.
509120	511120	I don't think that'll fix my audio.
511120	515120	It's definitely more of a, what's it called?
515120	517120	Settings thing.
517120	519120	Because my AT2020 is fine.
519120	521120	I see only pokes fun at you.
521120	523120	I haven't heard a poke phone at the others yet.
523120	527120	It's because I, you said I have nice reactions.
527120	531120	And they are the only ones that I will allow that tease me, my girls,
531120	533120	because nobody else can tease me.
533120	534120	Or you will get caught.
534120	537120	I will come to your house and something will go up your butt.
537120	539120	It's not going to be nice.
539120	542120	It's probably going to go out of your mouth and then you'll pass away.
542120	544120	Haha, no, it's fine though.
544120	547120	I think your levels had steam percent to be fine for the mother should be cool.
547120	549120	Nice promise.
549120	551120	Yes.
551120	554120	Pinky swear promise.
557120	560120	Don't shame others of using other mics on the processing.
561120	563120	I could, you know, I could just be like,
563120	567120	for the first like month of being in calls with strongy,
567120	569120	she just had this gamer microphone.
569120	571120	She sounded like fucking Tyler one.
572120	574120	And I was funny as hell.
574120	576120	It was so good.
576120	578120	Yeah, keep you in line.
