start	end	text
0	2000	You
30000	32000	You
60000	62000	You
90000	92000	You
120000	122000	You
150000	152000	You
180000	182000	You
210000	212000	You
240000	242000	You
270000	272000	You
300000	324000	You
330480	333960	Is that some better there's an echo
339240	341240	What about now
351040	353040	Why am I so bad at this
360000	362000	You hear that
390000	392000	You
420000	422880	Okay
450000	467000	Okay, no more. No, you don't get it easy. We are getting rid of the AC. No AC for you.
467000	483000	If you're European, no AC for you. What do you like the AC? Why do you like the AC?
483000	491000	Okay, fine. I'll put it back. Okay, here it goes.
492000	496000	Oh my god, that's too loud. Holy shit. Okay.
499000	504000	We'll have it like a little...
504000	513000	You guys aren't going to be able to hear the AC anyways because I'm going to put rain sounds on. So like, what the hell?
513000	535000	I'm mad at the people who are going to make me help before you. No. Congrats on quitting. You're such a badass, but honestly, I wouldn't be able to do it if it wasn't for you.
536000	554000	It's because of all the members that I'm able to do this. So I won't give credit where it's due. Yes, if you don't know, I quit my job.
554000	559000	I just smacked my mouth against the mic.
562000	572000	My ear, my hands, my background, and 9 o'clock Eastern time is when my phone goes off, so my ears are red.
572000	583000	I quit my job. It was actually very, very hard. I will probably cry tomorrow morning.
584000	602000	Because, um, I think I'm supposed to cry, but it's because I've been there for almost six years, and...
603000	624000	Oh, goodbye AC, but I've been there for almost six years. It was probably one of the best jobs I ever had until the company started making some changes.
624000	637000	It was time to move on. I had outgrown everything, and I tried, you know, applying for a part-time position and a different part of my store, but it was time, it was time.
638000	647000	I wasn't a manager, but I was a temporary assistant manager for quite some time.
648000	657000	And you see, good this time in the background. Nothing else has changed. I kind of still have a sense.
662000	667000	I hope you have a good time at leverage of what you do.
668000	679000	But I actually started, like, the ASMR, ASMR portion, because I have this whole role-play planned out.
679000	693000	I'm not going to be reading any tonos or supas. You currently can't see any stream elements, tonos, or, and I turned off the words just so you can really immerse yourself.
693000	699000	I want to do, like, a very serious role-play for you, a little bit silly, but mostly serious.
699000	702000	I'm not going to go off the rails like I did last time.
705000	711000	But yeah, we're ourselves in the picture.
711000	718000	Yes, I have so many triggers next to me. Actually, I have to go cook it some more, but I love the other room.
718000	727000	So, let me do that again. I'm sorry. Okay, I can't keep whispering. Let me just turn myself down for a second.
728000	731000	Okay, I'm going to document this a bit.
732000	739000	But, like, lower. So, yeah, it's really hard.
739000	754000	I can't really express how difficult it is, even though it's...
756000	764000	So, before I make this up, I'm going to read the tonos, don't know how many words, but don't miss the stuff on YouTube, so if you want to do that, okay?
765000	770000	Turn myself up again? Okay, sorry.
774000	779000	Yeah, I don't know how that works. I know...
779000	789000	I know some people don't care about it at all, and some people like it right at the end.
789000	802000	Yeah, yeah, it's... My parents are, like, very supportive. I'm obviously generally surprised. Sorry if I hear booby in the background.
805000	808000	But, you know, we'll look for another job.
809000	813000	Guess what?
817000	826000	Health and strength. He doesn't even know how. He just, like, moors. He just goes, like, whew whew whew.
827000	837000	He doesn't open his mouth. He doesn't meow. Yeah, he mows. Yeah, he does. He does a lot of that.
839000	843000	Bring up his staring daggers at him right now.
853000	855000	Okay, he's ignoring me.
857000	861000	Let me see if I can do something.
862000	868000	Like, yeah, I just wanted to, oh my fucking god, rena, what the fuck are you doing?
869000	874000	She just, she just jumped up on my desk and started sniffing the microphone.
876000	882000	Basically, you just get a lot of chatting stream and great past and current don't knows.
887000	889000	What really?
892000	896000	Maybe. Do you think you'd be good part of her?
897000	899000	Possibly.
900000	904000	I mean, I guess we could probably do something.
905000	908000	She slipped down. She was, like, a little suspicious.
911000	917000	Okay, so I'm gonna get rid of, like, some of the noise that's going on.
918000	926000	It's getting deep off. I think it's, like, my neighbor's voice is going off.
926000	929000	It just has a popping noise.
938000	940000	Whoa.
941000	945000	Can you hear that? I don't know if you can.
946000	948000	Huh? Okay.
949000	951000	Now I see for you.
953000	955000	Oh my god, I'm so sorry.
958000	960000	Jesus fucking Christ.
960000	962000	I'm so sorry.
965000	970000	I know that this sounds the same on the 3D hotel.
971000	977000	But, um, bearing off like it went down is more, that's actually the good thing.
979000	980000	Louder.
981000	983000	This is literally my reason.
984000	989000	And then, like, the 3D picks up every little vibration.
989000	990000	Hortics.
991000	994000	And then I try to just always go, go, go.
