start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	120000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	121980	usted
123980	127300	sehen
136320	140280	oh my freaking god
140280	141980	hello
141980	143900	it's me
143900	146860	your favorite, madam
146860	149840	it's so nice to see everybody
149840	153040	Wow, so many beautiful faces in this crowd.
153040	156280	My heart is going doki doki.
156280	160080	Oh, so many well wishes.
160080	161080	What do I do?
163960	165680	We forgot monetization pose.
165680	166680	Let's fucking go.
167840	168680	Oh my god, my back hurts.
168680	169760	Hello, hi.
172880	175120	Hello, yes.
175120	178280	Oh god, that scared me, I just get so red.
178280	180640	Yeah, but I hope you guys are doing well.
180640	183840	I'm doing lovely, minus I randomly got a migraine
183840	187160	and I'm like, what the hell?
189480	191720	I just woke up from a nappy nap.
193560	195160	To hope, and I went away a little bit
195160	199560	because of the nap and I took some acetaminophen.
199560	202280	You know a little bit about acetaminophen.
202280	203880	I really great acetaminophen.
204720	208200	I'm so excited.
208200	213520	Being, getting monetization and being a YouTube partner
213520	217040	has been a goal of mine since I was a teenager
217040	219720	making really stupid videos on the internet
219720	222480	and it feels really good.
223560	225280	I'm just healing my inner child.
225280	229280	I was crying so hard yesterday, tears of joy
229280	232480	and I know like it might not mean a lot to some of you
232520	236280	when you're just like, oh, it's whatever, it's this, it's that.
236280	241160	It's the principle of just like a long-term goal of mine.
243480	247720	It's like a decade in the works, just like,
247720	251600	even if it's a small milestone, but I hit it
251600	254720	and it means so much to me.
256400	258560	Like I turn the background, you might hear them running around
258560	260720	and Fia stole Boomi's toy
260760	262760	and so Boomi's not really happy about that.
266760	269440	But we're gonna have, it's so funny.
269440	271640	Strawni messages me and she's like,
271640	274800	when are we gonna have monetization stream?
274800	277640	Am I, Strawni, I told you, I said it was Sunday
277640	281600	and I don't know if she saw like literally above
283120	285520	like her message was me saying,
285520	288480	I'm having my monetization stream Sunday.
288480	291640	She's like, when are we having your monetization stream
291640	293480	is the next message?
293480	298280	I'm like, I think she just like sent it
298280	300280	and she's just like, did it, did it, did it.
302000	304760	That was funny, but yes, we're gonna have it Sunday.
306360	307840	I'm gonna try to get my,
309840	311600	I'm gonna try to get my toes done tomorrow.
311600	316600	I need them like book an appointment at the place tomorrow.
316600	317920	I should probably do that ASAP.
317920	320160	I probably should have done that before I fell asleep
322120	323840	and then we'll do it Sunday.
323840	325960	We're gonna be doing, I'm gonna have,
325960	328360	I need to set up my camera.
328360	333280	We're gonna be having thigh slash footsie cam.
333280	336640	I don't know how I'm gonna point it like under my desk.
337960	339400	That's gonna be so weird.
339400	341800	I don't know if that'll be allowed.
341800	344480	I'll have to think of like where I can put it.
345560	347080	Put the camera.
348120	350960	Cause I don't think YouTube will take kindly
350960	354560	to me doing like an up skirt sort of thing.
354560	356400	I don't know.
356400	360280	And I have to find, I don't know what to do with my tripod.
361720	363920	And I don't know if my camera will reach.
363920	366480	But yeah, I'll figure, I'll do all that.
369320	374320	Yeah, it'll be at my normal time at 4 p.m. on Sunday.
378000	381520	And then I can't even remember what else was on the schedule.
381520	383280	But yeah, and so we're doing that.
383280	385640	And we're gonna be eating some Japanese snacks.
385640	389480	You know how hard it is for me not to,
389480	392440	I've been holding on to this box of the soccer box
392440	394640	for like since I debuted now.
395920	397360	Cause somebody got it off my throne.
397360	401720	Cause I'm like, oh, I want to do this for like a,
401720	404760	like a membership stream or just like a stream in general.
404760	407800	And then I'm like, ooh, is it actually good for that?
407800	410080	And so we'll be trying some Japanese snacks.
411120	412400	I'm very excited.
412400	414480	I am not as dexterous as my mother.
414480	419160	So as my momay, I still have the Tito's on my desk.
419160	421000	I look like a fucking alcoholic.
421000	422640	If somebody came in to be like, wow,
422640	423480	what the fuck?
423480	425280	I just have a giant bottle of Tito's.
427320	428160	What did you get?
428160	429000	I haven't opened it yet.
429000	430800	I have no idea what's in the box.
430800	432080	What's in the box?
433320	435000	And then the week after,
435000	436640	I want to do a membership stream
436680	439040	or rewatch master of disguise.
439040	441840	I don't know how like watch alongs work.
441840	443840	I've never done a watch along.
443840	446480	I don't even know like how I'll get the,
446480	448640	like where we'll watch it.
448640	449480	I don't know.
449480	450320	I'll figure it out.
