start	end	text
0	30000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ �
30000	60000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
60000	90000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
90000	120000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
120000	150000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
150000	180000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
180000	210000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
210000	240000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
240000	270000	ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლლ ლ�
270000	282000	I am here. I am here. O God, where is two of me. Oh God, there is an echo.
300000	319280	ᗲẛᗸᗿᗧ ᗲᗿ ᗲ ᗿ ᗳᗶ, ᗳᗶ ᗲ�
319280	322540	�쏍ᗷᗾᗹᗶ ᗧᗶ
322540	327160	ᗲᗿ ᗳᗶ ᗧᗿ
327160	329160	пᾗᾦᾑᾮᾔ� let lost
329160	331160	Alzheimer
331160	333160	Italy
333160	336440	sum
337240	346160	mbecause chewies
348480	349200	69
349560	350280	her
350280	352000	sp
355200	356820	불
356820	360820	Are you sure about this?
364820	366820	Hello.
367820	369820	What?
370820	372820	Is something the matter?
374820	376820	What's wrong?
378820	380820	What are you...
381820	384820	Guys, what's the matter? Everybody's freaking out.
384820	386820	Is something on my face?
391820	392820	Weird.
392820	394820	Anyways, how are you guys doing today?
401820	403820	That boob has a head? What?
404820	407820	What are you talking about? I'm looking at my model, I look fine.
408820	409820	I don't know.
415820	416820	Um...
419820	421820	Did you remember to tweet?
422820	424820	Yeah, I should do that.
429820	430820	So no head.
432820	433820	Smash his phone.
434820	435820	Am I okay?
436820	437820	I'm fine.
438820	439820	I'm great.
439820	441820	I'm having a great time.
441820	442820	I'm dressed real cute.
443820	445820	I'm wearing a t-shirt.
450820	454820	And my t-shirt says it's Necko or it's Heckno.
455820	458820	I bet if you google it you can see exactly what t-shirt I'm wearing.
460820	461820	Strony raid.
461820	462820	Ow!
463820	465820	Ow no! Hello!
465820	466820	Wait.
467820	469820	Wait, you guys missed my bit.
472820	475820	So, I was at... Do you guys um...
476820	479820	I have a really important question for you.
479820	481820	You guys want some head?
484820	486820	Cause I got you.
492820	495820	Yeah! Yeah, here it is.
495820	497820	There's the head.
498820	500820	Here's the head you ordered.
501820	503820	Is this not what you wanted?
504820	506820	See, this is my cover up for stream.
509820	511820	What do you mean it's cursed?
511820	512820	Mom!
513820	515820	Mother, you don't love me.
515820	516820	You did this to me.
516820	518820	You bathed me from your loins.
