start	end	text
0	7120	The routine of a desk jockey raises any thoughts of any pleasure or pain, leaving you only
7120	12560	with numbness and the slightest hint of hope that the only happiness to be found was higher
12560	15360	on the corporate ladder.
15360	19700	Chasing the sly, I transformed my desk into a dump for any tasks my peers couldn't be
19700	25360	bothered with, sucked up to the most vile excuses for people to ever wear a suit jacket,
25360	28920	and made a habit of replacing sleep with coffee.
28920	34240	I had given this company a piece of my soul, only to watch my boss give his daughter the
34240	37800	position I had dedicated all these years working towards.
37800	45120	I wanted to scream in his skull, I wanted to cry like a child, but I couldn't.
45120	51120	I had been completely hollow for years, but now I was at my lowest low, nothing more to
51120	58320	strive for, nothing more to work for, nothing more to live for.
58320	64480	I wandered the night in a daze of utter aimlessness, yet, after sinking into the dark, I soon found
64480	66480	myself bathed in light.
66480	71440	It was a woman whose opulent beauty contrasted my disheveled despair.
71440	74600	Why was it then that I had caught her attention?
74600	79440	Not of disgust or pity, but I was instead called to the front of the line in a queue
79440	82360	of some very important looking people.
82360	86720	Without a word, her eyes gave an invitation, and her smile brought me both comfort of her
86720	89760	presence and the courage to follow.
89760	94400	Before I knew it, I was tailing her like a child into a building I had no business being
94400	98080	in, yet one she had total command of.
98080	104160	Every respectable patron and worker there from the highest walks of life called her Queen,
104160	108400	and the nature of that level of respect also made her Queen to me.
108400	113040	She had said she had seen a familiar pain in me and spoke to me about an offer.
113040	117480	Not a new job, but a new lifestyle.
117480	122320	She had brought me to the VIP section of the building and had finally dawned on me, a fetish
122320	125040	club for the rich and powerful.
125040	130320	My work didn't even allow me time for dating, much less anything here.
130320	135080	My curiosity and fear were at odds, yet Queen was understanding and familiar with my flavor
135080	136640	of reluctance.
136640	140400	She believed we were kindred spirits, though I couldn't see it.
140400	144200	In display of influence, she contacted my work, securing me a paid leave in order to
144200	150280	stay in Wonderland with complete access to all of its faculties for a week free of charge.
150280	154640	At the end of my stay, I would have to give my answer to join her in this wild new life,
154640	157080	a return to mediocrity.
157080	160720	To say I enjoyed my stay was an understatement.
160720	164360	I was finally tasting what life's joys can offer.
164360	170600	After the hotel amenities, spa, bars, and 5 star buffet, my curiosity eventually turned
170600	172880	to the VIP lounge.
172880	175920	It was there where I found myself.
175920	179760	It was there where I found my answer.
179760	187680	The pleasure I had never even knew I desired, the pain I had no idea I needed, this is what
187680	191560	I deserved, I found it all here.
191560	197960	My body was subjected to sensations and punishments my deepest imagination could never conjure.
197960	201760	That was, until they had me dishing it out as well.
201760	206520	After getting just a taste of this life, I knew there was no way I could turn down Queen's
206520	207520	offer.
207520	210680	I was now bound to this place.
210680	214120	In my service to Wonderland, I had been transformed.
214120	216960	In bondage, I found my freedom.
216960	220160	Through pain, I knew pleasure.
220160	223040	Through submission, I had found my power.
223040	226720	Through domination, I had found my peace.
226720	231120	I became a premier worker whose services were demanded by the highest paying clients from
231120	232760	across the world.
232760	237480	Top execs, actors, even politicians would line up to get their fill of welts and rope
237480	238480	burn.
238480	243360	I had seen more money in the first month than I'd ever seen in a year of office work.
243360	248160	My newfound command over the sins of the flesh gained me respect of peers as well as Queen
248160	249360	herself.
249360	254560	We had grown close, a bit more than professionally.
254560	259920	Despite this, even I had no idea what was to come.
259920	265080	She never wanted us to worry, so she never told anyone of her condition, and it struck
265080	268880	her hearts like a bolt of lightning when the time came.
268880	274280	When she passed, the city itself seemed to stand still in respect.
274280	280280	She had left behind a golden legacy as a saint of whips and gags, a woman who allowed those
280280	285480	scorned by the pursuit of happiness to regain their sense of passion and power.
285480	290520	She saw that need in me as well as my talent for it, and so did the others.
290520	296000	So when she willed her entire empire to me, there were no objections.
296000	301720	Thanks to her, I have attained a sense of power and family that I could have never imagined.
301720	307760	I will make sure that Wonderland will always be a safe haven for the rejected and the hopeless.
307760	313880	So if you feel trapped, finding yourself in a life of all pain and no pleasure, why not
313880	315800	stop by a little while?
315800	317160	I can help you find both.
