start	end	text
0	9080	I don't even know if you guys can hear the music.
9080	18280	Alright, I'm back, I'm back even though I got back home earlier than I thought I would.
18280	22720	Thank you guys for your understanding, I'm sorry I had to cut the stream I started initially
22720	28840	short but everything's okay now, everything's good, everybody's good and safe and fine,
28840	35200	I need a tweet, cause I always forget to tweet.
35200	41640	Sorry, hey I was watching that, that just killed me a little bit, hey I was watching
41640	43200	that.
43200	49960	So I had Bulldog Ramen the other day, well like yesterday and my asshole was on fire,
49960	56480	I'm sorry I had to tell you, I just thought you'd like to know you know, so I'm sitting
56480	66960	on an ice cube and hoping for the best, hoping that I won't die, it was so delicious though
66960	80200	so worth it, can I fire a napalm, probably, so you can show us your, hey Oshiba you hope
80200	85800	everything is returning to normal so that you can show us your alpha side, and by the
85800	88560	way don't have to postpone if you choose your sentence, I understand, well thank you, it's
88560	94840	okay now, so silly family stuff that honestly has nothing to do with me but I'm just there
94840	101240	to support in case, again my family is fine, I'm fine, I'm trying to get my fucking headphones
101240	113200	on, oh my gosh, this wire is too short, off this satin water, that's what I get for sitting
113200	119080	on an ice cube, these are my bucks cool man, am I allowed to talk about this, this is already
119080	128040	gone, the thing is already demonetized, whatever, we out here having a great time on this lovely
128040	142400	July evening, good morning, good night, good afternoon, I'm your host Shibi, butt is on
142400	167760	firebomb, I should have said Shibi firebomb but it's fine, okay, I'm alive, whoa, oh god
167760	175240	I can hear myself, can you guys hear me, is it an echo, I just wanted to be able to monitor
175240	187200	my sound, I can hear myself and now there's two of me, two of me, two of me, I'm on a tin
187200	196160	can, whoa that's demonetized, I'm cutting this out, I'm cutting this, the VOD's new,
196560	208800	branding the street now, it ain't a Shibi stream without a little scuff, well of course
208800	224040	this is a great game, you guys hear the music, Shibi bottom fire, that's me, this game looks
224040	229320	wild as fuck because you're right, we're in the wild west baby, I'm just kidding I don't
229320	237080	know, I forget what this takes place in Yellowstone, takes place in the wild Midwest baby, I don't
237080	262000	remember, American school system failed me, kinda, okay I'll turn it up to them, oh, how many
262000	268120	cubs do you cook in, we're gonna have so many cubs, again all the cubs, we're cub maxing the
268120	290040	stream, I hate my life, try to think the only thing about these IEMs is that I can't, like it has
290040	294280	a thing where it should let me turn down the volume with them but it's not letting me do that so
294280	304600	I'm just gonna take one ear out, otherwise I can't hear anything, cub maxing, better call Icy, oh my
304600	315480	god, alright, zitter, let's me tweet, honestly I almost don't feel like tweeting because I'm like if
315480	330440	you know you know, if you know you know, okay we back, I don't know if I could put a link in a
330440	340840	quote tweet but Twitter algorithm is fucking weird as hell, and earlier, we're back earlier,
341640	352320	yeah I initially said six but I realized I was gonna be back sooner, please let me retweet my own
352320	372240	post, thank you, oh my god, okay, so the game might be a little bit laggy because this in my
372240	376800	model just don't play nice, well Quest is kind of notorious for that, it's like one of those games
376800	382160	it just like takes up way too much power than it actually needs to be because it's like a decade
382240	389120	old and it doesn't make any sense, is this considered a retro game, oh god, that just makes me feel bad
396480	405280	furry, shut up Nori, shut up, I love you though, that's my girl Noriko
405600	412160	she probably hates being pointed out now, she doesn't know that I gave her mod
414080	415040	when she wasn't around
423760	428480	she's drawing some very beautiful art of me, am I okay, oh I'm fine, I'm fine, it's just family
428480	433120	stuff but everybody like my immediate family is fine, we're good, we're good, we're good, we're good,
433200	434240	I think I'll help my mom or something
442880	450080	where's mountain lion quest, that would be, oh my god, what was that game, oh my god, it was made
450080	456400	by this character called, this person called Kobu and it was like literally like lion simulator
456400	462560	and you can like do some really wacky, oh my god, it's like two hearts, oh my god, it's gonna
462560	466960	bother me but I might play that too at some point, I'm just gonna like, I'm just gonna, I'm just gonna
466960	474480	furry max, I'm gonna weasel my way into the furry community, honestly some of the furry models
474480	479920	that I've seen are really freaking cute, I think I saw her a bunny one or like a cat one or a dog
479920	487120	one and I'm like that's actually adorable but it was like Moe, you know, it was cute, she means
487120	498800	becoming a furry, that's the thing, I was always a furry though, I'm always angry, no I'm not a
498800	506480	furry, I do, I do admire the art though, I'm not really into that, like I, I'm trying to think
506480	511520	did I draw, no I only drew like, I never drew like anthropomorphic animals, I only drew like cat
511520	519600	girls or just cats, I never like a combination of like going even deeper in it, she be furry bum,
520240	526080	furry affiliate, oh yeah, no there's definitely, who are all the bunnies furries, I don't know,
527200	533680	ask, ask, I don't know, hey man, does werewolf not count as a furry, I think that's its own thing,
535920	538880	I respect furries a lot because it's not a chief hobby, honestly same
539680	545920	and they make a lot of bank, okay if you, if you complain that my model lags, I'm gonna punch you,
545920	551600	I don't care, it's gonna lag, my computer's old, I built it in 2017, leave me alone,
552640	557760	yes, could a veeler bought me a computer, yeah but I didn't want to ask because I'd rather the
557760	566640	money go towards something else, all right new game, um, I want to modify a wolf,
567760	573040	wait, yeah we're gonna create a wolf, if it loads in, I don't,
578480	579280	it just crashed,
588320	594160	should I, am I have to turn into like a fucking PNG to play this, I love this game, I do,
596080	601600	it's, it's close to my heart, but it just crashed, oh look there's two of me, hi,
604560	616720	attempt number two, are you hypnotized, are you hypnotized, are you entertained, are you feeling it,
617680	618720	shot of close jutsu,
621520	625200	this should be head incident part two, okay is it gonna go back to wolf quest,
629040	631760	police, oh no they'll make it that,
634480	640560	there we go, perfect, okay let's turn down the game settings even more, we're gonna put them at
641440	656640	fast, what fastest, perfect, everything is so, okay okay wait so this is the fastest version
657280	660000	and then this is the stupendous version,
663200	666000	it's actually quite pretty but my model can't move at all,
671040	680800	so we're going to be playing like this, I have, yeah I have a 10 to 70s so
682560	686640	I kind of like how ganky it looks because this is how I remember it, it looked like this,
687840	692320	the grass was barely there, it was a texture on the ground, the trees were barely loaded in,
693280	696160	actually hold on am I, I'm moving fine, what if I do,
697120	702960	about fast, just so we can have, that looks a little bit better, that looks a little bit better,
702960	707680	now we have some actual grass, so let's do, let's do a new game, create new wolf,
708400	713280	see oh it's working, we're good, oh my god girl we need to get you a better pc,
714240	721680	I will, don't worry I will eventually, I just want to, I have more things I want to do before I
721680	730640	get a pc, I have paying off my debt first, I need to pay off my credit card and then I will get a pc,
732560	737360	then I will put it on that credit card, get the points for it and then pay it off again because
737360	743200	I am a, I'm a smart bunny, madam and debt, madam is, I was about to say the amount of debt,
744800	746480	I don't really count school loans,
752640	756240	it's fine, I'm not going to say because then someone's going to start like donating shit and
756240	762800	I know that's not why I'm, I would bring it up, okay so I have, ooh life is rough pack,
765120	769280	cutie Cinderella, oh my god that's such a pretty wolf, I have to buy the dlc,
771760	778080	her name is 42f Cinderella but it's fine, white lady, that's what I am right now, I'm a white lady,
778640	789360	pretty, these are actual wolves, I actually, it's funny because I, I love like learning
789360	794080	about Yellowstone and stuff so I recognize some of these names because I remember I would,
794080	799120	when I used to be a wolf role player, I was an avid wolf role player on WolfQuest and on like
799120	807920	wiki foundry, aka wet paint and all that shit, we would take the photos from like the famous
807920	811280	wolf pictures and like that would be our OC, like this is my wolf character,
813440	818480	so it's funny that I, like the, the founder ones I recognize, it's just, it's just because I was
818480	823440	just such a, I just really liked wolves because I liked their pack mentality, like the family,
823440	829360	what happened to him, life is rough pack, oh he just has freaking mange, I don't want that,
830080	836800	it's kind of badass, as long as you don't sleep with the fishes, I was a lone wolf in the game,
836800	844240	related wolf, what, you know cats, does it entail like normal death, wolf looks like ice,
844240	850320	yeah she's the white one that did, if, if icy was a wolf, she would be this one, this would be her,
850400	861760	it's so cute, um I, so there's different pack types and there's different um coat types because
862400	869680	wolves come in a variety of coat colors, um I like this one because it looks like me,
869680	878080	because we are both like blondish, why is this one named Brad Pitt, hold on let me move myself over
