start	end	text
0	5520	It's weird being in voice chat and not being allowed to spell all the secrets of what I've got planned.
5520	7040	Oh no, it's starting!
7040	7760	It's starting!
7760	8560	It's starting!
9280	9920	Here, here.
10640	12320	Oh, so excited.
12320	13840	Did it just pause? It says three.
16480	17440	Yeah, it's supposed to.
19680	20400	Uh-oh.
20400	20800	Oh no!
22720	24160	Oh, oh, okay.
25360	26000	Oh, wait.
26720	29040	Technical difficulties, it's fine lives, it's fine, Luna.
29120	30160	It's fine, it's fine, it's fine.
34640	36000	They're so cute, I can't.
39040	40160	Wait, I'm gonna unmute.
40160	46080	I just realized I've not got desktop audio in their split, so I can't hear the streaming you guys can.
48560	50160	How did you guys split the audio?
50160	52160	I've got you guys captured via desktop.
53360	56640	Oh, you have to, you have to make, um, what's it called?
57360	58000	A split.
58640	61360	Yeah, you guys split in OBS so you can do it.
61360	62240	Yeah, that's what I did.
62240	63440	I have two tips.
63440	65680	I have my headset and my IEMs right now.
67440	68640	Oh no.
68640	69440	I hear them.
71920	75200	I've bowled this watch a long time ago, that's all I can say so far.
83120	86960	I'll mute it once they finish their intro.
88000	94960	Oh.
101440	102000	Hello.
104720	105280	Gushy.
105920	106960	Gushy.
106960	107280	Right.
107280	107920	Gushy.
108720	109440	Gishy, Gishy.
110560	113600	I'm like, I got two things she could gush on right here.
118880	121440	Oh, everyone says it's very sweet.
121440	122800	They helped with the watch along.
122800	124480	I know they're helping them with a big concert.
125200	125760	Yeah.
125760	128640	Hey, man, you scratch our back, we scratch yours.
128640	130560	That's how we do it from around these parts.
138560	140000	Mimosa's a good singer.
141040	141360	Yeah.
142320	144240	Dude, Mimosa's so talented.
144240	144800	She is.
145360	147760	I actually got them lungs on her just hiding.
147760	149120	You wouldn't realize.
149120	150560	Don't be fooled by the outfit.
150560	151680	There's lungs under this.
151680	152160	I know.
160640	161760	Damn.
175760	177840	Her model's so bouncy.
178640	179040	It is.
179040	179760	I love that.
187520	188880	I love the way eyelashes.
188880	192320	I know it's not a V-tube or mainstream, but I know.
192320	194080	I was just like strawberries.
194080	195040	I want to eat them.
196400	197920	The flowers in her ears.
197920	198480	I just let's.
199920	200880	It's a different place.
200880	201840	So nice.
205520	210880	Oh, the breadsticks in chat.
211920	212160	Oh.
221920	223120	I like her custom mic.
224720	225600	I didn't even notice.
225600	227440	Oh, it's really cool.
228640	230960	God, I was talking about customized assets today,
230960	232800	and I was like, I never got girls anything.
233760	234160	It was OK.
234960	237920	I was just like, that was, it sounds terrible.
237920	239680	I was like, if I'm not going to use it,
239680	241120	I'm not giving it to them.
242640	245680	Because I showed my end in screen for like the first time
245680	248400	and literally since debut, I showed my end in screen
248400	249360	and everyone was laughing.
252960	254800	Why do you hate the ending screen so much?
255920	258080	I just ends.
258080	259280	She just leaves.
259280	260560	I don't like heart screams.
260560	262400	Literally, if you open up one of my boards,
262480	267520	I'm just like, I don't know.
267520	269120	I literally spent so much money on it.
270320	271440	I just never use the thing.
271440	272800	I've never even seen the stingers.
272800	274320	I never even used stingers on debut.
274320	275680	That's so much I hate them as well.
275680	276880	So I'm showing them the debut.
280320	281680	God, this is fantastic.
282080	285440	This is beyond my expectations.
286400	287840	Mom, this is amazing.
287840	290160	She's like an amazing, amazing singer.
290880	292400	Multi, multi, multi-talented.
293200	294000	Extremely.
294640	295520	Things, streams.
298080	299760	Freaking makes all her own charts as well.
300640	301120	Thumbnails.
302000	302480	You name it.
302480	302960	She does it.
303520	304320	She does them all.
304960	306160	You didn't know she sings.
306800	308880	Well, I'm supposed to keep up with everyone's talents
308880	311200	and the VTuber roster that I'm not aware of.
311200	312320	That's what I thought we'd be from.
313920	316560	You're not constantly stalking when most is channeling me.
317520	319440	Well, that's why I'm supposed to know absolutely everything
319440	323600	about every other VTuber that's been kind enough
323600	324400	to interact with me.
324400	324800	That's right.
324800	326240	You're done for a reason bend over.
328960	329840	Prepare yourself.
332640	333200	What was it?
333200	333680	Tyler.
333680	334240	Hello, everybody.
334240	334880	Hi, Harold.
335600	336800	Something is in my eye.
338320	338800	My eye.
341840	343440	Well, we have a peak refunds.
347080	348960	So I'm surfing the teeth.
348960	350240	Anyone can hear that?
350880	351360	No, I don't.
357520	358000	OK.
359840	360400	Meru!
360640	362080	freak A1 your custom microphone.
364000	367440	Oh, my gosh.
374800	375200	Oh, she's insane.
375200	381200	Oh my god, duet!
381200	386440	Oh my god, how long is this concert?
386440	388640	That is like some built-in and pre-pro-new-
388640	392720	I'm like generally so impressed with the most of his voice in Burroughs.
392720	393720	Me too!
393720	395720	I wish I could speak Japanese!
395720	399720	Imagine us up there.
399720	400720	Konichiwawa.
400720	401720	Konichiwawa.
402720	403720	Konichiwawa.
411720	413720	I forget singing in English.
413720	416720	I can even imagine singing in a different language.
416720	417720	Exactly.
420720	424720	I think we got to get some Japanese speakers for Gen 2, mommy.
425720	427720	We're being influenced live.
427720	429720	You heard it here, folks.
431720	434720	I saw what you tweeted, Chibi.
434720	435720	I don't think I didn't see it.
435720	438720	She went on Twitter and she tweeted a sling girl.
438720	440720	Aw, don't look at me.
440720	442720	I'm not doing nothing.
442720	444720	I freaking saw it.
444720	448720	I'm just slowly just putting it into your mind.
448720	454720	I will get you a Halloween variation outfit of you as a sling girl.
454720	455720	Absolutely.
455720	456720	Yeah?
456720	457720	All yours.
457720	460720	I'm not having an actual sling girl.
460720	461720	All yours.
461720	462720	Yeah!
462720	464720	I'm giving the sling girl!
464720	465720	Yes.
465720	466720	All right.
466720	467720	I'll settle.
467720	468720	I'll settle for that.
468720	469720	I'm the sling girl.
469720	470720	We've defeated the sling allegation.
470720	471720	Yeah!
471720	472720	I'm so...
472720	473720	I'm trying not to scream.
473720	476720	I'm trying to focus on the thing because I'm about to get real giddy.
476720	477720	Things are jiggling on screen.
477720	481720	I don't know if what you guys are looking at, but things are jiggling to me.
481720	486720	Two things are jiggling.
486720	494720	Slime bunny girl, like from Queen's Blade, precisely.
494720	497720	A cotton bum family member is going to be the slime girl.
497720	501720	I'll have to think about that.
501720	502720	Sublime.
502720	503720	She's slimy.
503720	504720	What are you doing?
504720	505720	Shebeth the Slime.
505720	506720	Shebeth the Slime.
506720	507720	Oh my god.
507720	509720	Look at her little freaking...
509720	513720	Look at her little pony tails, Bob.
513720	514720	Yaeli.
514720	517720	Yaeli fish ribbons as well, like the translucent.
517720	519720	Such a good design.
519720	522720	Unfortunately, it's my turn to sing.
522720	523720	Hold on.
523720	524720	Let me get my pen lights out.
524720	525720	No!
525720	530720	No eye moner.
530720	532720	Should we get eye trackers?
532720	533720	I'll do that.
533720	538720	I'll give every girl an eye tracker and we'll watch the most devious videos and stuff.
538720	548720	And then we'll see who's got like 93% pervert rate.
548720	549720	Why is Mamosa so good?
549720	558720	Mamosa, why is Mero so good?
558720	562720	Did they die?
562720	565720	Oh, discord crashed.
565720	567720	Sorry, I died.
567720	582720	I'm asking Mero if she wants to go up on stage because she's watching this.
582720	586720	I think her makes fucking dying.
586720	592720	Yeah, we can't really hear you.
592720	596720	Azura, are you alive?
596720	597720	I'm fine.
597720	598720	I'm fine.
598720	599720	I'll take that.
599720	600720	She's so excited.
600720	602720	She's so, so excited to get on stage.
602720	603720	She just ran away.
603720	608720	She's like at the thought, at the concert.
608720	611720	Let me get two pen lights out.
611720	612720	I don't have different colors.
612720	613720	I only have blue.
613720	617720	I have so many questions for them about how long this took.
617720	618720	This is insane.
618720	619720	I know.
620720	627720	They should just like take the soundtracks here and just post them as song covers too.
627720	628720	Honestly, that's a smart idea.
628720	629720	I think they should.
629720	631720	I think they will.
631720	632720	You think they will?
632720	633720	I hope so.
633720	634720	Because it's really good.
634720	636720	They shouldn't just leave it here on the stream.
636720	640720	I want full song covers.
640720	643720	Let us hear your lungs.
643720	646720	This tiny jellyfish got lungs on her too.
646720	648720	God dang.
648720	660720	Azura is singing along to it.
660720	663720	I think that's why she's muted.
663720	664720	Damn.
664720	674720	That's where you're not beating the weave allegations.
674720	679720	This concert is epic.
679720	680720	Literally.
680720	682720	I had no idea what to expect.
682720	685720	I've never actually sat through it.
685720	693720	This is so cool.
693720	696720	Uncle, give us another mate.
696720	699720	I don't know why this creature is dying for me.
699720	701720	It's hard to know.
701720	703720	I'm just so surprised at the stage.
703720	708720	All the assets.
708720	712720	The light show.
712720	713720	It's really pretty.
713720	715720	Mara is so cute.
715720	721720	She is.
721720	724720	This is so cool.
724720	727720	She has her tentacles bounce.
727720	730720	Is Azura's mute at the audio?
730720	732720	She's going to get coffee.
732720	737720	I mean.
737720	743720	The reminder not to play the audio of the stream.
743720	745720	On stream.
745720	750720	Question of those headlights being held up by my arms.
750720	760720	Oh, this goes hard.
760720	767720	Got a different vibe.
767720	772720	If I'm he started singing in Japanese, I would have absolutely lost my mind.
772720	776720	Wait, is she about to?
776720	782720	I think this is an English cover.
782720	785720	If you guys had to sing a song for a concert, what would you sing?
785720	786720	That's my question.
786720	791720	I would rap something ridiculous.
791720	805720	ABC's.
805720	814720	Sing five bars, five seconds.
814720	817720	Two in your mom live edition.
817720	823720	Why does this court keep shitting the bed?
823720	826720	Lincoln Park calling you.
826720	828720	There you go.
828720	830720	I streamed a fish.
830720	832720	I probably do American.
832720	844720	I like green.
844720	845720	Okay.
845720	847720	I may go off.
847720	848720	Hit him.
848720	849720	Hit him.
849720	850720	Hit him.
850720	851720	Hit him.
851720	853720	Hey, don't hurt him now.
853720	857720	Kill him.
857720	870720	That's so cool.
870720	878720	Oh, no, she's hot.
878720	887720	I just set the ambiance.
887720	888720	Feel that music.
888720	896720	Feel them tunes.
896720	897720	I saw it.
897720	898720	I saw it.
898720	899720	Execute me.
899720	900720	I me.
900720	906720	I don't know if you guys have ever played Alice Madness Returns, but when you get low health,
906720	912720	you enter a state of hysteria and you unlock a different version like to your look.
912720	917720	And this I me is like completely making me want to play Alice Madness Returns right now.
917720	918720	That's a great game.
918720	919720	I've heard of that game.
919720	921720	I want to play it too.
921720	922720	Oh, I recommend.
922720	923720	I me darkness way.
923720	924720	Yeah.
924720	926720	I me darkness dementia way.
926720	928720	Just like my immortal.
928720	931720	I love her mic too.
931720	933720	All the song choices are really good too.
933720	935720	They're all catchy.
935720	945720	I'm in.
945720	955720	Oh, shit.
955720	961720	Execution.
961720	972720	I'm too more to add them to the rest.
972720	973720	Three.
973720	974720	Whoa.
974720	977720	They're all singing together.
977720	980720	Are there songs that support this?
980720	982720	What is it?
982720	985720	Oh, wait.
985720	987720	This is crazy.
987720	1004720	It's not just like one solo song or do it.
1004720	1009720	Let's go.
1009720	1014720	Oh my gosh.
1014720	1015720	Okay.
