start	end	text
0	7000	.
7000	10000	.
10000	13000	.
13000	16000	.
16000	19000	.
19000	22000	.
22000	26000	.
26000	31000	.
31000	36000	.
36000	41000	.
41000	46000	.
46000	51000	.
51000	56000	.
56000	61000	.
61000	66000	.
66000	71000	.
71000	76000	.
76000	81000	.
81000	86000	.
86000	91000	.
91000	96000	.
96000	101000	.
101000	106000	.
106000	111000	.
111000	116000	.
116000	121000	.
121000	126000	.
126000	131000	.
131000	136000	.
136000	141000	.
141000	145000	.
145000	149000	.
149000	153000	.
153000	158000	.
158000	163000	.
163000	168000	.
168000	173000	.
173000	178000	.
178000	182000	.
182000	187000	.
187000	192000	.
192000	197000	.
197000	202000	.
202000	207000	.
207000	212000	.
212000	217000	.
217000	222000	.
222000	227000	.
227000	232000	.
232000	237000	.
237000	242000	.
242000	247000	.
247000	252000	.
252000	257000	.
257000	261000	.
261000	266000	.
266000	271000	.
271000	276000	.
276000	281000	.
281000	286000	.
286000	291000	.
291000	296000	.
296000	301000	.
301000	306000	.
306000	311000	.
311000	316000	.
316000	321000	.
321000	326000	.
326000	331000	.
331000	336000	.
336000	341000	.
341000	346000	.
346000	351000	.
351000	356000	.
356000	361000	.
361000	366000	.
366000	371000	.
371000	376000	.
376000	381000	.
381000	386000	.
386000	391000	.
391000	396000	.
396000	401000	.
401000	406000	.
406000	411000	.
411000	416000	.
416000	421000	.
421000	426000	.
426000	431000	.
431000	436000	.
436000	441000	.
441000	446000	.
446000	451000	.
451000	456000	.
456000	461000	.
461000	466000	.
466000	471000	.
471000	476000	.
476000	481000	.
481000	486000	.
486000	491000	.
491000	496000	.
496000	501000	.
501000	506000	.
506000	511000	.
511000	516000	.
516000	521000	.
521000	526000	.
526000	531000	.
531000	536000	.
536000	541000	.
541000	546000	.
546000	551000	.
551000	556000	.
556000	561000	.
561000	566000	.
566000	571000	.
571000	576000	.
576000	581000	.
581000	586000	.
586000	591000	.
591000	596000	.
596000	601000	.
601000	606000	.
606000	611000	.
611000	616000	.
616000	621000	.
621000	626000	.
626000	631000	.
631000	636000	.
636000	641000	.
641000	646000	.
646000	651000	.
651000	656000	.
656000	661000	.
661000	665000	.
665000	670000	.
670000	675000	.
675000	680000	.
680000	685000	.
685000	690000	.
690000	695000	.
695000	700000	.
700000	705000	.
705000	710000	.
710000	715000	.
715000	720000	.
720000	725000	.
725000	730000	.
730000	735000	.
735000	740000	.
740000	745000	.
745000	750000	.
750000	755000	.
755000	760000	.
760000	765000	.
765000	770000	.
770000	775000	.
775000	780000	.
780000	785000	.
785000	790000	.
790000	795000	.
795000	800000	.
800000	805000	.
805000	810000	.
810000	815000	.
815000	820000	.
820000	825000	.
825000	830000	.
830000	835000	.
835000	840000	.
840000	845000	.
845000	850000	.
850000	855000	.
855000	860000	.
860000	865000	.
865000	870000	.
870000	875000	.
875000	880000	.
880000	885000	.
885000	890000	.
890000	895000	.
895000	900000	.
900000	905000	.
905000	910000	.
910000	915000	.
915000	920000	.
920000	925000	.
925000	930000	.
930000	935000	.
935000	940000	.
940000	945000	.
945000	950000	.
950000	955000	.
955000	960000	.
960000	965000	.
965000	970000	.
970000	975000	.
975000	980000	.
980000	985000	.
985000	990000	.
990000	995000	.
995000	1000000	.
1000000	1005000	.
1005000	1010000	.
1010000	1015000	.
1015000	1020000	.
1020000	1025000	.
1025000	1030000	.
1030000	1035000	.
1035000	1040000	.
1040000	1045000	.
1045000	1050000	.
1050000	1055000	.
1055000	1060000	.
1060000	1065000	.
1065000	1070000	.
1070000	1075000	.
1075000	1080000	.
1080000	1085000	.
1085000	1090000	.
1090000	1095000	.
1095000	1100000	.
1100000	1105000	.
1105000	1110000	.
1110000	1115000	.
1115000	1120000	.
1120000	1125000	.
1125000	1130000	.
1130000	1135000	.
1135000	1140000	.
1140000	1145000	.
1145000	1150000	.
1150000	1155000	.
1155000	1160000	.
1160000	1165000	.
1165000	1170000	.
1170000	1175000	.
1175000	1180000	.
1180000	1185000	.
1185000	1190000	.
1190000	1195000	.
1195000	1200000	.
1200000	1205000	.
1205000	1210000	.
1210000	1215000	.
1215000	1220000	.
1220000	1225000	.
1225000	1230000	.
1230000	1235000	.
1235000	1240000	.
1240000	1245000	.
1245000	1250000	.
1250000	1255000	.
1255000	1260000	.
1260000	1265000	.
1265000	1270000	.
1270000	1275000	.
1275000	1280000	.
1280000	1285000	.
1285000	1290000	.
1290000	1295000	.
1295000	1300000	.
1300000	1305000	.
1305000	1310000	.
1310000	1315000	.
1315000	1320000	.
1320000	1325000	.
1325000	1330000	.
1330000	1335000	.
1335000	1340000	.
1340000	1345000	.
1345000	1350000	.
1350000	1355000	.
1355000	1360000	.
1360000	1365000	.
1365000	1370000	.
1370000	1375000	.
1375000	1380000	.
1380000	1385000	.
1385000	1390000	.
1390000	1395000	.
1395000	1400000	.
1400000	1405000	.
1405000	1410000	.
1410000	1415000	.
1415000	1420000	.
1420000	1425000	.
1425000	1430000	.
1430000	1435000	.
1435000	1440000	.
1440000	1445000	.
1445000	1450000	.
1450000	1455000	.
1455000	1460000	.
1460000	1465000	.
1465000	1470000	.
1470000	1475000	.
1475000	1480000	.
1480000	1485000	.
1485000	1490000	.
1490000	1495000	.
1495000	1500000	.
1500000	1505000	.
1505000	1510000	.
1510000	1515000	.
1515000	1520000	.
1520000	1525000	.
1525000	1530000	.
1530000	1535000	.
1535000	1540000	.
1540000	1545000	.
1545000	1550000	.
1550000	1555000	.
1555000	1560000	.
1560000	1565000	.
1565000	1570000	.
1570000	1575000	.
1575000	1580000	.
1580000	1585000	.
1585000	1590000	.
1590000	1595000	.
1595000	1600000	.
1600000	1605000	.
1605000	1610000	.
1610000	1615000	.
1615000	1620000	.
1620000	1625000	.
1625000	1630000	.
1630000	1635000	.
1635000	1640000	.
1640000	1645000	.
1645000	1650000	.
1650000	1655000	.
1655000	1660000	.
1660000	1665000	.
1665000	1670000	.
1670000	1675000	.
1675000	1680000	.
1680000	1685000	.
1685000	1690000	.
1690000	1695000	.
1695000	1700000	.
1700000	1705000	.
1705000	1710000	.
1710000	1715000	.
1715000	1720000	.
1720000	1725000	.
1725000	1730000	.
1730000	1735000	.
1735000	1740000	.
1740000	1745000	.
1745000	1750000	.
1750000	1755000	.
1755000	1760000	.
1760000	1765000	.
1765000	1770000	.
1770000	1775000	.
1775000	1780000	.
1780000	1785000	.
1785000	1790000	.
1790000	1795000	.
1795000	1800000	.
1800000	1805000	.
1805000	1810000	.
1810000	1815000	.
1815000	1820000	.
1820000	1825000	.
1825000	1830000	.
1830000	1835000	.
1835000	1840000	.
1840000	1845000	.
1845000	1850000	.
1850000	1855000	.
1855000	1860000	.
1860000	1865000	.
1865000	1870000	.
1870000	1875000	.
1875000	1880000	.
1880000	1885000	.
1885000	1890000	.
1890000	1895000	.
1895000	1900000	.
1900000	1905000	.
1905000	1910000	.
1910000	1915000	.
1915000	1920000	.
1920000	1925000	.
1925000	1930000	.
1930000	1935000	.
1935000	1940000	.
1940000	1945000	.
1945000	1950000	.
1950000	1955000	.
1955000	1960000	.
1960000	1965000	.
1965000	1970000	.
1970000	1975000	.
1975000	1980000	.
1980000	1985000	.
1985000	1990000	.
1990000	1995000	.
1995000	2000000	.
2000000	2005000	.
2005000	2010000	.
2010000	2015000	.
2015000	2020000	.
2020000	2025000	.
2025000	2030000	.
2030000	2035000	.
2035000	2040000	.
2040000	2045000	.
2045000	2050000	.
2050000	2055000	.
2055000	2060000	.
2060000	2065000	.
2065000	2070000	.
2070000	2075000	.
2075000	2080000	.
2080000	2085000	.
2085000	2090000	.
2090000	2095000	.
2095000	2100000	.
2100000	2105000	.
2105000	2110000	.
2110000	2115000	.
2115000	2120000	.
2120000	2125000	.
2125000	2130000	.
2130000	2135000	.
2135000	2140000	.
2140000	2145000	.
2145000	2150000	.
2150000	2155000	.
2155000	2160000	.
2160000	2165000	.
2165000	2170000	.
2170000	2175000	.
2175000	2180000	.
2180000	2185000	.
2185000	2190000	.
2190000	2195000	.
2195000	2200000	.
2200000	2205000	.
2205000	2210000	.
2210000	2215000	.
2215000	2220000	.
2220000	2225000	.
2225000	2230000	.
2230000	2235000	.
2235000	2240000	.
2240000	2245000	.
2245000	2250000	.
2250000	2255000	.
2255000	2260000	.
2260000	2265000	.
2265000	2270000	.
2270000	2275000	.
2275000	2280000	.
2280000	2285000	.
2285000	2290000	.
2290000	2294000	.
2294000	2299000	.
2299000	2304000	.
2304000	2309000	.
2309000	2314000	.
2314000	2319000	.
2319000	2324000	.
2324000	2329000	.
2329000	2334000	.
2334000	2339000	.
2339000	2344000	.
2344000	2349000	.
2349000	2354000	.
2354000	2359000	.
2359000	2364000	.
2364000	2369000	.
2369000	2374000	.
2374000	2379000	.
2379000	2384000	.
2384000	2389000	.
2389000	2394000	.
2394000	2399000	.
2399000	2404000	.
2404000	2409000	.
2409000	2414000	.
2414000	2419000	.
2419000	2424000	.
2424000	2429000	.
2429000	2434000	.
2434000	2439000	.
2439000	2444000	.
