start	end	text
0	4240	Now, the accusations, I can't outrun them, but it's true.
4240	8360	The background music's are based on Sonic Heroes OST.
8360	9400	I'm sorry.
9400	13160	And with the autism, your honor, I couldn't stop it!
13160	15800	Mercy's background music is based after...
15800	16800	Billet Station.
19160	21840	Nemi Bezos is after Mystic Mansion.
25480	28160	Azurus is after Frog Forrest.
31000	34600	And Shabby's, it's after Strange Guys.
37600	40600	And AC, and Casino Park!
44600	47800	And then me, Bingo Highway, because, you know, Bingo Highway has a little...
