start	end	text
0	2000	Alright, what do we actually need?
2000	4000	Trap the shopkeeper in the garage!
4000	6000	Wait, she's going in the garage now.
6000	8000	How do I trap her in?
8000	10000	Oh, we pull it down.
10000	12000	We pull it down.
12000	14000	Oh no, I was...
14000	16000	Oh no!
16000	18000	Help me lady, I'm stuck in your gate!
18000	20000	I'm in the garage mate!
20000	22000	Have I just softlocked us?
22000	24000	No, I don't think so.
24000	26000	The objective, get her stuck in it.
26000	28000	Me instantly get stuck in it.
30000	32000	Wait, until she gets inside.
32000	34000	Hello, come in.
34000	36000	Wait, unless I steal an item and run in with it.
38000	40000	Chase me into the garage.
40000	42000	No, I dropped it. No, I dropped the freaking thing!
42000	44000	Oh no again!
48000	50000	Why is this so hard?
