start	end	text
0	14000	This is my favorite kind of ASMR, so if you can bear with me and ask your cup of tea,
14000	19000	I have a hell of a lot of tingles to show you.
19000	26000	I'm basically, I'm not really gonna be editin' out any like bumps and stuff so the audio's
26000	34000	more organic cause some people really like the rambling aspect and like the more, it's
34000	41000	not genuine but when you like hardcore edit something and make it like so professional
41000	46000	sometimes it can lose its charm because like you can hear me bump the microphone or for
46000	52000	example that noise you heard that was my thighs cause I'm currently like sitting on a chair
52000	62000	my legs up like not on the floor but I have an immersive array of kind of like ASMR tingles
62000	69000	to take you there, it's just kind of a little cutesy video I guess you can jump in the background
69000	76000	but like you'll, you'll hear like this kind of noise in the back cause that's my table
76000	85000	and it holds like over, I'm lookin' at it right now, it's probably got like 20 different
85000	92000	tingly things and that's with items because with ASMR you can use your bobo bobo boys
92000	100000	for tingles like repeat triggers or you can fall into the mic like see or I can actually
100000	107000	tap the mic like this or you can do ear goping like I get you know there's so much you can
107000	115000	freakin' do it it's amazing but I saw, I would literally surprise go one by one and just
115000	125000	kind of do a little ear cleaning with a brush this is just a generic, it's actually a brush
125000	137000	that came with Clean Your PC set and thank you to the radio microphone that I have
137000	146000	the silicone ears, they actually sound pretty accurate to what you would hear like if you
146000	153000	press your actual ears and in real life you can hear the do do do like da da da da
153000	165000	hopefully I'm making sense but this is just this generic, general ear brush and you know
165000	173000	everyone, instead of everyone chase, everyone has different tingles so I may do something
173000	181000	that's not really for you but this is kind of a quick, fire type of ASMR session so
181000	189000	don't you worry if you're like that sounds awful strongy, it's a lot to say awful
189000	195000	or maybe I should do a guest tingles, okay you'll never actually guess what this is
196000	200000	hear it, okay this is against your ear
204000	213000	if anyone said sponge, congrats I'm coming down, yeah because I don't even know how you would guess that's a sponge
219000	222000	honestly it just sounds like a crisp packet
226000	236000	did you tingle, did you, did you, did you, that's right, tingle harder for me
239000	245000	and okay, like I'm gonna be honest, you guys are probably like, you should probably use
245000	251000	grips all the time and a bloody should because this is for hands, I get too excited
252000	257000	and then I break the freaking sound barrier because I'm gonna have to put a filter on this audio
257000	262000	so I'm not like going to lift what other tingles have I got
262000	274000	okay, listen to this right, this is, this is on here, it's a cotton ball but if I shove it in your ear canal
274000	276000	listen to this
281000	293000	please help me you're tingling
302000	308000	some people as fast as them are does well sometimes
308000	313000	but I feel like I've, I've, I've attempted to make it in the past right
313000	323000	but whenever I've done it I feel like I'm taking the best because like it's more supposed to be like nice
323000	328000	and slow and relaxing here
328000	330000	so if I just shove up and go
333000	337000	how the fuck are you supposed to tingle for that, like honestly come with me
337000	348000	anyway, do you hear this, this is a plastic, plastic, uh, a silicon ball
348000	352000	there's tons of other silicon balls inside it
352000	356000	and if I press it against your ear it sounds like you're under water with me
356000	359000	yeah look, because I'm a gottlefish, uh uh uh, okay
367000	369000	oh yeah
369000	372000	it's like a chair, I don't know what it is
380000	383000	you like my putting that against your ear
384000	386000	hmm
394000	395000	oh yeah
395000	398000	I admit I cooked with that one
398000	400000	I found it in the thrush shop
402000	406000	and I think I must say it's also a smartest use
406000	413000	it's always like I actually don't want to use that sound so when I look for one
413000	419000	and I found out, I think this is probably like one of those 10, 10 tingles for me
419000	425000	there's some tingles that are like, sorry I'm gonna have to stand up to grab the next item
425000	429000	because, what the fuck was that noise?
430000	432000	so many
432000	435000	oh, I'll tell you all the popular ones
435000	438000	hair brushing is always popular
438000	443000	this is my, the pins on the brush, like peep peep peep
443000	447000	do you remember when Emmy's code name was pins?
447000	448000	hey hey hey
448000	451000	you guys all guessed she was a fiddle
452000	455000	but she's my fiddle doll
459000	460000	wow
462000	465000	do you remember when my code name went inks?
469000	472000	and then I call all you comments that are like
472000	477000	oh it's gonna be weird getting used to your name being so droney
477000	482000	but I feel like it just made sense
482000	486000	because obviously I got to name everyone
487000	490000	and I quite like literal names
