start	end	text
0	9000	Hello, can you hear me?
9000	19400	Tastin, Tastin, I'm currently holding in my hand right now because I need to be able
19400	34400	to police you down in between my thighs as an amazing thank you for the milestone.
34400	40400	And I'm really appreciative for everyone who subscribes and likes and enjoys.
40400	43400	And I just realized I'm wearing leggings.
43400	50400	So this ASMR isn't going to work. I'm going to need to take these off.
50400	53400	I don't know if I should edit this part out.
53400	60400	I'm currently standing up in my recording bag and that does me lowering my leggings.
60400	65400	Don't tell YouTube, I think you just heard my ankle crack as well.
65400	72400	That's my leggings around my ankles there.
72400	78400	Thank you very much for all of your support and I really appreciate it.
78400	85400	And now I'm going to see if I can put you in between my legs.
85400	91400	How does this sound?
91400	98400	Can you still hear me?
98400	103400	Am I crushing you?
103400	109400	I'm wondering. Actually, I might have to turn in this way in order to do it.
109400	115400	But my thigh pudge is going on you.
115400	119400	Ta-da!
119400	123400	Can you still breathe?
129400	134400	As long as you can still breathe, that's the main thing.
134400	137400	And you can tap out at any time.
137400	139400	Thomas!
145400	151400	Does it sound like anything?
151400	157400	Well, if you enjoy being in between my thighs,
157400	163400	then I'll just keep squishing you as a thank you.
163400	173400	I don't know if my voice would be muffled at all in here.
173400	182400	Or is this the part where I say thank you because you should be thanking me
182400	189400	for such an experience, shouldn't you?
189400	205400	You're so wonderfully loud.
205400	209400	Did my thigh sound nice and soft?
209400	213400	See, that's my skin.
213400	218400	You can tap it around your ears as well.
218400	221400	See?
221400	228400	So my thigh is cupping your ear and if I tap my thigh fat,
228400	238400	it's getting picked up on the ear.
238400	250400	What a strange experience for you.
250400	256400	I'm trying to see if you could hear my heartbeat through my thighs,
256400	268400	but I don't think my blood flow is as strong.
268400	271400	Answer me this.
271400	276400	Do you like being bloomy?
276400	281400	I feel like it makes such a good belly.
281400	289400	I can hate lopia because I have no strength in my arms or my wrists or my hands.
289400	298400	Almost strength is in my legs.
298400	310400	So I can technically do this for as long as I like.
310400	327400	You can pretend to struggle and try and get away, but good luck with art.
327400	340400	Good luck.
340400	349400	I'm glad you're getting good at knowing your place.
349400	354400	Okay, okay, I'll have a bit of a break.
354400	359400	Can't be meaty all the time, that cannot, unless you like it.
359400	364400	That's different.
364400	383400	Well, if you have no further objections, get back on your knees then.
383400	388400	How's that?
388400	397400	Are you starting to realize where you should be in life?
397400	423400	Yeah, I've walked right in between my thighs.
423400	430400	This is surprisingly nice on the muscles we should do this again sometime.
430400	438400	If you're ever feeling, you know, a bit pathetic,
438400	443400	at least you know you're safe to explore that side of you with me.
443400	446400	Because I don't judge.
446400	449400	No, not unless you want to.
449400	451400	That's different.
451400	473400	Because then I can judge you very hard.
473400	475400	Why?
475400	481400	I think I will let you be.
481400	487400	And I'll stop talking over your experience, because I'll probably ruin it.
487400	502400	I want you to get lost in your thoughts.
502400	507400	While I headlock you, okay?
507400	514400	You just let your mind run wild.
514400	521400	And think about all the scenarios.
521400	530400	And I'll say one last thing, that nothing is off limits.
530400	537400	Then go by then, good boy.
620400	622400	I'm sorry.
622400	624400	I'm sorry.
624400	626400	I'm sorry.
626400	628400	I'm sorry.
628400	630400	I'm sorry.
630400	632400	I'm sorry.
632400	634400	I'm sorry.
634400	636400	I'm sorry.
636400	638400	I'm sorry.
638400	640400	I'm sorry.
640400	642400	I'm sorry.
642400	644400	I'm sorry.
644400	647400	I'm sorry.
674400	676400	I'm sorry.
704400	706400	I'm sorry.
734400	736400	I'm sorry.
764400	766400	I'm sorry.
794400	796400	I'm sorry.
824400	826400	I'm sorry.
854400	856400	I'm sorry.
884400	886400	I'm sorry.
914400	916400	I'm sorry.
