start	end	text
0	5040	You wanted a fero-kusou gaki, I gave you a ferrokusou dente.
5040	10300	You wanted a doten hag, I gave you a doten hag.
10300	15260	You wanted a dorky yandere, I gave you a dorky yandere!
15300	20340	You wanted a masochistic brocon, I gave you a masochistic drozon.
20340	23980	You wanted a mild dominatrix, I gave you a mild dominatrix.
23980	33980	And now I bring you the VTuber that no one asked for, a goddamn hypnotic cuttlefish.
33980	55980	Did I kick or did I f***ing kick, ladies and gentlemen?
55980	59980	I hope you enjoyed your evening so far.
59980	62980	Let me formally introduce myself.
62980	66980	Ladies and gentlemen, I'm Strony Cuttle.
66980	69980	The surname is because I'm a cuttlefish.
69980	76980	And Strony because I am the daughter of the gamer Strontium, my dad's gamer tag.
76980	79980	And I wouldn't be here without him, you know, because he came from his b***h sack.
79980	81980	Anyway, age, age, ladies and gentlemen.
81980	87980	Oh, yet again, I have failed the VTuber challenge of tell us your age.
87980	91980	Cuttlefish normally live to a year, so time's ticking.
91980	97980	Anyway, my birthday is October 10th, which is actually National Sweden Cuttlefish Day.
97980	100980	They're both step-for-the-pod, so I don't mind sharing that birthday.
100980	108980	My height is 162 centimetres, which makes me 5'3", because I forgot to update this hi-ho over here now.
108980	111980	For my languages, turns out, if you're born in Scotland,
111980	115980	the British government recognises Scottish slang as its own language,
115980	118980	so in your face, I can speak two languages.
118980	121980	Grace, I am a cuttlefish, and I'm also good at the 100-metre sprint.
121980	123980	Thank you, thank you, I'll be here all week.
123980	126980	My likes and dislikes.
126980	130980	ASMR, if you like ASMR, you're going to get spoiled, rotten on my channel.
130980	133980	Or any of the VLOR girls' channels.
133980	135980	Shows your plasters.
135980	138980	Oh God, can you see it? Wait, you're not supposed to see that part!
138980	143980	I like seeing victory on my screen because I could use any tiddly wink of serotonin.
143980	146980	And I also like plasters and band-aids.
147980	149980	I wonder why.
149980	151980	For no nefarious reason.
151980	153980	For my dislikes.
153980	155980	I don't like bullies in video games.
155980	158980	Your teammates aren't all going to magically be MLG pros, so relax.
158980	161980	I don't like serious people, I don't like seriousness.
161980	163980	I think my gen mates can all pray for a bunch of bouts.
