start	end	text
0	14000	Are you sure this is a good idea offering services like this when we aren't certified?
14000	15000	We need the money.
15000	16000	What other choice do we have?
16000	17000	Plus, I've never heard about needing to be certified to tangle someone.
17000	18000	Are you sure you're the mature one between us?
18000	38000	Very funny. Now shh, act professional.
38000	46000	Thank you so much for supporting us with your hard earned cash.
46000	59000	I appreciate it, but there is no time like the present, so please allow us to tangle you senseless.
59000	64000	Have we done this before?
64000	69000	Oh sure, we've actually had lots of clients.
69000	72000	Sorry if the flyers seemed a little desperate.
72000	82000	We just needed to pay for our nails and other girly stuff.
82000	85000	You can so tell we're desperate.
85000	91000	We already have an assortment of tools to test on you.
91000	104000	If at any point you'd like us to pause because you're just tingling all over from meant to toe, then just raise your hand.
104000	114000	If not, please close your eyes and enjoy this immersive experience with us.
114000	126000	One tingle after another.
144000	169000	One tingle after another.
169000	194000	One tingle after another.
194000	223000	One tingle after another.
223000	252000	One tingle after another.
252000	281000	One tingle after another.
281000	305000	One tingle after another.
305000	334000	One tingle after another.
334000	363000	One tingle after another.
363000	392000	One tingle after another.
392000	421000	One tingle after another.
421000	450000	One tingle after another.
450000	479000	One tingle after another.
479000	508000	One tingle after another.
508000	537000	One tingle after another.
537000	566000	One tingle after another.
566000	595000	One tingle after another.
595000	624000	One tingle after another.
624000	653000	One tingle after another.
653000	682000	One tingle after another.
682000	711000	One tingle after another.
712000	741000	One tingle after another.
742000	771000	One tingle after another.
772000	801000	One tingle after another.
802000	831000	One tingle after another.
832000	861000	One tingle after another.
862000	891000	One tingle after another.
892000	921000	One tingle after another.
922000	951000	One tingle after another.
952000	981000	One tingle after another.
982000	1011000	One tingle after another.
1012000	1041000	One tingle after another.
1042000	1071000	One tingle after another.
1072000	1101000	One tingle after another.
1102000	1131000	One tingle after another.
1132000	1161000	One tingle after another.
1162000	1191000	One tingle after another.
1192000	1221000	One tingle after another.
1222000	1251000	One tingle after another.
1252000	1281000	One tingle after another.
1282000	1311000	One tingle after another.
1312000	1341000	One tingle after another.
1342000	1371000	One tingle after another.
1372000	1401000	One tingle after another.
1402000	1431000	One tingle after another.
1432000	1461000	One tingle after another.
1462000	1491000	One tingle after another.
1492000	1521000	One tingle after another.
