start	end	text
0	13000	Please let me hold it. You'll let me hold it won't you? It's not weird. Girlfriends ask to do it all the time and it's not like it's dirty or anything.
13000	22000	Even if it was, we can go wash it quickly with some warm water or I can get a bottle and scooch it.
23000	32000	I honestly don't care if it's been a while since you've washed. If anything, the muskiness makes it nicer.
32000	49000	Oh come on. I'm using my manners. I'm saying pretty please. I could demand it but I won't because that's not polite so why are you holding back from me?
50000	60000	Did I upset you recently? Have I done something wrong? Then why aren't you letting me hold it while you pee?
60000	71000	It's a simple request really. I mean, I can't really explain why I want to do it. I just do.
72000	78000	Look, if I type it in on Google, there are tons of girls just like me who want to hold it while you tingle.
78000	87000	Okay, it's simple. It's not weird or anything and you wouldn't be mean and call me weird.
87000	93000	No, you're nice and kind so come on then. Let me hold it.
94000	107000	We can go to the bathroom right now, I'm serious. Or if you're feeling lazy, we can do it the game away and well, inside a bowl.
107000	113000	I don't care either way. Have we not been dating long enough for this or something?
114000	117000	Don't understand then why you won't let me.
118000	131000	Boundaries, are you serious? I'm practically begging you to let me do this and you're stating that boundaries are what's holding us back.
131000	133000	You're not serious, are you?
134000	141000	Are you not hydrated enough? Is that it? I don't mind if it's kind of apple juicy.
141000	151000	I can just get some water for you from the corner shop or you can drink it straight from the tap, you know, recancellages.
152000	161000	Or I have some dilute if that would make a difference. It's not like I have a BH strip to taste the sample with or anything.
161000	170000	We'll just flush it when you're finished and I can even give him a quick wash in the sink if there's that much of a problem for you.
171000	174000	Or I could use my face wipes.
175000	185000	So come on, please, let me hold that worry for me, for your girlfriend.
187000	191000	I can use one hand or even two, I don't mind.
191000	201000	Either way, the details do not matter as long as it's me, you and well, me holding it.
202000	205000	I'm sorry for whatever I did to annoy you.
205000	214000	You've been up for a few hours now and I've noticed that you've not used the bathroom, so you must be bursting.
214000	221000	Seriously, it must be all in your head if you feel like that you don't need to go.
221000	228000	Your power platter must be ready to pop. Do you know how silly and dangerous that can be?
229000	237000	Well, you must be relieved that you have me then, because I can keep you nice and healthy.
237000	242000	So let's go to the bathroom.
242000	253000	Okay, I mean, what better way to be treated like a king than you have someone to help you go number one.
254000	258000	It will prove how intimate we are with each other as well.
258000	263000	I could go practice all my friends in the group chat.
263000	267000	Uh, no, this didn't start because of them.
267000	269000	Well, maybe a little.
269000	274000	We were talking about the weird things that you do with your significant other.
274000	284000	And apparently it's really common to hold a fireman's hose while he sprays the water, you know?
284000	288000	So I thought we could do it.
288000	293000	I didn't think I would have to actually be begging for permission to do it though.
293000	302000	I love you very much, so if you love me, you let me hold it, okay? End of story.
302000	308000	Think of all the things that we've done together, both wholesome and otherwise.
308000	312000	And this, this is a step too far for you.
312000	317000	I quite literally don't have a single boundary with you.
317000	319000	I'm an open book.
319000	327000	That's what makes a relationship so special that we don't have to hesitate when asking for it needs to be met.
327000	333000	And I assure you, me holding it is a need, okay?
333000	337000	No, I want not a desire.
337000	342000	This act alone will prove our love and intimacy for one another, alright?
342000	347000	So come on, unzip your trussars.
347000	351000	Name something in return that you'd want me to have.
351000	354000	I could give you nightly massages for like a week.
354000	358000	Or one of those stingly ASMR sessions, huh?
358000	360000	Come on.
360000	365000	I can even buy some resources for them, like the Ear Cleaner Toolkits.
365000	372000	You know I'd be willing to do that for you, without even a moment of hesitation.
372000	377000	So you let me hold it, right?
377000	379000	This isn't fair.
379000	382000	Is it because of the way I'm asking?
382000	386000	Please, may you let me hold it.
386000	392000	I wish to be the holder of my stuff.
392000	397000	I desire to be your designated bathroom assistant.
397000	400000	Only for a number one, though.
400000	404000	If you do it, it would be so worth it.
404000	407000	I promise you, it really would be.
407000	411000	You might even ask for me to do it again in a strange twist of fate.
411000	418000	So please, let me hold it while you beat.
418000	421000	You're starting to test me.
421000	423000	This isn't fair.
423000	425000	How am I not worthy?
425000	435000	Do I need to solve some cryptic puzzle to prove that I've got enough wisdom for you to do this?
437000	440000	Or is it that you've seen me begging?
440000	442000	Is that it?
442000	445000	Is that what this is all about?
445000	447000	You're actually such a stinky mini.
447000	448000	What the heck?
448000	454000	Just give me out already.
454000	457000	I am not guilt-tripping you because I'm crying.
457000	464000	I'm actually genuinely upset at the revelation that our relationship is so shallow
464000	475000	that your girlfriend asking you to hold it is such a trivial matter to you even though I've communicated otherwise.
475000	476000	That's it.
476000	479000	I'll just annoy you until you break.
479000	483000	You don't deserve the nice me, okay?
483000	490000	Only the mean me because you're a mini and you'll get what you deserve, okay?
490000	500000	Only stinky boys don't say yes to their girlfriends and you know that this is a bid for affection and you're ignoring it on purpose.
500000	503000	You are a mini boobini.
503000	505000	You hear me?
505000	510000	If I say please, the rule should be that you bend over backwards for me.
510000	515000	Now you're just looking at me all smug while I'm annoyed.
515000	518000	Is this an insurance test?
519000	522000	We've already been at this for how long now?
522000	530000	I assure you that I can go a heck of a lot longer than you as our bedroom visits suggest.
533000	535000	You are taller than me.
535000	538000	You are bigger than me.
538000	541000	Are you scared of me or something?
541000	543000	Well, four.
543000	547000	I'm literally the perfect height to be an ankle biter.
547000	554000	You're actually lucky that I can refrain from spitting in your ears right now.
554000	557000	It's only because I want something from you.
557000	565000	I would never go that low but just think to yourself you could have a girlfriend that could but no, you've got me, the perfect girlfriend.
565000	573000	Just know that if you seek anything from me, I'm gonna remember this moment.
573000	583000	Remember that I was pleading and begging with you and getting all worked up when you smail at me with that dumb expression.
587000	589000	I'm sorry, okay?
589000	595000	I didn't mean any of it, please just let me grasp it or let me give you war or anything.
595000	599000	I can't stand it when you don't interact with me and just look at me.
599000	601000	Baby, please, I need you.
601000	603000	I'm sorry, I got you all those mean things.
603000	608000	You know I said that stuff because I'm desperate, okay?
608000	616000	Please, please, I just need this one thing, this one tiny and significant silly thing.
616000	620000	Please, please, please, please, please, please, please, please.
620000	635000	Please, okay, please, I'm sorry for you on and please, please, please, please, please.
635000	638000	I am not falling asleep, okay?
638000	641000	I have the stamina of an ox, okay?
641000	645000	And I can do this all day and night long, okay?
645000	652000	Please, please, please, please, please, please.
652000	658000	Please, please, please, please, please, okay?
658280	660580	bzzzzzzzzzzzzzz
666420	673860	please, please, please
673860	678380	P-L-E-A-S-E
678380	682240	bzzzzzzzzz
682240	686080	bzzzz zzzzzz
686080	696080	please, please, please for me
696080	701080	please, please, please
701080	705080	I want it, please
705080	709080	please, please, please, please
709080	715080	please, please
715080	719080	please, please
719080	727080	please, please
728080	731080	p-p-p-p-p-p-please
733080	739080	for me
742080	752080	for me
752080	762080	for me
762080	765080	please, please, please
765080	768080	please for me, for me, for your girlfriend
768080	770080	for your crazy girlfriend
770080	772080	that really must tell that we
772080	775080	let me hold your fireman
775080	779080	wait, let me hold your whole house, Mr. Fireman
779080	785080	let me hold your house, let me hold your house
785080	788080	let me hold your house, let me hold your house
788080	792080	we love our girlfriend and we love when our girlfriend holds our house
792080	797080	there once was a girlfriend who wanted to hold a house
797080	799080	and that boyfriend said no
799080	802080	and she said please, please, please
802080	804080	I want to hold the house
804080	807080	and then she got to hold the house
807080	810080	and he lived happily ever after
810080	812080	and he got lots of kisses
812080	815080	and sometimes she even kisses him on his nose
815080	819080	as I thank you, because that's how it works
819080	822080	please, please
822080	827080	p-p-p-p-p-please
827080	831080	p-p-p-p-please
831080	833080	please, please
833080	836080	please
836080	839080	p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-
843080	845080	bu-b-ee
848080	850080	p-p-p-p- JAMES
854080	857080	my lungs are giving up because I've been paking you so long
857080	859080	by saying please
859080	870400	to show you my love and how much I want to hold it while you be, I'm going to say please
870400	875560	while expelling air in your earhole and you'll listen to how I've messed up my lungs are,
875560	877560	whilst I do it.
889120	896600	h-h-h-h-h-h-h...
896600	904020	but...
904020	907120	h-h...
907120	913280	please, please, please
913280	918620	please, please, please
918620	922200	please
922200	926220	please, please
926220	926980	pssss
926980	927660	come here
927660	928760	come here low penis
928760	929600	pssss
929600	930600	come to my hand
930600	931600	come
931600	932240	come come
932240	932860	please
932860	933860	please
933860	936320	pssss
936320	937760	please
937760	939480	pl-Pi-Pe-Pe-Bop
939480	940300	p-P поп
940300	970300	Please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please,
970300	975820	please, please, please, please, please, please, please, please,
986400	990820	please, please, please,
990820	1020820	Please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please,
1020820	1022820	please
