start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	65000	ophone audio
69940	72940	Hello!
72940	73920	Guys?
73920	78000	I think all my gen mates are asleep cause they're so tired.
78000	80100	Should we wake them up tho?
80100	80360	Oh Puh
82360	83000	Een
83000	84920	They've had a busy day after debut haven't they but
84920	88040	The problem is
88040	93480	we haven't figured out who the biggest yapper is yet so i think i'm gonna have to wake them up
94200	102040	are you ready oh i should have i should have had a bagpipe sound effect just imagine a bagpipe everyone
104360	110120	okay wake up genmes wake up what the fuck can i
110120	118120	we are all so unbelievably tired and we're not even kidding
119800	126440	but we're we're gonna make it through we're gonna make it through so first of all i will kindly ask
126440	136200	ac may you introduce yourself to us hello i'm ic snow pause and and i am
136200	146680	up and i am the feral polar bear of the alert gen one
154840	157800	we're so delirious all of us are delirious
158120	162920	hello everyone i just forgot
165800	171560	i am i am the red light and the particularly goddess of gen one vlr
172200	180600	i'm so sorry, i'm so sorry, we're so tired
182360	189240	give me a second hello i'm mercy modeste from vealers gen one indulge
189240	199560	apply here to meet you all again emi uh hi i'm i'm emi visu from from vealers
199560	207880	first generation indulge hi and she v i think emi went the bed i'm just one of the
207880	214840	sorry uh my name is shibi not in bone uh and i'm anything you want me to be baby girl
215640	222040	i'm mad of this establishment and least of all sorry last and not least
222600	231160	strony calls me um so to say to put it lately we're absolutely exhausted however
231160	237640	there's an unanswered question of who on earth is the biggest yapper in her gen okay is that i
238360	239640	it's gonna be me
244680	248120	i see i you're the first one to answer the question
249800	250120	okay
253000	256760	sweetie you know where you are you're all right now i'm sorry
257720	259240	you're the question
272920	279720	right okay okay serious well since we're trying to sleep and normally this is the perfect time
279720	284280	where your brain throws up cringe memories what's your cringiest memory
286760	296760	um
301560	308760	it's very i don't know why i'm laughing so hard because i'm very loopy when i get sleepy
308760	318840	okay i don't know if she's gonna make it i don't know i'm like dad going to zura for her
318840	327560	cringiest memory all right zura don't know either i don't know i mean i can do my
331160	335320	we can start in a different order well wait all right how about she be first then we'll go from
335400	344280	she's like oh my god all right i'm a sucker for pain as well as dishing it out so i'll start with
344280	353640	my cringiest memory every night i lay awake because once when i was a little girl playing tag
353640	361880	as a wee bun as a we lost as uh strawney would say yeah we were uh playing tag we're running around
362440	369240	and my friend goes to tag me and we're just standing there and i just full on piss my pants
374520	384440	mind you i was like above like the age for that i was like 13 you know at that age
384600	388040	you think you and you call me a bed wetter
403560	411160	my mom had to come pick me up oh that's bring me pants she was so mad at me
411480	419720	she was so mad my mom is also a very important ceo bunny and she had a lot of stuff to do
421400	424200	come pick up a little piss pants stop you know that's me
426360	431400	that's why i don't wear underwear anymore i mean hey you just let it slide down my way
432520	441000	okay and me mark my territory okay okay okay my cringiest memory was uh when i was like
441080	446760	around five years old my dad would always pester me about getting a boyfriend he would always be
446760	452680	like oh your friend your friend ashley has a boyfriend why don't you have a boyfriend and so one day
452680	457560	he asked me again and i got really really fed up so obviously i didn't have a boyfriend
458920	463720	so what i told him he asked me again like oh do you have a boyfriend in me
465160	469320	i said the name of the only boy that both me and my dad knew
471000	475480	and do you want to know whose name i said who i said what was my boyfriend your brother
476200	482600	i said my cousin's name i told my dad i was dating my cousin
486280	488600	kastin a little too good over here what the heck
493720	499160	mersey my cringiest moment my entire life is a cringe
499240	504680	oh so it's hard to pick out one so i guess my most
505320	515320	cringiest moment i can think of is like oh i really was tuney like real tuney back in like
515320	521480	middle school and elementary school i would refer to myself as like third person and then i would
521480	529880	be like yes yes i can control the wind oh i can control the wind and i was born in a family of like
530760	536600	i don't remember what i fucking said i think i was like you know it was like a phoenix a phoenix angels or
536600	544920	something i was so cringe hell yeah azura oh no
553560	562360	i relate a lot to mersey just kidding sorry oh no look all right hear me out all right i'm
562840	566920	sure everyone has a moment when they were a kid you know
569480	572120	i used to pretend to be an animal
577960	586840	and i would run around on all floors in an empty park oh that's normal for a kid yeah but some kids
586920	591640	my school caught me oh no it's all right i barked at people
602440	609720	okay i think i think i can finally speak now okay so my uh
610680	618920	cringiest and most embarrassing memory is when i was in elementary school
621080	628280	at the end of the year we had like this uh thing where we did a lot of different dances
628840	634200	and everyone's parents would show up to like a big like area to see that
634920	641960	so we would practice the dances and stuff and i was like so confident and sure that like i
641960	652280	remember my dance moves and everything and so we're all like sitting down uh and there is like
652280	658040	a certain like specific part in the song when we need to get up and like start the actual dance
658200	667320	mm so the music starts and then you see me the only one who gets up to a fucking early
668040	675800	and starts dancing and then i realize that it's too fucking early and i'm just looking at
