start	end	text
0	7000	okay
7000	10000	alright alright alright alright alright
10000	13000	mom oh I'm so tiny
13000	17000	yeah a little bit
17000	25000	my baby don't mess around because there's something else and then she told me so
25000	28000	black cats and then and then
28000	33000	but I know for sure
33000	38000	oh oh sorry you just caught me
38000	43000	warming up for my future karaoke stream
43000	46000	oh no I'm so embarrassed
46000	49000	I can't believe you caught me like that
49000	53000	oh um good morning
53000	56000	good evening and uh good afternoon
56000	58000	who's that going? who's that going?
58000	63000	on 4k bro
63000	66000	as if I didn't orchestrate that bye bye
66000	70000	okay she's in the ash kitchen voice again
70000	74000	hiya America hiya
74000	77000	good morning
77000	80000	uh I haven't add in front of the stream
80000	87000	no you shouldn't have I've told YouTube not to do this specifically
87000	90000	that's not right hold on hold it
90000	94000	fucking monetization
94000	98000	choose when mid rolls appear insert them manually
98000	100000	YouTube's taking the piss
100000	105000	because I haven't put ads on I don't put ads on on live streams
105000	109000	are they forcing ads on live streams there?
109000	112000	they better not be I'm gonna fart
112000	114000	I'm gonna do it okay
114000	116000	I get ads on my phone
116000	120000	um that'll be YouTube pocket in the full ad then
120000	122000	what did I just walk into?
122000	124000	I don't know
124000	128000	please don't think about me like that
128000	130000	okay got a bit of an update
130000	134000	Mercy's emotes approved I'm just waiting for the delivery so they could be thingied
134000	137000	there was two mistakes with Azur's emotes
137000	141000	so I had to pay an extra couple of dollars do's
141000	144000	but the sneaky little sneaker tins
144000	149000	they extended the delivery time by three weeks to fix two emotes
149000	153000	and they already have taken quite a while
153000	157000	so I need to wait until Mercy and Azur's batch of 10 are done
157000	161000	before I can order everyone else's missing slot emotes
161000	163000	is that my sense?
163000	165000	so I can't do anything yet
165000	167000	my hands are tied
167000	169000	my hands are tied okay
169000	171000	but not to be confused my hand can't
171000	173000	okay as for the updates again
173000	176000	bleeding hearts, reflins, both the user in the same club
176000	178000	I'll need to sleep after the stream
178000	181000	and then I will get the third audio up
181000	185000	my audio is beam of fur babacucation
185000	191000	and Azur's is landlord lips never felt so okay
191000	194000	who wrote that? it was me at the time
194000	197000	it was absolutely outrageous behaviour
197000	201000	honestly outrageous
201000	205000	is that doom music playing in the background?
205000	207000	but I hope not
207000	210000	there shouldn't be any music playing in the background
210000	212000	this is what plays in the background
212000	214000	but it's a bit sad
214000	216000	but anyway
216000	218000	got an update
218000	220000	me dad
220000	222000	me dad's officially
222000	224000	fucked off
224000	227000	nah it's true, papacuttle's is heading home
227000	229000	so
229000	231000	now I do have two more streams of shorter games
231000	234000	just so I can catch up on the ASMR I need to record
234000	239000	because I need to record about 3 hours worth of shit I'm missing
239000	242000	but the good news is
242000	245000	it lets me catch up on all my work
245000	248000	now I do have a message for your reflins
248000	250000	but I can't read it yet or I'm gonna cry
250000	253000	so I'll read it tomorrow
253000	255000	I can't read it today
255000	257000	or I'll greet my eyes out
257000	260000	I miss pap already
260000	262000	aww I miss him too I was so sad
262000	264000	both of us were like
264000	267000	I was like I didn't want to cry in front of him
267000	269000	as he was going
269000	271000	so I was like
271000	273000	so there's this fucking meme for this stupid thing
273000	275000	I don't know what it is
275000	277000	but the meme goes
277000	279000	be strong, Clarence be strong for mama
279000	282000	and that's what goes in my head
282000	284000	when I try and tell myself not to laugh
284000	286000	not to cry sorry
286000	288000	like to try and cheer me up
288000	290000	I can't remember what the meme is
290000	292000	but it's like be strong, Clarence be strong for mama
294000	296000	so he didn't see me cry
296000	298000	but as soon as like
298000	300000	I couldn't see him anymore
300000	302000	oh god I'm getting emotional
302000	305000	ok we're playing a little to the left today
305000	307000	which is a puzzle game ok
307000	309000	now as well no puzzle game
309000	311000	so it's my biggest enemy
311000	313000	because it requires IQ
313000	315000	that I do not possess
315000	317000	in any way shape or form
317000	319000	thank you GothMommyBee
319000	321000	for becoming a member
321000	323000	enjoy those emotions
323000	325000	I have four more on the way
325000	327000	I think there's four more slots
329000	331000	bye strong
331000	333000	be strong for the refling
333000	335000	it's a TISM game
335000	337000	oh god
337000	339000	isn't that a dodo meme
339000	341000	it's a pokemon meme
341000	343000	it's like a mash of a dodo
343000	345000	one of the dodo birds
345000	347000	it's wrong
347000	349000	yes oh my god you know it
349000	351000	now you got high IQ I can tell
351000	353000	yeah
359000	361000	hello
361000	363000	hello am I broken
363000	365000	have I crashed
365000	367000	have I crashed
367000	369000	hello
369000	371000	hello testing
373000	375000	hello hello
375000	377000	hello hello hello
377000	379000	bye am I crashed
379000	381000	what the fuck
381000	383000	my OBS was like red
383000	385000	red panic
385000	387000	red alert red alert set phasers
387000	389000	to eliminate
389000	391000	oh my god
391000	393000	what was that
393000	395000	don't do that again
395000	397000	you're stressing me out
397000	399000	did you guys like my short
399000	401000	where I was like hey this is how much
401000	403000	vtubers actually make
403000	405000	and I'm not just gonna dance around the question
405000	407000	wait hold on let me link it
407000	409000	right I'll give you that before we get into
409000	411000	I need to do the
411000	413000	I need to do the repromotional bit here
415000	417000	the red spies in the base legit honestly
419000	421000	best short yet
421000	423000	I got a short and then I asked the question
423000	425000	and I actually answered the question
425000	427000	in the short
427000	429000	oh my god
429000	431000	VTuber challenge complete
431000	433000	asked the question and actually
433000	435000	answered it in a short
435000	437000	oh let's go man
441000	443000	the numbers were
443000	445000	very impressive
445000	447000	right so some of you might not know this
447000	449000	I got a thousand dollar donation
449000	451000	completely anonymous
451000	453000	near request not an else attached
453000	455000	couldn't give life of a shit
455000	457000	just gives me a thousand dollars and pisses off like oh
459000	461000	so that's the truth but yeah
461000	463000	that's great short but the IRS jump
463000	465000	skewer is not appreciate
