start	end	text
0	9000	What's that? Hold on, hold on, you put the light on to the fucking tracking thing.
9000	12000	Ah, it's blinding! It's blinding, it's looking good.
12000	16000	Me? Hmm, why do I need to wear glasses? Also me, because blasted.
16000	20000	About, like, one minute late, she hates us.
20000	24000	You stop that. You naughty Nellie.
24000	27000	You naughty soft fans.
27000	30000	You naughty ballbags. Actually, don't say that word.
30000	33000	That's not, well, I mean, that's not the right word.
33000	35000	Uh...
35000	37000	Um...
39000	44000	Are we here? Hello? Hello? Hi! Hello, I'm Marika. Hiya! Hiya!
44000	50000	Oh my god, what's that? We get to do another full day of Assassin's Creed.
50000	54000	I get to, yeah, ease as much as I like.
54000	60000	Uh, I do want to say I am very thankful to PayPal support. Yay!
60000	64000	PayPal unblocked this.
64000	70000	Because if you didn't know, yesterday, you guys unanimously, at the same time,
70000	75000	supported, like, everyone with donos, and PayPal was like, halt, halt.
75000	82000	This account has been paused because what on earth are all these things?
82000	86000	And we literally had to go, oh, hello there PayPal.
86000	91000	Uh, we're streaming. Uh, we're beach homers. Please unblock.
91000	94000	So you can support my daughters.
96000	101000	Good morning. Good evening.
101000	106000	And most of all, good afternoon, Reflings.
106000	110000	Are you ready to fuck up your sleep pattern?
110000	119500	Do-do-do-do..
119500	121500	How are you?
121500	126000	And you did? It was Aisi looking after you?
126000	132000	Did anyone touch your tummy? Don't lie, Aisi's best design element is her tummy.
132000	137500	Her navel, if you didn't know a belly button is also a refer to as a navel.
137500	142500	I understand you can't hear the background music of Assassin's Creed Brotherhood right now, ask that meme-in.
143500	149500	I apologize for being a whole 60 seconds late.
149500	151500	Do you want to know why I'm 60 seconds late?
151500	154500	Because I was trying to arrange another Ace Markalab.
156500	159500	I've recorded one with Mimosa, I need to edit it.
159500	165500	I do not know how long today's stream is gonna be, so feel free to strap in.
165500	168500	If not, I'll be the one wearing the strap in this relationship.
168500	171500	That's terrible, absolutely terrible, just started.
172500	175500	But it's been fantastic.
175500	182500	I should hopefully not miss any freaking donations, like I did yesterday, because I was absolutely awful.
182500	187500	I just kept missing everything left and right.
187500	191500	Everything left and right.
191500	194500	Left and right.
194500	196500	Oh, that's not how I can read.
196500	198500	Okay, there we go.
198500	201500	Woo, five hours of sleep and eight hours of work, and we're so bad.
201500	204500	Oh, please rest, okay?
204500	209500	I can, I literally, I brushed my teeth, I had a shower.
209500	214500	Right, well I'll tell you something gross whilst we jump back into the action.
214500	216500	I'll tell you something nasty.
217500	220500	Why can I not hear my game?
223500	225500	Hello, headset?
225500	227500	Headset?
227500	230500	Headset, I know there's, hello?
230500	237500	Okay, I cannot hear any sound, and the game isn't coming out of my fucking desktop.
237500	239500	Are you fucking serious?
239500	242500	By the way, this game lives up to the test of time.
243500	246500	Are we being true?
246500	249500	Why is it not coming out of desktop?
249500	252500	Is this a fucking joke?
252500	256500	How could this have been so scuffed?
256500	258500	I can't hear the game either.
258500	263500	Okay, fantastic, fantastic.
263500	265500	No, seriously.
265500	267500	The tips link is messed up again.
267500	269500	Are you joking?
269500	271500	God, I'm so scuffed.
272500	286500	I am speechless on why the game is not playing through the desktop audio right now.
286500	290500	Ah, hold on, let me start clicking stuff and see what happens.
290500	293500	Okay, I need to start clicking stuff.
293500	300500	Why would the game not be detectable via the desktop audio?
301500	304500	I am totally not raging right now.
311500	314500	Let's check, let's check.
314500	318500	Right, okay, okay, okay, hold on, hold on, hold on, let me cook.
318500	323500	Rule one, if something doesn't work, close the game and open it again.
323500	326500	Because why would it not be detectable on desktop?
326500	329500	That's rule one of gaming.
329500	332500	So I've closed it, it's now closed, you can't see none of it.
339500	346500	Also, I listened back, I was watching a bit of my own brotherhood gameplay.
346500	350500	My voice actually doesn't sound that messed up,
350500	355500	but I can hear it and feel it myself how messed up it is.
360500	366500	Uh, yep, again, no audio.
366500	372500	If I have to go offline to troubleshoot this, I'm gonna be so mad.
372500	374500	Why? I didn't do anything.
374500	380500	This is, I, Mercy has literally made a short about this exact scenario.
380500	386500	I cannot make this up, Mercy has a short coming out later about this exact situation.
386500	393500	Um, okay, okay, okay, okay, okay.
393500	398500	Game, audio, output settings, hold on, hold on, hold on, hold on, hold on, hold on, hold on, hold on, hold on.
398500	404500	Manage input devices, manage output devices, sound mixer, is it a sound mixer?
404500	407500	Input, yep, output, yep.
407500	413500	Why the frick, why the frick, frack, diddle-y-dack, tic-tac, pedi-wack?
413500	417500	Would this not be coming out?
417500	420500	I think I actually have to go offline to frickin' jumpshoot this.
420500	422500	I'm not even kidding.
427500	431500	I can't believe this. Are you joking?
432500	437500	Oh!
442500	446500	It only took me seven minutes to start the stream!
451500	454500	Oh, 49% total synchronization.
454500	459500	Oh, I guess we are doing 12 hours then, if I'm only at 49%.
460500	463500	Literally, Mercy made a short about this.
463500	470500	I cannot wait for the short to come out, so you guys can be like, oh my god, oh my god, she was right.
470500	477500	Um, if you are not up to scratch, please do not worry,
477500	482500	because we have successfully finished campaign mode.
482500	488500	We are currently playing Landlord Simulator 2 by all of the buildings at the moment.
488500	493500	We are now doing the kind of save quest-esque missions.
493500	499500	We are about to do a very sad mission for the Auditory family.
499500	503500	Auditory, me, I'm still here. Let's see, let's see, Auditory.
503500	506500	But gom, morning, good afternoon, good evening.
506500	509500	I hope, uh, oh, it's good.
509500	513500	I believe Asakul is the only other member live at this moment,
513500	525500	but as always, when another member goes live, I will force you to go insane to her stream.
528500	530500	Oh, okay, here we go.
530500	534500	I do not normally do this, so I'm not too familiar with what happens next.
536500	537500	Oh!
540500	542500	I think AC is going offline.
