start	end	text
0	3000	I'm not happy with you, you know.
3000	8000	Yeah, I'm the life on, what life on that could be?
8000	12000	Alright, I need to get a chance screen.
12000	14000	I need to get a chance screen.
14000	19000	Why is my iPhone bugging the fuck?
19000	21000	Oh, relax.
21000	22000	What?
22000	24000	I'm bugging out.
24000	26000	Am I getting a chance screen?
26000	27000	Get a chance screen.
27000	29000	No.
29000	30000	No, it's not.
30000	31000	Hold on, hold on, hold on.
31000	32000	Scuffs already started, boys.
32000	33000	Scuffs already started.
33000	35000	Look, he's a, he has a thing.
35000	36000	He has a thing.
36000	37000	One minute, one month.
37000	41000	I was there to do some, some business things.
41000	45000	God, the freaking scuff is a thing.
45000	48000	What the hell's going on?
48000	52000	The tracker is hating me right now.
52000	54000	Can you hear me?
54000	55000	Have you all seen this?
55000	58000	Have you all heard about this?
58000	63000	Okay, I think I'm going to have to move the iPhone about because what the actual heck?
63000	66000	Can you guys hear the background music or no?
66000	68000	Okay, you can now.
68000	70000	You can hear a bit of Assassin's Creed.
70000	71000	Good morning.
71000	78000	My iPhone is bugging out right as a, I'm pretty sure this can do horizontal.
78000	82000	So not sure why I'm going to absolutely not hold on.
82000	85000	I'm just calibrating, testing left.
85000	87000	No, what the heck?
88000	90000	Can you not see my face?
90000	92000	Sorry, blame the technology.
92000	93000	What's that?
93000	94000	I should have used my loading screen.
94000	95000	Sorry, can't relate.
95000	97000	Couldn't care less.
97000	99000	And something, something.
99000	101000	Oh my God.
101000	103000	Is it because it's dark in this room?
103000	104000	I can't believe it.
104000	111000	I can't believe being a goblin in the dark is a terrible idea for freaking tracking reasons.
111000	113000	Hold on, hold on.
113000	120000	I need to come literally on my hands and knees to plug in this light under my PC.
120000	122000	This is nonsense.
122000	123000	Honestly.
123000	125000	Why can't you see me iPhone?
126000	128000	I'm out of the port?
128000	130000	There are no keys.
130000	132000	Oh my God.
132000	136000	Right, anyway, I've got some good news.
136000	141000	Well, the good news is I've got my first ASMR club coming out.
141000	144000	Right, I've got to lay on.
144000	145000	Right, I've got to lay on.
145000	147000	Here we go, here we go, here we go, here we go.
147000	148000	Right, back and back and back.
148000	150000	Yeah, that's snuffing those.
150000	157000	Why can, can V-tube Studio not handle how you want them?
162000	164000	Why is that going?
164000	166000	Right, I don't think V-tube Studio works at all horizontal.
166000	168000	Oh, fuck you.
168000	170000	You stupid little twat.
170000	172000	First of all, you little prick.
172000	173000	Can it, hun?
173000	176000	Can it not, it can't go horizontal?
176000	178000	I'm confused but I'm ready.
178000	180000	You know what, fuck it, we're just jumping in.
180000	186000	I'll, I'll deal with the tracking issues once, uh, hold on, hold on.
188000	189000	Fuck it.
189000	190000	Okay, there we go.
190000	191000	I'm actually normal.
191000	193000	I don't know why the tracking bugging.
196000	198000	I'm covering up too much of the screen now.
198000	201000	Who's ready for someone's house screen now?
201000	205000	I do believe Asakul is still streaming, so please do support Asakul.
205000	216000	She's still streaming for a white Christmas.
216000	220000	Uh, let me just check before we jump into that.
220000	222000	Need to make sure I've got subtitles on.
222000	225000	Spoken language, English subtitles on.
225000	228000	Oh my god, I'm such a real gamer.
228000	230000	Are you ready?
230000	231000	AC is just ending.
231000	233000	Oh, does she be next?
233000	235000	I think she'd be maybe next.
237000	239000	Her god's EPS soldier.
239000	240000	Yeah.
240000	242000	Right, okay.
243000	247000	Oh, actually this is some, oh wait, no.
248000	258000	I, I did all my like, oh, latest, like tipper and all that if you did a donalink to me.
258000	259000	Oh no.
259000	260000	Oh, you know what?
260000	262000	Fuck it, we're playing Assassin's Creed, man.
262000	263000	Fuck the money.
263000	264000	I want to play Assassin's Creed.
264000	266000	Um, I wanted to say something.
266000	270000	I don't know if you guys would like this, but whenever we play a video game, obviously
270000	274000	there's names in the video game and, uh, as rid for a feature, but to like name people
274000	275000	and chat.
275000	281000	So I want it to be like special congratulations if your name's Desmond, if your name is Sean,
281000	286000	if your name's Rebecca, if your name's Lucy, if your name's Ezio, like in the video game.
286000	291000	I don't know, like maybe only the guy names make sense, but I thought that would be a
291000	292000	bit different.
292000	296000	Um, yeah, special shout out if your name's Desmond.
296000	299000	Uh, wait, that's right, you get a name by me.
299000	301000	Eh, there we go.
301000	304000	Eh, Desmond, that's right, your name is Desmond.
304000	305000	Okay.
305000	309000	I don't think anyone ever expects to wake up one morning and find themselves caught in
309000	312000	the middle of a war between two secret organizations.
312000	315000	I know I do, but here I am.
315000	316000	On one side-
316000	318000	Can you guys hear the game?
318000	321000	Better known these days as exturgo industries.
