start	end	text
0	29000	Oh, Reflame, it's time.
30000	37000	It's that time again when all your tingles are belong to us.
39000	42000	Good morning, Little Reflame.
44000	48000	Good evening, Little Reflame.
50000	54000	Good afternoon, Little Reflame.
60000	66000	A little fairy told me you've not been tingling recently.
67000	73000	Well, obviously, there's only one solution that's viable, huh?
75000	79000	And that's to get a Scottish lass to tingle, yeah?
79000	96000	So, I have my assortment of tools that's gonna help me try and tingle you. Does that sound like a deal?
109000	137000	Are you still not tingling? You're a stubborn one, you know that, Reflame.
137000	142000	But don't think that's the end of my arsenal, okay?
144000	148000	I'm only just getting started with you.
148000	173000	Oh dear Reflame, thou art tingles, worry not, for I will be your consort.
179000	181000	What?
188000	191000	Do you want me to say trigger words?
192000	195000	Are you susceptible to that Fiona?
196000	210000	Purple, burglar, lar, purple, burglar, lar, purple, burglar, lar.
214000	217000	That's what you wanted, to be honest.
218000	221000	I want to, yeah, I want to want to, yeah.
221000	236000	Well, you're so tingling today by late when you're a challenge, okay?
237000	250000	Is it weird when I like that in your eyes when I do this?
251000	256000	Do you like...
257000	261000	Beauty is Mars, it's absolutely desperate to make you tingle.
261000	264000	Oh, oh, oh, I'm running out of tingles, help.
265000	269000	Why?
276000	280000	Like, like, like a lollipop.
281000	286000	I feel like my accent is weird, like it's like a lollipop.
286000	293000	And we need to have no stream like this.
294000	296000	I mean, she...
299000	305000	When you want to tingle for me, don't you, Reflame?
307000	313000	You can feel that pleasure take over.
314000	320000	I've not even dreamed you yet, I haven't conditioned you yet.
321000	325000	And you can't help, feel.
329000	332000	Feel sensitive to my teasing.
333000	337000	You've done it before, you've been hypnotized by others.
338000	351000	Good, because that means this cold fish can come right along and steal you for herself.
358000	362000	I do love a pre-trained Reflame.
368000	371000	I mean, not this kind of hypnosis.
371000	373000	What?
373000	376000	Oh, I pressed the wrong one, you didn't see that?
379000	381000	Come on.
381000	396000	If you want a real hypnosis ASMR about making a deal,
399000	405000	I will do hours of being under with me live,
406000	410000	but you have to give me time to make you okay.
412000	415000	What?
420000	423000	Is the microphone loud enough?
423000	425000	I think it is.
425000	443000	Do hours of being under, or if you're difficult,
444000	448000	do hours of reassurance that your ass is going under?
449000	460000	Little Reflame, you need to rest, don't you?
461000	463000	So don't fade it.
464000	466000	I hate when you fade.
467000	470000	You know I like when you're easy for me.
472000	474000	Don't you like it when you're my easy boy?
474000	476000	Are you squidding me right now?
477000	479000	Deal.
481000	483000	Oops, deal.
485000	487000	Thank you real good for today.
487000	491000	I'm Brian, for showing up with you.
494000	498000	Can you fit the microphone in the microwave earlier again?
499000	502000	If the microwave meets my ass.
503000	507000	Okay, I have an iron glove in your cleaning tool.
507000	510000	I'm like picking on your little soap on here.
510000	512000	It's just a fucking thing.
514000	516000	Brian jumpscare.
519000	522000	Okay, let me make sure that you're checked out,
522000	524000	or at least we can go ahead.
524000	533000	Easy brain, yeah.
533000	535000	I like when you guys are easy brain,
537000	542000	because physically I'm weaker and you're stronger,
542000	547000	but I want you to be easy, which is why I use hypnosis.
548000	551000	Did you not think it was suspicious
551000	556000	whenever I called the readings the R word?
558000	561000	It's not happening consciously, don't know.
577000	579000	Hi.
587000	589000	Hi.
600000	602000	Hi.
608000	610000	Hi.
613000	615000	Come here, little replay.
617000	619000	Fall to the deep trust.
625000	629000	Fall and never look back.
638000	640000	What are you drinking?
641000	643000	Is it not your ink?
644000	647000	I guess it must be honey tea instead then.
659000	661000	My little replay.
662000	665000	Did you like the Thai ASMR?
668000	671000	I uploaded some Thai ASMR,
672000	677000	and I had to take my clothes off at the start.
678000	680000	Oops.
696000	699000	Are you wanting me to say any trigger words?
699000	702000	Wait, I'm sure I know how to sign this up.
702000	704000	I'm a big girl.
704000	708000	One second, I'm going to say up-trigger words.
708000	713000	So you guys can anonymously ask me what to say, okay?
715000	716000	Damn.
728000	729000	Okay.
730000	732000	I would like...
734000	736000	...
749000	752000	That's not how you spell that word.
753000	756000	Okay, can someone send me something to taste that?
756000	757000	Yeah.
762000	764000	Okay, perish, okay.
765000	768000	You can say trigger words and stuff.
769000	773000	If you type one word, I assume that's a trigger word.
774000	777000	Someone says tentacle.
779000	781000	Tentacle.
783000	785000	Tentacle.
786000	788000	Tentacle.
788000	790000	Tentacle.
790000	792000	Tentacle.
792000	794000	Tentacle.
794000	796000	Tentacle.
798000	800000	Caramel.
800000	802000	Caramel.
804000	806000	Caramel.
810000	813000	My dumb little replay.
813000	815000	Are you squiddin' me right now?
815000	816000	Oh no.
819000	821000	I thought I turned that down.
821000	823000	I'm so sorry.
824000	827000	I'm so sorry I thought I fucking turned that down, Brian.
827000	829000	God damn it, Brian.
829000	831000	Sorry, I turned it down.
832000	834000	Thank you, Anonymous.
834000	835000	Tingle us.
835000	838000	Tingle us off the dream.
840000	842000	Tingle us off the dream.
842000	847000	Sorry, I will apologize with kisses.
873000	875000	Wins the cup.
876000	878000	You like the word wins the cup?
879000	881000	Wins the cup.
883000	885000	Wins the cup.
886000	888000	Wins the cup.
895000	897000	Corp.
897000	899000	Corp.
899000	903000	go go go
903000	907000	go go
907000	911000	sh sh sh sh
911000	915000	you wanna hug?
915000	919000	okay, instead of a hug I'll put you in between my thighs
919000	923000	enjoy
923000	927000	oh wait, did I do it right?
927000	931000	or does it sound different again?
931000	935000	oh no, I can't see your ears
935000	939000	I can do this
939000	943000	put your hand between my thighs right now
943000	947000	put my hands are free
947000	951000	go go go
951000	955000	go go go
955000	959000	this is my weakness
959000	963000	all your dangles are belong to us
963000	967000	sh sh sh
967000	971000	wow
971000	975000	someone likes the trigger word
975000	979000	bonk, like b-wank
979000	983000	bonk, bonk, bonk, bonk, bonk
983000	987000	bonk
987000	991000	bonk
991000	995000	bonk
995000	999000	bonk, bonk, bonk, bonk
999000	1003000	so I want to
1003000	1007000	disc-er, disc-er
1007000	1011000	disc disc disc disc
1011000	1015000	disc disc disc disc
1015000	1019000	disc disc disc disc disc
1023000	1027000	disc disc
1027000	1031000	disc disc
1031000	1037000	disc
1037000	1067000	Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, Ska, S
1067000	1089360	Pickle, pickle, pickle, pickle, pickle, pickle, pickle
1089360	1092360	bear walkie
1095360	1099360	did you know, stroney, that you're a good girl?
1099360	1102360	but yeah, i'm a good girl
1103360	1108360	now you're gonna reward me for it, or are you just gonna stand there calling me a good girl?
1108360	1111360	do something about it, reflin
1111360	1118360	location
1118360	1121360	location
1121360	1126360	loooocation
1126360	1129360	location
