start	end	text
0	16000	I'm supposed to blue play as a- I live noise game, noise filter.
16000	32000	First thing first, I need to get close. I can't accept.
32000	36000	What was your name again?
36000	52000	It seems like your ears, oh dear, are a little bit cloned up, Mr. Wiefling.
52000	62000	Let me just inspect this ear. Oh dear, that's good.
62000	72000	Mr. Wiefling always really cloned up here.
72000	80000	Oh dear, and now let me check your other ear, Mr. Wiefling.
80000	90000	Do I sound muffled in this ear as well? Oh dear, there's something obstructing your ear canal.
90000	96000	Oh, that's my, I mustn't sound so muffled.
96000	112000	Oh wow, nurse, re-in, nurse, I see. Just came to our ear cleaning suite with our assistants, the snowberries, thank you.
112000	118000	Alright, okay, I think I know what to start with.
118000	128000	I feel like, oh sorry, Mr. Wiefling, you're not a little feeling your client at my ear cleaning facility.
128000	140000	Okay, first thing first, we're going to do is listen to the wax that's stuck in your ears.
140000	158000	It has an anti-fat-packed properties because ear wax is a pretty fatty substance, so just going to spray over your ear.
158000	162000	Don't worry, it's wet, so it's not, it's cool.
170000	184000	Okay, then for this ear, Mr. Wiefling, do you feel like that did anything for you?
184000	194000	Or do you need a bit more, I think you need a bit more ear, oh dear.
194000	202000	Okay, now that the solution on your ear, I'm just going to dry every single ear canal.
202000	212000	Yes, your actual ear and the earwax, because I don't want you dripping my Mr. Wiefling, that's not very appropriate for this thing.
212000	220000	Okay, dear, dear, but I still sound a little old.
220000	226000	You are probably the worst case I've seen in a while.
226000	230000	Are you listening with headphones on?
230000	238000	Is your day job maybe working at a PC?
238000	242000	Let me see, not so good.
242000	246000	What?
246000	250000	Not so good at all.
250000	254000	This sound has just gotten off of my focusing.
254000	270000	What the?
270000	276000	Right, I've taken off the fucking noise gate, back to the roleplay boys.
276000	278000	Oh dear.
278000	290000	Yes, I think you may be wearing a lot of headphones, because this is the most clogged ears I've seen in a very long time.
290000	294000	Okay, your ear is now clean at all.
294000	304000	I'm going to do this check here and canal and see if I can remove any debris at this point.
304000	320000	But that is very tightly packed in.
320000	330000	How do you think we should get rid of a good maybe ears?
330000	334000	A Japanese ear cleaning tool in combination.
334000	342000	This is quite the challenge today, Mr. Wiefling.
342000	346000	Just checking.
346000	350000	Definitely a solid mass over your ear.
350000	356000	I assume this ear is going to be the exact same story.
356000	360000	Oh yeah.
360000	368000	I think what we'll have to do is do this day by day.
368000	372000	Just take out a little bit.
372000	376000	But the procedure shouldn't take more than 12 minutes, okay?
376000	380000	So don't worry, I won't steal too much of your time.
380000	384000	I'm sure you're a very busy man, Mr. Wiefling.
384000	392000	So I'm just going to try and dislodge some of the ear.
392000	396000	It should be hard again.
396000	406000	Let's see if this tool will offer a bit more texture here.
406000	412000	Here.
412000	420000	I'm just removing what I can very delicately because I don't want to hurt your ear.
420000	424000	So you'll need to tell me in the hearts, okay?
