start	end	text
0	6000	O-re-blank
9000	14000	O-re-blank
21000	26000	Is it time to feel sleepy?
26000	30000	Like how are you playing?
33000	37000	Are you sleepy, baby?
42000	47000	You're so cute when you're so sleepy
48000	52000	and you got your little morning voice on
53000	57000	but it's time to go back to sleep
58000	62000	Thank you Dominic for becoming a mempa
64000	70000	Good morning little reflin, but you must be so tired
71000	74000	You should go back to sleep
75000	78000	Sh-sh-sh-sh-sh-sh-sh-sh-sh
78000	81000	Yes, you should go back to sleep
83000	87000	Cos you're my tired baby
95000	100000	What do you mean you've never seen my bedroom since debut?
100000	110000	You're such a sleepyhead, of course you've seen my bedrooms and staples.
110000	118000	You want me to tuck you in, in my little clam?
118000	124000	My little clam bed, behind me.
124000	134000	It's going to be not in my clam.
134000	142000	Do you like the way the water wiggles in my bedroom?
142000	152000	Do you find it tantalizing?
152000	158000	My little reflex.
158000	174000	Look, I have a little 3D on my desk and I have one in front of me too.
174000	180000	Do I need to turn up to make sense of the video?
180000	186000	Or have I been a good streamer?
186000	190000	Yeah, do you like my decorational wall?
190000	196000	I really have two things I can click.
196000	200000	Okay, you're on my table.
200000	216000	I'm applying your Risky.
216000	220000	Refling.
220000	224000	Why is it when I go on YouTube,
224000	234000	my most recent short of me clapping with no hands, is my most popular content?
234000	246000	What did you do?
246000	262000	What did you do?
262000	266000	Hey girls, it's my most popular content.
266000	272000	I think I even outpaced the video.
272000	280000	Yeah, I'm not apologizing.
280000	286000	Thank you to the doubter who made that clip possible.
286000	294000	Arissa is my editor and she's hilarious.
294000	298000	We haven't really spoken to each other at all
298000	302000	and I just sent her an audio of me clapping and she said,
302000	304000	yeah, I'll make it a short.
304000	314000	I'm like, yeah, Arissa is a homie for sure.
314000	326000	Oh, you look so sleepy.
326000	340000	You look so sleepy like this, I just want to eat you up all for myself.
340000	346000	And you get all cute and whiny when you're tired as well.
346000	350000	Little boy.
350000	358000	Is it hard to fight the temptation to fall asleep again?
358000	368000	Especially when I rub on your ears.
368000	380000	I made a little cup of tea.
380000	386000	Go by hands all over your ears.
386000	394000	And it's going ch-ch-ch-ch-ch.
394000	396000	Wow.
396000	402000	Thank you, Dr. Milmi Naman.
402000	406000	Wanna swim more, please?
406000	410000	For becoming a member.
410000	418000	We have been strong and there's a brief stream after this one I need to be a week for.
418000	424000	Do you know what we're writing about in that naughty stream?
424000	430000	We're writing about making honey tea.
430000	434000	And by making honey tea, I mean honey and tea.
434000	440000	So you guys get to tell me what you want me to say.
440000	446000	So I think I'll be very interested in how am I feeling?
446000	450000	Ah, my sleepy baby.
450000	456000	The reason why I'm role-playing that you're a sleepy baby so successfully
456000	462000	is because I woke up seven minutes before stream.
462000	468000	But my little wreathling.
468000	472000	I did get some sleep, darling.
472000	478000	I got lots of progress behind the scenes done.
478000	482000	If I'm not mistaken.
482000	488000	If, hold on, I need to check if it's even up.
488000	492000	I got lots of background work done.
492000	494000	And I want the video to stop, yeah?
494000	496000	Okay, well that didn't work.
496000	498000	I think tomorrow?
498000	500000	I don't know.
500000	504000	There's going to be a seven man collab.
504000	508000	That comes out soon.
508000	512000	I edited a seven man collab.
512000	520000	I have secured a fourth highlight slash clipper.
520000	528000	There should be a new short out on AC and Azura.
528000	532000	There should be a highlight video out on Marisy.
532000	538000	Thanks to a shadowed or, I think there's a highlight clip of AC.
538000	544000	Thanks to shadowed or everyone's now at 5K.
544000	548000	Ah, my babies, they're growing up so fast.
548000	550000	I can't handle it.
550000	556000	I will post the celebration 5K artworks
556000	558000	and I need to find it.
558000	560000	I've lost it.
560000	562000	I commissioned it quite a while ago.
562000	566000	The Marisy highlight video was good.
566000	568000	Did you like it?
568000	572000	Where she was anky.
572000	578000	But Jess, I am very thankful you guys let me get some rest.
578000	584000	I fell back asleep for five hours
584000	592000	and then I woke up and then I worked all the way through until three hours ago
592000	598000	and then I lied down for a nap and my alarm got me up.
598000	606000	And I was basically a zombie making myself a cup of tea.
606000	610000	But it's okay.
610000	614000	There's a Yumi Plus collab today.
614000	620000	So I get to be the grumpy angry Scots in the collab.
620000	622000	And I'm so annoyed.
622000	626000	One of the girls is from Australia
626000	630000	and I joked that I was gonna go to her house
630000	634000	and she was like, oh no, you can actually come to my house.
634000	638000	And of course we don't live in the same zoo.
638000	642000	I hate it.
642000	644000	I could have had my first offline collab.
644000	646000	Like my first feature for offline collab.
646000	650000	Don't get me wrong, I'm bossy enough to show up at someone's door.
650000	652000	I'm looking funny.
652000	658000	Madden Vastroni, will the girls pre-recorded SFW ASMR on Tron like yours?
658000	662000	And will we see any collab on there as well from any other VA's?
662000	664000	I will hold on anonymous.
664000	666000	Let me reread that.
666000	668000	You crazy madman.
668000	670000	Why did you spell it?
670000	672000	Why did you spell it like that?
672000	678000	Will we see pre-recorded like me?
678000	680000	And will we see any collabs?
680000	684000	Yes, Shabby has a collab with a girl coming up.
684000	688000	That's not in VA lore.
688000	694000	AC and Emmy have their own collab that's going on YouTube on Emmy's channel.
694000	700000	Um, Azura might be doing a collab with someone.
700000	702000	I need to set it up.
702000	706000	Basically, if it's an ASMR collab, I have to go set it up.
706000	708000	The Shabby collab I didn't have to set up.
708000	714000	But I'm very thankful for the situation that unfolded.
714000	718000	Because it means Shabby gets some time to shine.
718000	724000	Your first girl night ruined by Australia, honestly.
724000	726000	Aren't Dono's supposed to be off?
726000	730000	I've put them super quiet.
730000	734000	Are they supposed to be off?
734000	738000	I think if I was like, dry-eyed and
738000	742000	dreams of Strony kicking down the Rieveland store
742000	746000	for an impromptu and concession,
746000	750000	I think they're asking me, are we on Patreon?
750000	754000	What's Madienne, Mahath?
754000	756000	Is it a green?
756000	758000	Hi, Strony.
758000	762000	Well, the girls is...
762000	764000	On Tron.
764000	766000	Not the movie.
766000	770000	See, there's this movie franchise called Tron.
770000	776000	And it's like about a bike that's blue.
776000	780000	I'm fucking delirious.
780000	782000	I'll wake up shortly, hold on.
782000	784000	I'll go drink my tea.
784000	788000	I can start uploading all the audios on their Patreon as well.
788000	791000	That will be a me job because I'm not making them to...
791000	794000	Well, they don't even have access to their Patreon, so...
794000	797000	That part's impossible anyway.
797000	802000	Thank you for your tip, and please give me some time to do that.
802000	806000	But yes, it will all be archived on the year.
806000	810000	Appropriate Patreon, so...
810000	812000	I'm just trying to think of what work I have to do,
812000	815000	and I bet it's just their meme audios at the minute.
815000	817000	Right?
817000	819000	Right?
821000	823000	Don't push too hard.
825000	827000	Tell me about it.
827000	829000	I finally got like...
829000	833000	I'm so angry, but not in a bad way.
833000	835000	But I'm just angry because...
835000	837000	I did a shorter stream,
837000	840000	and I got so much work done behind the scenes,
840000	842000	and I hate it.
842000	844000	I want to stream all the time.
845000	848000	And because I know July is coming up,
848000	851000	and my dad's coming over,
851000	855000	I'm still so tired, I'm exhausted.
855000	859000	I had bloodshot eyes yesterday,
859000	863000	or, yeah, yesterday, which kind of freaked me out a bit.
