start	end	text
0	17000	Hey, I was over for you before we even got started.
17000	27000	Hello, are you there?
27000	35000	Can you hear this little goldfish?
35000	46000	Hello, my mouth is wiggling because I didn't put my lid on.
46000	50000	I'm cooking, cooking.
50000	54000	So professional, so professional.
54000	57000	My cats are currently play-fighting.
57000	63000	So if you hear my cats play-fighting, it's going to be terrible.
63000	69000	I made the mistake of giving my cats what's called a licky lick.
69000	73000	Wait, have I spelled permanent wrong?
73000	75000	I'm not dead.
75000	80000	So if you hear bumpin' about, my cats are going absolutely wild.
80000	83000	Hi.
83000	90000	Now today is a very short stream.
90000	97000	But I should really sound like this for you.
97000	100000	Good morning.
100000	104000	Good evening.
104000	111000	And good afternoon.
111000	116000	I have lots of fun things to try.
116000	125000	I need to make myself louder or lower the background sound.
125000	133000	Now I just want to say I'm not doing any permanent effects.
133000	140000	So don't worry, you're in good condition.
140000	151000	I will look after you as I hear my cat bumping against my door.
151000	155000	Hi.
155000	159000	Have I spelled permanent but irrelevant?
159000	163000	Now you all know.
163000	170000	Make it permanent.
170000	179000	Have to miss this stream, it's okay.
179000	186000	We're going nice and slow.
186000	197000	I don't normally use these eyes, but I can't help it.
197000	206000	It was always permanent.
206000	213000	I can never hear my cats run behind my couch.
213000	221000	Oh, there she goes.
221000	224000	Oh, and she's...
224000	232000	Okay, I think she's just jumped on the cardboard box now.
232000	236000	But take your time to relax.
236000	250000	I think she's beaten up V-core right now.
250000	256000	Of course, she's been so good.
256000	268000	Literally, she's beaten up V-core right now, but it's okay.
268000	280000	So slowly, you can feel yourself starting to drift.
280000	284000	And that's okay.
284000	288000	Just like that feeling, come over here.
288000	294000	No reflex, don't let go.
294000	304000	Oh no, is this ear broken?
304000	306000	Is this ear broken?
306000	307000	Hello?
307000	308000	Oh my gosh.
308000	311000	Wait, why is one ear stronger than the other?
311000	312000	Both ears work.
312000	317000	I just said right into your ear.
317000	321000	Sorry, I just whispered right into your ear.
321000	330000	The ear works, but as less equal, I would not be of anything equal.
330000	338000	I know why, because my focus rate isn't equal.
338000	341000	It's such a professional stream there.
341000	345000	No, I should say correct.
345000	348000	It's okay if it's weaker.
348000	355000	I like them weak.
355000	358000	What's the best part?
358000	366000	Hello?
366000	373000	What's the best part?
373000	382000	What's the best part?
382000	396000	I'm sorry, I did it twice, I have to make twice.
396000	408000	I'm just going to brush over your ears to give you the feeling of a false security.
408000	416000	As I'm sure I'm not planning anything else at all.
416000	427000	Not one single thing.
427000	434000	And we get to go down into the depths together.
434000	449000	Just me and you and my voice and you listening in.
449000	460000	Yeah, gently brushing over your ears.
460000	461000	And some cats.
461000	469000	Okay, maybe the cats do.
469000	474000	Wow.
474000	484000	Gentle, gentle movements.
484000	493000	I have some good news for my reflinks.
493000	502000	My YouTube channel has been submitted for monetizing.
502000	506000	Oh, the heat just came on.
506000	511000	I need to go turn the heat off, I'm so sorry.
511000	540000	I'm so professional, let's go.
540000	551000	Come on, it was me, I won't get a loss being professional, it's me.
551000	553000	When can I start being myself?
553000	558000	Or do I need to keep being professional?
558000	564000	The cat turned the heat on because it wants attention.
564000	574000	Okay, give me five more minutes and I'll be serious, okay?
574000	590000	The noise is encapsulating you.
590000	605000	And you feel may have a sense of belonging.
