start	end	text
0	20000	my little reflex I added a denoiser filter but I don't know if that made the stream worse
21000	23000	hi reflex
23000	25000	good morning
29000	43000	mommy's right here she just had to wake up late because I was being a mommy and I was having to do a lot of work
44000	49000	I'm strongly left by some I mean it
49000	55000	hello hello my little reflex
55000	61000	hi shh shh shh shh shh shh it's okay
61000	64000	mommy's here
64000	69000	shh shh shh hello little baby
69000	87000	I've put a little um a noise gate on the microphone so hopefully the background noise isn't like the weight noise isn't too bad
87000	95000	I um they don't cope well without you know I don't cope well without my reflinks
95000	110000	I had to do some business last night and there may or may not be a collab with another agency planned
110000	122000	um do I spoil it do you want me to spoil the surprise cause only you only know what the surprise is if you're in this chat right now
122000	128000	also please do check emotes for those of you who are on the emotes here
128000	138000	I was able to add all 10 of my emotes and I get to order 10 more and I'm so excited to order the next batch of 10 emotes
138000	158000	um I already have a few ideas but yes please I will try to be as relaxed as I can but the problem is I get so excited talking to you
158000	165000	that basically the ASMR goes out the window hold on what is this there we go
165000	173000	yeah there's your warning uh we are not doing hypnosis uh unfortunately
173000	179000	thank you very much night sterling for becoming a free fling member dear
179000	184000	feel dear god I need to change the name of that it's like so big
184000	195000	long do Imo win you leave my long toes out of this disclaimer saying go
195000	202000	but I'm going to try and be relaxing thank you jay for becoming a member
202000	207000	thank you again Gwispy for becoming a member
207000	215000	I know I've got my hypnosis background I was originally going
215000	223000	huh Brian can you guys hear Brian
223000	228000	pachinka thank you for the five gifted hold on let me get a stream of elements
228000	233000	anonymous thank you for the tip
233000	241000	wait anonymous is high strongy hopefully your day is amazing it's just going to start it
241000	246000	and since I get to start with my reef links it's going great
246000	256000	Brian is very quiet yes I didn't I knew ASMR so I turned Brian down like right away
256000	263000	I can maybe film up a little bit but I have a quick question how did you learn hypnosis
263000	267000	I just observe I want to get into but it's kind of intimidating
267000	276000	literally I just observe I absolutely love going like deep into things I don't know about
276000	284000	and I've always had an interest in it so I like to consume people's production or whatever
285000	294000	sorry and thank you for the 100 but congrats on monetization years for some of that most bro
294000	300000	sorry and that's a lot thank you oh my god
300000	306000	100 dollar tip that's crazy 100 centimeters nah that's not possible
306000	311000	but pachinka thank you for the five gifted
311000	322000	but yeah I just really like challenging myself I always have a fascination in trying to understand
322000	327000	why people like certain things I know that seems silly
327000	338000	but I do I just enjoy it like as much as I might tease the prep bros or something like that
338000	346000	I just find it fascinating I honestly do like what makes you you know what make what tickles your pickle
346000	354000	it's like it's a challenge to me and I accept it wholeheartedly
354000	364000	but yeah secret subject is an excellent feature but secret subject is such a sweet heart
364000	374000	she so willingly educates the masses about it and like I love that she doesn't like cakey bit or anything
374000	384000	but like everything that I do right now or produce is because of observations I've made
385000	394000	thank you she's learning from spells and empathizing it reminds me of someone
394000	404000	yeah secret is fantastic she's got a new feature for model which is like a polygon design
404000	412000	like all the video games and I was tempted to get one for myself when I'm playing Nintendo DS games
412000	420000	because the graphics we're gonna be playing a game called Dragon Quest Senators of the Stars guys
420000	429000	and obviously the graphics are Nintendo graphics but I thought it would be cool if that model would match
429000	439000	but I'd rather save the money and get it for the girls like I have very bad news for Shibi and Insura investors
439000	444000	they will be getting a toggle that covers them up
444000	450000	me and Mercy did not upset
450000	454000	congrats to those who got the memberships with their face
454000	462000	me and Mercy's chests don't upset YouTube
462000	466000	Asura and Shibi's chests has upset YouTube
466000	475000	it will not if you notice that A.C.'s trailer video has like 30,000 views
475000	478000	that's because advertisement money was put into it
478000	483000	everyone had the same amount of advertisement money except me
483000	486000	like I've never put the same amount on myself
486000	489000	actually don't think I've spent any on myself
492000	501000	but Asura and Shibi were denied at running predominantly due to their chest
501000	508000	Asura's ASMR short was denied even though she's not doing a single thing wrong in it
508000	517000	so sadly at the moment the girls are being very creative and doing a little thing
517000	528000	yes, I will say to the girls they are welcome to use their toggles when they think the situation calls for it
528000	530000	that's perfectly fine by me
530000	536000	yes, even the shorts the girls weren't allowed
537000	541000	now that they're monetized
541000	549000	today, Mercy is doing her celebration I believe
549000	557000	so please do let her entertain you
557000	560000	I'm probably going to be lurking her monetization
560000	562000	her thing is live
562000	565000	A.C. is on Saturday
565000	569000	Emmy, I don't know when Emmy wants to do it
569000	573000	I mean, you know what? I'm going to DM her right now
573000	583000	A.M.A. Mers just wanted to know
583000	599000	when you plan, when you plan on doing your CELA aberration stream
599000	609000	just so I know when to membership
609000	611000	live
611000	616000	and then I'll do a little, I'll do it before she's in the channel
616000	620000	and then I'll do a little head bath
620000	622000	A.M.A. Mers, I don't know what you're doing
622000	627000	she's so going to know how to type that by if there's no way
627000	632000	oh no, she's on mobile, she's on her phone, she can see
632000	636000	oh my god, the key clicking was in my head with my headphones
636000	641000	sorry, Emmy was watching, I say okay
641000	651000	yes, Azura and Shibi, it's not lost on me that Azura and Shibi are waiting for monetization
651000	655000	and they both just happened to have the biggest boobs
656000	658000	feature per manager ASMR
658000	665000	it's, I do like the boring stuff like the kind of monotonous stuff
665000	671000	where it's like, oh you need to open up membership to your type thing
671000	673000	and you need to do this and that
673000	675000	like I try not to let the girls do that
675000	682000	because it's both stressful and it's both like, it takes time
682000	686000	and rather the girls focus on like having fun at debut and all
686000	690000	and then they're, well they're second week now
690000	693000	not bad, it was an exciting, expensive, real
693000	695000	that's cause they're for ya
698000	702000	but they will get monetization nonetheless, right?
702000	706000	well, we're waiting on it
706000	712000	I think the AI detection is, is flagged to them basically
712000	716000	so a human does need to review them which takes longer
718000	726000	let's just pray that we have like a weeb that understands what an Earth featuring is
726000	730000	cause if they get denied, I'm gonna be so, I'm gonna be raging
