start	end	text
0	17520	Pessing! This is how I sound over the game, in game audio of BALATRO. Not to be confused
17520	25680	with BALATRO because I can't read. Apparently the card in the middle is actually an A in
25680	32680	the game's title, so it's BALATRO, okay? BALATRO.
32680	41640	Ah! Jeez. The delay on when I click go live is astronomical these days, I don't know what's
41640	53200	going on. Pessing! Dear reflings, please type 1 on your keyboard to show that we're
53200	59120	synced. How was your royal flush? Terrible. I'm baking a loaf of bread because I've got
59120	63800	some issues. Okay, no see that was fast. I think it just takes a couple of minutes for
63800	71040	the dang thing to register. Right, so what I said when I click go live, but I don't think
71040	77560	you heard it, is the game isn't called BALATRO, the game is called BALATRO because it's an
77560	85100	A, the A's in the thumbnail is an A, and I've been calling it BALATRO because I've been
85100	90880	removing the A and the T because of the scots. I'm like, I'll be playing BALATRO, BALATRO,
90880	97480	any BALATRO players? That's her absolute shawls behaviour. Good morning, good evening, good
97480	105720	afternoon, I am none other than your huh, stranny cuddles. Now, originally on the agendination
105720	112400	it was Elden Ring, but unfortunately I have absolutely disastrous news, it's not disastrous,
112400	121800	it's not a big deal. I was up working after my beloved Mercy stream, if you guys did not
121800	127360	know, I got to stream yesterday with Mercy playing Goose game, and it was the worst type
127360	131960	or choice, or choice together if you want to say both words at the same time as I just
131960	139520	did there. It was the worst choice because Mercy has very severe motion sickness and
139520	150200	that camera angle would not stop spinning the entire gameplay, so poor Mercy had to
150200	154600	go, or I sent her off, I wasn't happy with it. But the long and short, if you missed
154600	158960	the Goose game with Mercy and you don't have time to watch the VOD, Mercy did a big scary
158960	164560	burp and both of us recognised what that burp meant and it meant her digestive tract was
164560	169200	getting ready to reverse due to her motion sickness, yeah like her motion sickness when
169200	174560	playing video games, but we had an absolutely fantastic time being Goose that one point
174560	181120	she was controlling me as a Goose, her controller input was moving me, so every time I tried
181120	188240	to move, I was pushing against Mercy's command, I was like who's hypnotising who you are?
188240	192640	That's not allowed, literally the reverse scrawny, that's not allowed. But it was an
192640	201040	absolutely lovely collab, I'm so happy. I also, the girls have a beautiful Uno collab
201040	206320	coming out next year, oh my god spoilers for next week's schedule, oh my god you're spoiling,
207280	214560	originally I was going to participate in the Uno, but I'm not anymore because originally
214560	219360	Shibi was, but then Shibi had a job, so Shibi couldn't do it, but then Shibi quit her job,
219360	226400	like an absolute boss, like a beast. So now she has time to do it and she's going balls to the
226400	232800	wall with streams which I'm so happy, I'm so glad for her success, special thank you to anyone who
232800	240560	has supported any of the girls, you are enabling them to level up in real life, unironically.
241600	247040	Because Shibi literally, speaking of poker, if you didn't know Balatro is about poker,
247840	253040	Shibi literally said I'm all in on Vehler, she's put all of her stonks in Vehler, so thank you to
253040	258000	anyone who is making such a risk worthwhile, whether that's clipping, whether that's interacting
258000	262720	with her posts, watching her vods because it generates money if you watch vods because there's
263120	270640	advertisements on them I think, I don't know, I'll need to check, I actually, so from the behind
270640	276240	the scenes, you can tell YouTube to place ads during a stream, but I say no no no no, I'll place
276240	280240	some YouTube, wink wink, I'll totally put ads down in the middle of a stream, I do not put ads
280240	286560	down in the middle of a stream, I don't like it. The VOD, I believe should play an ad at the start
286560	289840	and the end of the VOD, I don't know if it does it in the middle, I'll need to check that out
289840	295520	because I've been a knot in Ellie and I've not been checking. You did great with the girls,
295520	305600	oh stop it, stop it, did you do a royal flush, no, so I had to take, I was up working but I've got
305600	312960	two more ASMR collabs agreed upon, I sent away two scripts, I actually need to make an ASMR script
