start	end	text
0	7000	I don't know what to do with this one.
7000	14000	I need to wait until the registers are here.
14000	20000	No, I just said make muted.
20000	23000	I'm not even up yet.
23000	26000	You don't know what to say make muted.
26000	29000	I say make muted.
29000	32000	I don't know what to say make muted.
32000	38000	I'm not even up yet.
38000	41000	I don't know what to say make muted.
41000	49000	I don't know what to say make muted.
49000	54000	Hello, I'm here.
54000	58000	I'm sorry that was my overly.
58000	65920	hello good morning good evening and good afternoon delayed by two hours I am
65920	73960	warning you know I'm hyper as shit okay because I ate we all the girls had a
73960	79000	nice little talk together some hyper is anything because we were having such a
79000	84600	freaking carry on I just want to say she be cotton bomb is live with a smart
84600	91240	a smarts warrior flavor then fucking gamble and I am very hyper we had so
91240	99000	much fun catching up and it was just like so fun and all our goals and the
99000	103040	girls and I've given them the green light so if they want to start achieving
103040	108440	their goals they can do it the money's there I'm putting like small little bits
108440	113120	of short advertisements the shorts were settled I have four short editors like
113120	118880	everything's coming together we flings I'm so happy everything's coming together
118880	126360	for my baby and it's just going amazing and we might have very exciting news
126360	132720	soon but this Saturday and our word debut highlights we're gonna go up on
132720	139960	Saturday okay Saturday which is two days away if you're from everywhere else
139960	143680	but if you're in the future like me it's one day away the game's a bit loud thank
143680	150040	you for telling me I watched back my mech assault stream oh my god the volume
150040	155200	adjustment was terrible in that game but we did it but we making out the house
155200	161200	with this one oh it was such a freaking so I told the girls that I lost my toe
161200	165560	in the great Vietnamese war at the nail salon and they were all laughing with me
165560	170920	and having a giggle and then I was telling them like oh I was constipated
170920	175960	so I kept repeating this thing where you go in a minute I'll give them an enema
175960	181040	I was fucking nasty but we're just having such a carry-on like joking like
181040	186320	AC was eating at one point and she's so cute when she eats she's like come down
186320	193280	yeah she sounds like a little cat it's just so cute and everyone laughed at the
194040	201440	yeah they're scared they need to laugh they feel forced to laugh and Amy is
201440	210920	getting two highlights of streams coming out soon TM I just I'm so excited I
210920	214400	inhaled my spit and I'm no choking on my own spit
214400	219200	oh the meeting was fantastic so Amy's getting two highlights coming out
219520	223800	Mercy has one coming out I've told the girls if you have a stream that you think
223800	227920	was just really fun and good please let me know I would order a highlight of it
227920	235040	and Emmys poppy playtime is getting a highlight and then her making a candy
