start	end	text
0	22760	It's really bizarre for a full minute, no one can hear me, but then it's fine, I don't
22760	23760	know.
24360	25360	It's rather bizarre.
27360	28360	Rather bizarre indeed.
36360	38360	Oh my God, I got so many comments on my YouTube.
38360	39360	Hold on a minute.
40560	43160	It's just so over for the moment.
45760	46760	I'm spilling.
47960	48960	Okay.
51360	52360	Wait, hold on.
53760	56160	The frickin' Reflins joined membership.
56160	57160	Hold on a minute.
57160	60160	Link322 and Stalkin.
60160	62160	Thank you for the memberships.
62160	65160	Good morning, good evening, good afternoon.
65160	67160	Can you guys finally see me?
67160	69160	Is it going to register that you guys can see?
69160	70160	Oh thank goodness.
70160	72160	It takes so long for that, right?
72160	75160	Reflins, Reflins, Reflins.
75160	79160	I know normally at any minute we're throwing fists, we're fighting.
79160	83160	I have a very serious, very incredibly.
83560	86560	This is life or death for my channel.
86560	88560	I'm not being funny.
88560	90560	This is life or death for my channel.
90560	91560	What pose?
91560	94560	What pose do you want me pregnant with you?
94560	97560	What pose do you want to be in my tummy in?
97560	99560	This is life or death.
99560	101560	Life or death for this channel.
101560	106560	This channel will pivot and not survive if we do not do this.
106560	107560	Hold on.
107560	108560	I'm opening up a poll.
108560	109560	Hold on.
109560	110560	Hold the phone.
110560	113560	I'm opening up a poll as we speak.
113560	117560	I will change the thumbnail soon TM, but it is so important.
117560	118560	Hold on.
118560	119560	Poll.
119560	120560	Start poll.
120560	125560	What pose for you in my tum tum in my tum tum?
125560	129560	As I spelled that terribly wrong, tum tum.
129560	131560	Pose one.
131560	133560	Pose two.
133560	134560	That's right.
134560	136560	Don't ever say.
136560	139560	Don't ever say you don't eat well at VEAL or headquarters.
139560	141560	I don't want to hear it.
141560	142560	I don't want to hear it.
142560	145560	How am I making this worse?
145560	149560	Literally, you decide the fate of my channel with this one pose alone.
149560	150560	Go.
150560	153560	What pose for you in my tum tum?
153560	154560	You must vote.
154560	155560	Four.
155560	156560	Phil Nelson.
156560	161560	I mean, your technicals can be extended, but the Phil Nelson.
161560	163560	You get too early to do the poll.
163560	165560	More people need to join the stream.
166560	169560	I mean, I stream every single time, at the same time every day.
169560	171560	Bar one day before anyone's like,
171560	173560	Actually, you were the last bell to stream.
173560	175560	You were two hours late.
175560	176560	Actually, no.
176560	179560	I was doing a meeting and everyone's happy and the marshmallows are coming back.
179560	185560	So if you want to send any nice marshmallows to the girls, please be my guest.
185560	189560	Be my guest.
189560	191560	Be my guest.
191560	192560	My guest.
192560	194560	You're welcome to be my guest.
195560	197560	Let's see.
197560	198560	Let's see.
198560	200560	This is what you're drinking.
200560	201560	Cola.
201560	204560	Oh, it's cola.
204560	206560	Wait, is it vote?
206560	215560	Whoa, we have a unanimous, unanimous vote of pose three.
215560	220560	I will relay that to the artist as we speak.
220560	233560	The reeflings have kindly decided that pose three is the most voted for by far.
233560	241560	I would love to see that pose further developed for this commission.
241560	245560	Thank you so much for working so quickly.
245560	251560	Because I didn't realise I was going to get an update so quickly on these options.
251560	253560	I didn't even know I was going to get options.
253560	255560	I sent away a little reference sheet.
255560	257560	Do you want to see the reference sheet?
257560	259560	It's pretty funny.
259560	261560	Right, sorry.
261560	265560	The reeflings have kindly decided that pose three is the most voted for by far.
265560	268560	I would love to see that pose further developed in this commission.
268560	275560	Thank you so much for working on these options and giving me choices.
275560	280560	This has been a fantastic experience so far.
280560	287560	I am very lucky to have found you as an artist.
287560	291560	And before anyone's like, oh, your voice sounds sarcastic when you're typing that.
291560	293560	No, I mean it.
293560	295560	This is what I sent away.
295560	299560	I did not expect at all to get...
299560	302560	Hold on, so that's the image there.
302560	310560	I did not at all expect to get opportunities to even pick a pose further than what I had submitted.
310560	313560	Where the fuck is the image that I just saved?
313560	315560	Oh no. Where is it?
315560	317560	Hold on a minute.
317560	320560	Save image as on desktop is...
320560	324560	It's on the desktop. I can see it when I go to save it again.
324560	326560	There we go.
326560	330560	This is what I sent away the reference as.
330560	334560	This is what...
334560	336560	How else end that pose?
336560	338560	Good morning.
338560	340560	That's what I sent away.
340560	342560	Come on, don't laugh.
342560	344560	I was like, oh come on, got my little reefling.
344560	348560	We got our little placenta line going.
348560	352560	So placenta actually attaches...
352560	357560	I think the placenta sits at any part of the wall in theory.
357560	359560	It can go anywhere.
359560	361560	And I was like, did we put it at the top of the womb?
