start	end	text
0	17520	I get to be big in this stream because this stream doesn't require target acquired refillings
17520	26000	acquired mummies one minute late relax relax good morning good evening good afternoon I'm
26000	33760	scrawny cuttles what did you guys think about the collab stream on acs channel it was adorable
33760	39600	and she's almost at 6000 subscribers she's like just about to hit 6000 which is fantastic
40720	51120	hi hello hello hello it occurred to me earlier in the week that i need to if i don't stream
51120	56880	because i realized the streams on acs channel if i didn't stream then i was gonna miss i'm almost
56880	65760	at 10k i better not be i'm in that asmr debt i'm in that asmr debt i'm actually close to 10k
67840	75840	i am close to 10k i can't believe it did you even sleep today i did i drugged myself up
76800	86560	emmy's at 12k as well oh i'm gonna come i can't believe it everyone's succeeding
88320	94240	my heart everyone's succeeding and my thigh cupping ASMR got 10k views i know what you're in
94240	101200	i know what you're into i know what you do on the weekends remember smash that like button subscribe
101200	112240	and ring the bell ring my bell ring my bell my oh my god acs literally 10 subscribers away from
112240	119520	being 6k let's go em i just want to say yet again another fantastic thank you to everyone who reached
119520	124800	out to the website management has told me that there are now more than enough clippers there is
124800	131280	now two clippers pair girl just in case someone is taking their sweet time and so do not be surprised
131280	138160	if you see a lot more consistent clip uploads azura has four on the way i think shivi has six
138160	148080	emmy has five on the way uh mersey's got four ac um ac is just about to go through her clip so if
148080	154320	you are a dada on the side and you like to watch a cheeky ac vod here and there please do not be
154400	162160	afraid to take a few youtube clips we can see who clips what and it's not something to declare
162160	166640	out loud please take sleep meds and moderation oh no don't worry don't worry it's fine hope that
166640	172480	brings a bunch of views for you yes um it seems like short growth is a lot better so i have been
172480	179840	putting advertisement like youtube ads into some of the girls' shorts and no no no no no youtube
179840	186240	does not like that um i put a hundred dollars advertisement into one of mersey's shorts and
186240	191440	it gained her one subscriber and i'm like for that price i could have got her five shorts so we're
191440	197920	not doing that i've installed elden ring today it's gonna be your first playthrough check you
197920	205280	it that collab stream was so fun looking at everyone else's designs i like at first i actually
205280	210640	was like oh maybe i should have added our designs at the end just so we could critique what we like
210640	214960	and don't like type thing like we could actually say like oh i don't like this i do like this but
214960	220560	then i was like no the stream is about other streamers but please don't be surprised if you see
220560	227360	some sort of variation that was so fun and i've seen like thigh rating streams i might do a tearless
227360	232320	thigh rating because that was just so fun looking at other people's designs how many slimes were there
232320	240960	there were no slime no slime um but yeah that was such a hoot and a holler honestly i thoroughly
240960	246400	enjoyed that sorry if it was a bit resident sleeper for you but i enjoyed it um tomorrow i will be
246400	252960	able to show my schedule for the next week it will still be slower shorter streams i just want to say
252960	260560	thank you for everyone who is a gifting memberships i unlocked another emoteslot because of the gifted
260560	265120	memberships so thank you so so much that's incredibly kind of anyone in the past who has
265120	270560	gifted a membership or became a member themselves i do appreciate that um unfortunately again
270560	277440	membership streams are delayed until the end of the week but my first stream um reduced hand size
277440	289520	down to five um my first stream without me me dad um is actually the 10k celebration bathtub stream
289520	298160	i think we're gonna reach it in time i think um as for audios on patreons for all of the girls
298800	305200	tomorrow will be a big update everyone will have their second audio out tomorrow not today
305200	314720	tomorrow the second um alternative audios will go live okay hi hi me again fun time freddie
315440	323680	welcome to baltural um bath time with mommy yes i bought these 10 meter cables in order to do the
323680	331040	stream i'm gonna have to get a tripod to set up my iphone so we can actually do it the only thing
331040	335120	i'm worried about is if i move around in the bath like you know if you move in the bath it makes
335120	341520	that rubbing noise and it's like that basically right we're gonna it's been a hot second since
341520	346960	we've played baltro uh we have if it's got a little symbol here it means we have actually
346960	352960	completed a run with that deck we've done magic we've done nebula we won't go spectro cards may
352960	362000	appear in the shop start with a hex um a locked red steak black steak i don't know what the steak
362000	370240	means this oh it is this red steak oh right we're not doing any of that relax right we'll try
370240	377920	ghost deck today rubbing noise 6k for ac reach oh ac means 6k did she hold on let me check let me
377920	389280	check ah ac said 6k i'm gonna go spam the discord that'd be like chat chats uh chat you're not chat
389280	400000	reeflings say ac hit 6k let's go i put a little i put a little hug emoji we use each other's
400000	407360	emojis on the discord so i use a zeroes hug emoji all the time fantastic chat i know literally i
407360	412960	never call you chat i don't like it i like i don't i feel like chat doesn't personalize you whereas
412960	417280	reeflings does person like you're my reefling like literally you're on my chest right now being
417280	426960	jelly i was for content for me i think i'm about to upload a ASMR early access and
429680	436480	that's it for today i don't have a collab coming out but i can't record anything oh my god your
436480	442160	profile picture is that the pregnant you is that you and my tummy with that profile picture don't lie
442240	451920	that reefling is literally being okay reeflings strung together it's the prego yes unfortunately
451920	459840	i can't record any new ASMR because of my dad but he's come down with a cold um he cannot
460400	466320	his scottish genes cannot handle the ozzy cold we went i think because we went out to the cafe
