start	end	text
0	5000	No time to wait for my days, we're getting longer in this
5000	10000	No time to wait for my days, of all the time
10000	16000	Right, this is British lore
16000	18000	Oh wait, hold on
18000	22000	Dule Lover, thank you for becoming a member
22000	25000	I have no idea what it's like even it says I'm online yet
26000	29000	No it doesn't, oh this is the thing
29000	33000	Whenever I look back on a board, I'm like rambling to myself for a full minute
33000	37000	Because for some reason it doesn't bring itself up for a full minute
37000	39000	Even though I'm sitting here, meh meh
39000	43000	But when I look back on the board, and all that, it's all fine
43000	45000	All fine
45000	47000	The fine line
47000	50000	Right, where are we? Nope
50000	52000	Nope, not yet
52000	54000	Not playing the game yet
54000	57000	Good morning, good evening, good afternoon
57000	61000	I am your host, Ronnie Cuttles
61000	63000	Coming at you with a fried voice
63000	67000	Thank you, Dule Lover for becoming a member in case that did not register
67000	68000	She loves it, she loves it
68000	71000	On time question mark, yes I haven't been lurking in the shadows
71000	77000	I had to do some bit of background work
77000	80000	What's the background work you ask?
81000	84000	I put Shabby Cotton Bum's memberships live
84000	87000	So if you want to be a cheeky harem and get in
87000	89000	But she might not say your name during the stream though
89000	93000	You're probably better waiting on the stream in two hours time
93000	96000	Shabby Cotton Bum, maybe I should be a bit bigger
96000	98000	Cause I'm kinda talking
103000	106000	Well I'll just stand right here, like right over the text and everything
106000	110000	Why not? Why not? Why do I have to be professional?
110000	111000	It's shocking
111000	114000	Hold on, I'll actually go weave because BOOM!
114000	118000	Good morning, good evening, good afternoon little reeflings
118000	125000	What is on the agendination for week three?
125000	129000	Okay, let me talk you through it, okay?
129000	134000	So we're starting off strong with the ASMR stream
135000	138000	At the usual time
138000	143000	And then after two hours I will go offline and have a 15 minute pause
143000	150000	Because we're going to be doing our first membership watch along
150000	154000	Which is none other than the first Transformers movie
154000	157000	With Sam Witwicky and Bumblebee
157000	161000	Sweet little Bumblebee, I know what he wants from me
161000	166000	To kill the Decepticon and stop them from ruining the planet
166000	172000	And then the following day, on a Tuesday for the rest of the world
