start	end	text
0	6000	Mummy, the mummy hasn't abandoned no thing.
6000	12000	Mummy is in a foolish, foolish streamer.
12000	16000	When I did the footstream, I put my ring light,
16000	18000	I had to move my ring light so I could,
18000	21000	a little bit of shit and it would be done with the wall.
21000	26000	As it eliminate that mummy started streaming on her hands and knees,
26000	28000	it's not what she did.
28000	32000	Oh, I need the ring light.
32000	38000	The thing that's happening is the goofy and it's jumping about everywhere.
38000	40000	Everyone, hold on.
40000	44000	Oh, but it's going to be light.
44000	46000	Please, it's going to be light.
46000	48000	Okay.
48000	50000	Alright, my face is eliminated.
50000	54000	I'm also on reactive mode, so I'm actually going to react to the game.
54000	58000	Everyone knows I have an Nvidia GeForce RTX 3080,
58000	64000	with 10,067 megabits.
64000	67000	Hello, good morning.
67000	73000	Let me put on live chat, any live chatter.
80000	83000	Good morning, good evening, good afternoon.
83000	86000	I apologize if I sound tired.
86000	90000	I passed out after that RuneScape stream,
90000	92000	and I woke up 45 minutes ago.
92000	96000	I hope Icy's monetization stream went fantastic.
96000	98000	I believe Emmys is also today,
98000	101000	so if there's any pin pals or snowberries,
101000	103000	they're down the hall.
103000	106000	Into the lift.
106000	109000	I apologize if I sound tired.
109000	110000	I am exhausted.
110000	111000	I don't know how.
111000	116000	I slept for so long.
116000	119000	I don't know what earth is going on with me.
119000	121000	But I've got cup of tea, I've got two waters,
121000	123000	I've got a wee muffin,
123000	126000	and then we can jump into Crash Bandicoot.
134000	136000	As for any updates, since I slept,
136000	139000	I have absolutely nothing.
139000	143000	A Riefling sent me a three page story,
143000	144000	which I really liked,
144000	146000	but for legal reasons,
146000	149000	I cannot speak any of it here.
149000	155000	I've also put together a little folder of Bibbius,
155000	159000	which I don't know why I didn't think to do earlier.
159000	164000	But now, now I'm putting it all together.
164000	166000	Oh, and a Riefling sent me a five minute audio.
166000	168000	And he was like, talk, yeah.
168000	169000	I was like, oh my God,
169000	172000	Rieflings are getting so brave, honestly.
172000	174000	And before I die a lot, probably,
174000	176000	probably, I'm not even going to put it behind me.
176000	179000	I don't know what level the desktop,
179000	182000	how loud the game's going to be compared to me,
182000	187000	but give me a three page story.
187000	192000	It was about me, obviously.
193000	197000	But yes, you guys have been doing fantastic.
197000	199000	I believe AC's doing well.
199000	201000	There's, I don't really have any updates
201000	203000	about anything else at the moment.
203000	206000	Other than my freaking ASMR meme video,
206000	209000	I've got 30 key views and I'm like, right,
209000	211000	this has definitely left the target audience,
211000	215000	because I had 5,000 subscribers when I posted that,
215000	216000	and now we're at 6,000.
216000	220000	I'm like, bro, that like propelled my channel.
220000	222000	So I'm waiting,
222000	225000	Mercy's is going to go up after the stream
225000	229000	or, or it's going to go up after
229000	232000	she finishes her stream today.
232000	235000	And then AC's is ready to go up.
235000	237000	I may, actually, I'm going to message her
237000	240000	right now so she can reply to me.
240000	244000	Now let's see, when you finished stream,
244000	248000	do you want me to upload your meme ASMR
248000	251000	on your behalf question mark?
251000	252000	And before you're like, wait,
252000	254000	why are you asking the girls permission
254000	256000	to do stuff that you made for them?
256000	259000	Because it's their channels.
259000	261000	I don't want them to be unhappy.
261000	264000	I want them to be happy little ducklings with me.
269000	270000	Who up?
270000	272000	Bandy their cooter.
272000	273000	Whoa.
273000	274000	Okay.
274000	277000	I'm getting a bit too close with that one.
277000	280000	Any Bandy girls.
280000	282000	It's running such a sweetheart.
282000	284000	Yes, I don't want to do anything that upsets the girls.
284000	285000	And if they're like, no,
285000	287000	now's not the time to upload the meme ASMR.
287000	289000	I won't upload the meme ASMR.
289000	290000	That's fine.
292000	295000	So I'll get permission from them
295000	296000	and then possibly after the stream.
296000	299000	Apparently it takes eight hours to do this game.
299000	301000	Now, I'm going to just say,
301000	304000	I was a atom when I played this game.
304000	306000	I have barely any recollection.
306000	308000	My dad didn't buy it for me.
308000	310000	He bought it for himself.
310000	313000	Johnny, congrats on 6.5K.
313000	316000	No, I also made ASMR videos.
316000	319000	I was going to try and get my first thank you video out.
321000	324000	Or maybe after a buckshot roulette after the doc.
324000	326000	Because I've got buckshot roulette.
326000	327000	Then I've got a couple of hours.
327000	329000	Then I go to the doctor.
330000	331000	Is this a rhythm game?
331000	332000	It is not.
332000	333000	It's Crash Bandicoot.
333000	337000	It is an adventure platformer.
337000	340000	I know you can't hear the background of the game right now.
340000	342000	So it's just my voice in this room.
342000	343000	Do forgive.
343000	345000	Johnny, when in a gang?
345000	347000	Any ganky desks?
347000	348000	Hold on.
348000	350000	Let me hydrate with my tea.
353000	354000	I owe so much ASMR.
354000	355000	I do have it all recorded.
355000	357000	I just need to sit and edit it.
357000	360000	And I can't upload the clapping without
360000	362000	using my hands ASMR.
362000	363000	Yet.
363000	365000	I need to have some things in between it.
368000	370000	Strongly winning much in everything, right?
370000	372000	It's a never-ending move.
372000	374000	Every time she releases an ASMR, she gains 1K
374000	376000	and she gets to go back to square one.
376000	377000	Honestly, I'm like, I hope not.
377000	379000	I think it will definitely calm down a bit.
379000	380000	It's going to have to calm down.
380000	384000	Because as much as our capitalist overlords
384000	387000	love infinite growth, that's just not plausible here.
387000	391000	Is it something that is healthy or thingy?
391000	393000	Because if you start measuring yourself by numbers
393000	395000	and that kind of thing, that's when...
395000	397000	I think that's when VTubers probably get it in their head.
397000	399000	They're like, oh, I'm not doing well enough.
399000	400000	I'm not performing well enough.
400000	401000	And it's like, brav.
401000	403000	You haven't even given yourself a chance.
403000	404000	Just have fun.
407000	409000	People can tell you're sweating on trends
409000	411000	if you're trying to sweat on trends, you know?
411000	413000	And then people can tell when you're just memeing around
413000	415000	or you're just memeing around, you know?
415000	416000	And guess what?
416000	417000	Some streamers...
417000	420000	Sorry, this is just turning into a philosophical...
420000	424000	Let's digest and get to the roots of why streamers are streamers.
424000	427000	Some people are just...
429000	430000	What's the word?
430000	434000	Optimised to have a nice, cosy, tight-knit community.
435000	439000	Some people, some of your personalities, other streamers,
439000	441000	you're just supposed to have a nice little tight-knit community.
441000	444000	You're not supposed to be for the masses, you know?
444000	448000	So don't always be reaching for the fricking stratosphere, the stars.
448000	452000	Don't always be reaching for the stars when you do just fine in the stratosphere, you know?
453000	456000	Every time you gain 1k, you release an ASMR that gains you 1k.
456000	459000	It's an infinite feedback loop you'll be at.
459000	462000	Infinity subs by the end of the week.
462000	463000	Not quite.
463000	466000	Especially those looking to extract numbers from TikTok
466000	470000	that only have 100 subs but say they deserve a million views on every post.
470000	471000	Yes.
474000	478000	I can actually get into the psychology on why people
478000	481000	feel they deserve subscribers
481000	485000	versus others who feel unworthy
485000	488000	of what they get because of what they've done.
488000	492000	I could definitely go on an algorithm stream that in...
492000	493000	Not tinfoil time!
493000	495000	No, it's not tinfoil! It's not tinfoil!
495000	496000	It's not tinfoil.
496000	499000	It's like actually, it's like human psychology
499000	503000	as well as the damage that the internet does to the mind.
503000	508000	Because if you didn't know, you're actually not supposed to be exposed to...
508000	513000	I think you're not supposed to actually know more than 100 faces at once.
513000	516000	And your brain is just not wired for any other way.
516000	520000	After that, your brain can only be wired to recognize tribes,
520000	522000	which sounds terrible, but that's just how it is.
522000	527000	So it's like, ah, I am approaching the AC clan, you know?
