start	end	text
0	30000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
30000	60000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
60000	90000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
90000	120000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
120000	150000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
150000	180000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
180000	210000	඀වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
210000	240000	඀වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
240000	270000	඀වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
270000	300000	඀වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
300000	330000	඀වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
330000	360000	඀වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
360000	390000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
390000	420000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
420000	424280	I feel so so inspired.
424280	428720	I mean, my people used to do that, that's so cool.
428720	431680	I mean, I've never fed on a human before,
431680	434840	and the smartest thing I've ever hypnotized is a seal.
434840	440560	But learning that my ancestors used to eat humans by the literal boatloads was amazing.
440560	442960	I couldn't wait to grow up and eat my fill.
442960	447200	Fat ones, tall ones, skinny ones, even hairy ones.
447200	452800	Though I learned our people aren't as feared by humans as they once were.
452800	461680	My ocean, my home, humans defile it with their presence, worse still, they toss their filth into it,
461680	468160	further insulting us. How could this have happened? How were we brought so low from our past?
468160	473760	They used to tell legends on every port that made even the most straight-laced superstition scoffing
473760	479200	marines keep on the back of their minds. They would dedicate figureheads of their ships in respect
479200	487600	to our beautiful yet delicate bodies. They put us on every map, but now? Ugh, disgusting humans.
488800	494880	One night, I envisioned a genius plan, the first strike in my crusade against the human world.
497120	502400	I would infiltrate in hijack a fishing vessel and use it as my own pirate vessel with a crew of
502400	508240	hypnotised thralls. I was going to wage a once siren war against all of humanity.
508240	515360	It was going to be perfect, and I definitely would have won. That was until I envisioned a plan
515360	522640	that was even more perfect. Er, well, at least more time efficient. Making my way below deck,
522640	531360	I made a strange discovery. The humans were hypnotised by their own choice. I couldn't believe it.
531360	538800	I looked at boat after boat. These humans charmed like a siren's spell, even dedicated their
538800	547600	lives to their chosen idols. These idols they fawn over were these sirens too. That's it. That's
547600	552720	the secret to defeating the humans. I'm going to find the secret to their magic and harness this
552720	559680	power myself and bring power back to my people. I must gather fame, fortune, scandals, anything
559680	565120	and everything to grow my influence over mankind to bring sirens back into the minds of the people.
566320	571360	But I'm not just going to tip the scales. I'm going for complete domination.
573200	579120	Every human will bend to my will. All will be cheering for their own demise. I will be the
579120	585120	instrument of karmic justice. The world will worship me and praise my name as I bring about their
585120	591680	end. I will march every human under my control into the ocean and my people will chant my name as they
591680	602320	have a feeding frenzy that has written into legend. Though that's a very long term goal.
603520	611200	With every big venture, whether business wise or lifestyle, every big undertaking starts small scale.
611280	621280	Right? Hmm. So, I think I'll start with you.
634400	639280	You wanted a feral kusugaki? I gave you a feral kusugaki.
641200	644320	You wanted a doten hag? I gave you a doten hag.
647680	651200	You wanted a dorky yandere? I gave you a dorky yandere.
654880	658960	You wanted a masochistic brocon? I gave you a masochistic brocon.
661680	665680	You wanted a milk dominatrix? I gave you a milk dominatrix.
665680	678160	And now, I bring you the vichu bird that no one asked for. A god damn nutty cuttlefish.
696160	706160	No copyright. No copyright. No copyright intended, bros. Come on, come on, come on. Relax, relax.
707760	719360	Did I kick or did I fucking kick, ladies and gentlemen? Have you enjoyed your evening so far?
719360	723360	Have you been warmed up by my girls?
723360	733360	Who stole your heart the most? Was it A.C., the feral polar bear, or was it Azura, the literal definition of mommy milkers?
733360	743360	Or what about Mercy, the yandere that can never love right? I mean, she got plenty of love to give, doesn't necessarily mean you're gonna be alive at the end of it, okay?
743360	751360	But hey ho, you know, you still get love done at the end of the day. Or was it Emmy, the most controversially created character of all time?
751360	759360	But hey ho, look, we're just gonna skip past that. You know, if you ignore the lore, everything else is fine. It's fine. It's fine. Stop worrying.
759360	765360	You guys are such a blurry war, honestly. Or was it Madame Shuby herself?
765360	775360	Because, you know, gonna be honest, didn't really get many requests for a hypnotic cuttlefish, that's Scottish, but hey ho, hey ho, that's how it goes, that's how it goes.
775360	785360	There's something made me, let me formally introduce myself. Look at these sleighs, they're so pretty, they're so pretty.
786360	795360	I, ladies and gentlemen, am Strony Cuttles. Please, Cuttles, the surname is because I'm a Cuttlefish.
795360	804360	Oh, shock of any. And Strony, because I am Strony, the daughter of the gamer Strontyum.
804360	810360	My dad's gamer tag is Strontyum. No, it's not actually Strontyum, before you're like, oh my god, you just dox your dad.
810360	817360	No, relax, it's not actually literally really, you know, Stronyum, but I'm Strony, Cuttles, I'm named after my dad.
817360	821360	My dad's gamer, and I wouldn't be here without him, you know, because he came from his ballsack.
821360	829360	Anyway, age, age, ladies and gentlemen, oh, yet again, I have failed the VTuber challenge of tell us your age.
829360	833360	It's not really looking good, okay, it's not looking good.
834360	841360	Cuttlefish normally live to a year, so time's ticking, time is ticking.
841360	848360	Anyway, my birthday is October 10th, which is actually National Squid and Cuttlefish Day.
848360	854360	They're both cephalopods, so I don't mind sharing that birthday with the Squid VTubers if there's any of these out there.
854360	865360	My height is 162cm, which makes me 5'3", because I forgot to update the slide like Adapte, but hey, hold, we're here now.
