start	end	text
0	2000	Hold on hold on hold on
7000	11000	There's not a lot of chance, I will chance my life
14000	16000	I hope I'm on the right thing
16000	17000	And then
18000	19000	They're not messed up
20000	22000	Who's driving this booze?
22000	24000	Come on boys is so messed up
27000	28000	Valor
30000	35000	Am I streaming? I don't see it.
35000	41000	It'll be live for 40 seconds. I can't even see myself.
41000	44000	Oh, there we go. Hey, I can hear myself.
44000	47000	Ah, I totally lost my voice. Testing.
47000	49000	Ah, freaking scary.
49000	54000	Broke my damn voice on that bloody stream.
54000	58000	Didn't that be alert? Did you like that smoke? Did you like it?
59000	63000	Right, from here on out, it's nothing but scuffing memes.
63000	66000	If you're looking for professionals, go elsewhere, buddy.
66000	69000	Go to Shibi's stream. There's no happening here.
69000	74000	I promise you, mate. My voice is so strange right now.
74000	76000	Oh, my goodness. Just the way we were like,
76000	78000	Oh, it's been a bloody while since we've been together.
78000	82000	Fuck me, man. That took me a year to spawn this.
82000	84000	Oh, my God.
84000	88000	I did it, though. Holy shit, we did it.
88000	90000	Feet sniffer. I didn't mean to imply greed.
90000	92000	No, you didn't. I know you didn't. Please don't worry.
92000	94000	Please don't worry. It's fine.
94000	99000	The only reason I say greed is because of the perspective thing.
99000	105000	Oh, fucking mischief, reflins. My fucking God.
105000	109000	What a year it's been. Holy crap.
109000	111000	I know I'm supposed to talk about my debut,
111000	115000	but let's be honest, we're all reflins here.
115000	117000	Oh, fucking mischiefs.
117000	120000	Of course, your names were going to be refling.
120000	122000	Oh, my God.
122000	125000	What do you mean you became a squid vtuber
125000	129000	just so your name may only reflect you in another life?
129000	131000	Oh, come on. Refling.
131000	135000	Come on. If I'm on a reef, get it?
135000	139000	Great barrier. Reef. Reef.
139000	144000	Oh, I'm so excited to play Assassin's Creed Brotherhood with you.
144000	149000	When this stream ends, I'm going to unlist all my streams.
149000	154000	Any reefers on the track? Are reefers cannabis?
154000	156000	I can't say that.
158000	160000	Does reeflings mean something different?
160000	163000	In another life, I had a fan base called Reeflings,
163000	166000	but it was spelled slightly different.
166000	172000	And I made it pronounced the same, but spelled differently.
172000	174000	Yeah.
174000	175000	Don't worry.
175000	176000	Don't worry.
176000	178000	If you're not really familiar with me from the past,
178000	180000	don't worry about it.
180000	182000	Okay, don't worry about it.
182000	185000	I'm just strong at cuttles. Let's keep it that way.
185000	187000	Thank you very much.
187000	190000	Okay, am I actually going through my 2.0
190000	194000	or are we just squidding around?
195000	198000	My bottle.
198000	201000	I have my reefing mail.
201000	202000	Skullfish.
202000	204000	Oh, Skullfish is so good.
204000	207000	Oh, that's actually really small.
207000	209000	Okay.
209000	210000	Thank you.
210000	212000	Right, I'll actually go through my slides,
212000	215000	but I'm not really sure if there's much of a point,
215000	219000	because, well,
219000	224000	that's Johnny's 365 from Beast's Suck It.
224000	225000	Moment.
225000	226000	Product or moment.
226000	227000	Right, let me drink my cola.
227000	228000	Let me drink my cola.
228000	230000	Yeah, I was supposed to say 5.3.
230000	233000	Also, someone doubted that Scots is a recognized language.
233000	234000	It is.
234000	237000	So, you know how it sounds like I'm speaking English here all the time?
237000	239000	I'm going to give you a sentence, okay?
239000	242000	I'm going to type it in chat so you can read it.
249000	253000	So, that is a sentence in Scots that I've just typed, okay?
253000	255000	And it says,
255000	257000	Are you coming to my bit tonight?
257000	260000	That means, are you coming to my house tonight?
260000	262000	That's Scots.
262000	263000	He has a bit different.
263000	264000	It's not in the best sense,
264000	267000	but it's what I can think of on the top of my head, but yeah.
267000	268000	Are you coming to my bit tonight?
268000	270000	It means, are you coming to my house?
270000	274000	And I purposely don't really speak with a lot of slang
274000	277000	or mumble the way I naturally do,
277000	280000	because I'm quite naturally monotone and mumbley,
280000	282000	because the problem is,
282000	287000	you guys don't understand me because I'm Scots.
287000	295000	But if you are British or you're familiar with the Scottish accent,
295000	297000	then I probably actually don't sound from Scots indeed,
297000	300000	but it is what it is.
300000	302000	And also, I've been very, like,
302000	305000	when you're on the internet, you're very Americanised
305000	307000	with what you consume.
307000	310000	Does it take all your efforts to pronounce every syllable
310000	311000	and not speak Scots?
311000	315000	No, my mother dearest,
315000	318000	she actually taught me,
318000	325000	she discouraged me from speaking in slang,
325000	328000	so I doesn't always naturally come out,
328000	330000	but here's what it is.
331000	334000	Here's how it was at the beginning.
334000	337000	I said, fucking cheers to that mate, cheers to that.
337000	340000	But yeah, technically, legally, on paper,
340000	342000	because I was born in Scotland,
342000	345000	I could speak two languages, thank you.
345000	349000	I don't need any help from Joe Lingo, let's go.
349000	354000	But yeah, so I'm a siren that can't sing.
354000	356000	Gee willikers, I wonder why.
356000	357000	I just don't have a voice.
357000	359000	I'm also tone deaf, by the way,
359000	362000	so I hope you're ready for drunk karaoke streams.
362000	365000	That stuff's gonna be intense.
365000	368000	Let's see where these slides are.
368000	371000	So both of your parents are Scots, eh?
377000	380000	Yeah, the band-aids hold up, still top tier.
380000	383000	Yep, very top tier.
383000	385000	Mongolian throat singing.
385000	387000	The reason I don't like Mongolian throat singing
387000	389000	is because cats don't like Mongolian throat singing,
389000	391000	because of the vibration.
391000	393000	It's an unpleasant sound.
