start	end	text
0	28960	the first thing in the morning you guys are so chatty
28960	32720	oh so noisy in the classroom so noisy
32720	37520	Reflens Reflens shit steady on steady on what's going on here
40560	42640	oh you guys are so loud in the background
46560	50640	well well well well okay okay settle down settle down settle down settle down
50640	56320	oh okay pause.mp3 okay there we go Reflens that's what i'd like to see now there'll be a few
57280	63600	notes in my class before we get to the edumication stage okay we're just gonna go through them
63600	72320	together rules of my class you must remain seated at all times please do not get out of your chair
72320	81680	as i do my presentation Reflens that is disrespectful to your teacher miss cuttles as well as disrespectful
81680	87680	to your fellow students okay i just realized i forgot to download a pointer png add it on teacher
87680	94240	pointer png i knew i forgot something i got i knew i forgot something teacher pointer png stick
95280	100720	stick png surely surely there's gonna be a png on here surely it's not gonna be a .mp3
102880	109600	it's a fucking jpeg why is it always a jpeg are you a pointer stick no you're a fake jpeg hold on
109600	116240	i'm getting there you know what i'm typing in spaghetti .png surely there's a no not an actual
116240	123200	spaghetti dish this is terrible i don't know what to point with can i point with a reflin i'm so sorry
123200	129200	i only have a png of a refling at the moment you're gonna have to forgive me i'm sorry reflin
129200	133920	i'm gonna have to use you as a pointer oh i'll use your tinfoil hat as a pointer because that's
133920	141360	literally the only point i have i'm so sorry it's so scuffed hold on okay there we go i will use
141360	147120	the tip of your head as my pointer okay thank you for volunteering and coming to the front of the
147120	153600	class refling don't be shy and you come up you come okay so everyone must remain seated at all
153600	160080	time do not ask to use the toilet and license in emergency i only have one hall pass okay because
160080	166240	apparently hall passes are a thing in america and you're not allowed to go can i graduate early no
166240	173040	you need to do favors um if you think you are graduating this class without kissing my cock
173040	180080	you are dead wrong um okay there's only one hall pass so you're not all allowed to go to the hall
180080	186080	pass at the same time okay all water bottles are to go on the floor i hope you brought a water
186080	189840	ball you're gonna need it for them and education i'm about to give you today i already have my
189840	195200	cup of tea oh you hear that i'd say good morning good evening good afternoon but we're kind of
195200	199280	only doing you know if we're doing school it's technically good morning for good morning
200720	208400	well okay you can take notes at any point during my lecture but remember there's gonna be polls
208400	214240	via youtube chat so you need to if you want to answer there's gonna be a few polls okay
214640	220400	okay and then remember to sign your name at the top of the piece of paper reeflings you know who
220400	224960	you are you always forget to do it it's literally the first thing i've been hammering into you for
224960	234240	months now for months i have been trying my gosh darn diddly horridest for you to remember to put
234240	240160	your name at the top of the paper you're old enough reefling come on now it's the one thing i can't
240240	248560	keep identifying your work via your handwriting reefling okay okay now i've completely lost the
