start	end	text
0	19880	I think I'll go in the corner today as if there's some sort of exiled beach over here.
19880	23680	It doesn't really matter if I'm in the corner or not.
23680	29200	I think I'll accidentally hide my runes in the bottom right widget if I go onto the
29200	34200	that side so we're not going to go right in the corner for once.
34200	37640	A Christmas mirror, honestly, I don't know.
37640	43920	Right, I've just been prompted that I can put YouTube ads on, which I think means
43920	46920	a stream's up, first of all.
46920	52920	Hello, America, hiya, hello.
52920	57520	You know the funniest thing about being a little bit late to streamers?
57520	63200	Is that no one goes, oh no, she's cancelled because it's not even conceivable that I'm
63200	64200	not streaming.
64200	71000	That's my favourite concept, instead of like, oh, she's late, she must be sick, she has
71000	72560	to cancel type thing.
72560	76720	It's like, nah, she gambled away the house.
76720	81520	She hates us, she does, like, it's actually rather entertaining.
81520	90480	Good morning, good evening, and good afternoon, do we have some good fucking use of yellow
90480	93800	headquarters a day?
93800	99120	If I'm not mistaken, and I don't want to spoil it, so I need to go look for it to make sure
99120	110320	it's there, and T, yes, it's there, and T minus four hours.
110320	121680	None other than Azura Dooley has been successfully monetised on YouTube, bips out in awe, round
121680	130920	of applause for Azura's milky titties, she's been monetised, and now I'm allowed to talk
130920	137520	about what the fuck happened with Azura's monetisation, she got denied monetisation,
137520	144280	and I had to make poor Azura read a script, and she, in the script, she was like, hi YouTube,
144280	152840	well, in her voice, hi YouTube, I am Azura Dooley, a creator from America, I am a YouTuber,
152840	159880	so I did not show my body, I can't do her voice, but poor Azura had to like, do this
159880	169440	super serious freaking video for me, and I had to like, screenshot her channel, and she
169440	176640	had to be like, and I play video games, and it was so annoying, because obviously you
176640	185520	had to use normie terms, so poor Azura had to be like, and my fans are so excited to
185520	190920	enjoy my membership stream, and support me via super chat, because we were trying to go
190920	195800	for like, if you monetise her, you'll be in the money, because you had money, money, money
195800	200680	at the end of the day, so Azura did that, and we had to send in the appeal all behind
200680	204760	the scenes, because obviously I didn't want to be like, one of the talents who'd been
204760	209360	freaking denied monetisation, that's awful, an entire month for her to get monetised,
209360	216240	no, bad, however, I do have a slight announcement about that Azura stream, you read it right,
216240	224160	it is handcam, and she's also taking doodle requests, that money is gonna help her move
224160	232880	out, don't I make myself clear, that money that she makes, yeah, is gonna help her move
232880	239400	out, okay, so I don't want to see one fucking gritty day comment, I don't want to see it,
239400	245320	it's gonna help her move out, and what happens if mummy Azura moves out, mummy Azura is free
245320	251960	to make even more content, okay, so anyone that, oh Azura, you don't do ASMR, no plays
251960	259720	on your channel, oh, so you don't, you don't, I'm doing enough ASMR, guess what, if she
259800	266720	moves out, what do you think happens, hmm, hmm, right, put two and two together, what
266720	270000	do you think happens when she moves out, she makes more content, put your money where your
270000	275440	move is, hmm, hmm, that's what I thought, that's what I thought, that's terrible, my voice
275440	283200	is broken beyond repair, unfortunately it is cracking, the original plan was none other
283200	289560	than 12 hours of Elden Ring, I can't believe I'm so sorry to announce this refling, she
289600	295960	moves out, my cock goes up, honestly all the bleeding hearts agree with that, is that a new
295960	302320	mantra for the bleeding hearts, she moves out, my cock goes up, that's terrible, I'm
302320	309640	hilarious, hmm, are you getting a roommate, funny you mentioned that, I actually said
309640	319080	Azura, she can come with me if she wants, and, and she was like down for it and I'm
319080	325560	like, well there is a problem of migration, you know that tiny little problem of like
325560	333240	packing up your whole life and moving country, she can live with me, oh live with me if you
333240	339080	want to come, Streamer House is real, we, I've not been funny, it was discussed at Vail or
339080	344600	Headquarters, the possibility, however, the money you need and able to run a Streamer
344600	350160	House, you basically have to accept there's a deficit debt already on top of how to run
350160	354720	the company, now very thankfully the way that this company's structured, there's really
354720	361320	not much overhead at all, again, it's free to produce thumbnails, the girls can stream
361400	366280	what you want, it doesn't cost me $5 for Azura to put up an ASMR stream, you know what I
366280	371200	mean, obviously the models cost a lot of money but that deficit gets paid over time,
371200	374320	like I'm going to have ASMR role play come out and a lot of them are going to pay off
374320	379320	some of the things, imagine all the months from now, literally could you imagine us banging
379320	384160	on each other's door like, I'm trying to record ASMR, stop, well I was going to say something
384160	391160	highly inappropriate there, stop banger-basting yourself for Twitter audio, I'm trying to
391160	400680	record ASMR right now, yes, imagine if she moves it, well she actually did message me,
400680	404280	but you didn't hear this from me okay but this is Inside Our Secrets, she messaged me
404280	407520	and she said I'm really looking forward to doing YouTube role plays, which I'm really
407520	411720	glad about because I'm worried about overworking them but she's on the same page, she's got
411720	417840	her July audios to record first, which she should hopefully, well she's fucking getting
417840	422720	steaming the night, I see steaming right now, she's getting steaming on box shot roulette,
422720	425720	you guys are going to, I don't know if she's played it before but whoa that game's kind
425720	431760	of hard to wrap your head around a little bit, but would I say that to them honestly,
431760	438600	I don't think you understand that being under the umbrella of a slang makes you really comfortable
438600	445040	with people, like it just does, like I feel really comfortable around the girls, I feel
445040	449640	like I could show a picture of my floof and be like just something to look right here
449640	453960	and the girls would be like mmm I ain't you need to get that checked out, like I think
